#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_m35te10c.slha	412.817209	425.326776	422.866589	543.496821	2202.69977	2202.86498	-1	-1	-1	-1	-1	-1	-1	518.240024	2050.93095	408.598617	20.1416144	['ATLAS-SUSY-2016-07']	00:00:11
ew_3psnuh5e.slha	131.360686	135.274882	133.591021	1226.79477	2582.02745	2582.19282	-1	-1	-1	-1	-1	-1	-1	1197.43413	2419.61081	127.924314	42.0529431	['ATLAS-SUSY-2016-32', 'CMS-EXO-13-006']	00:00:23
ew_gv64zjq2.slha	105.960924	109.194212	107.798384	1682.05801	2859.75728	2859.9225	-1	-1	-1	-1	-1	-1	-1	1647.62296	2691.50701	103.352395	32.6219034	['ATLAS-SUSY-2016-32', 'CMS-EXO-13-006']	00:00:25
ew_ay_4glqp.slha	407.078371	412.444696	410.224531	1022.96862	2087.22976	2087.39435	-1	-1	-1	-1	-1	-1	-1	992.504011	1938.20316	395.936196	40.9175273	['ATLAS-SUSY-2016-07']	00:00:26
ew_08dvyl5b.slha	492.401069	500.34822	496.284382	1002.2672	1403.674	1403.82596	-1	-1	-1	-1	-1	-1	-1	963.752865	1278.01844	482.020322	15.1597902	['ATLAS-SUSY-2016-07']	00:00:34
ew_l59totsq.slha	474.035809	554.73986	546.075954	561.309756	1023.28125	1023.42522	0.001056322	0.001348997	CMS-SUS-13-012,CMS-SUS-16-048	0.0009711046	CMS-SUS-16-048	0.0008604272	CMS-SUS-16-048	466.45228	912.401477	536.391311	7.42740127	-1	00:01:21
ew_idrfdsxj.slha	371.534017	375.596801	374.040343	1159.35594	2866.86835	2867.03324	-1	-1	-1	-1	-1	-1	-1	1133.92071	2699.49108	360.368749	29.7155672	['ATLAS-SUSY-2016-07']	00:00:02
ew_977eof11.slha	387.525593	394.699115	390.277218	1117.02634	2615.83223	1117.22069	0.09867534	0.1155899	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.1144066	ATLAS-SUSY-2018-41	0.07937282	ATLAS-SUSY-2018-41	2562.55728	1014.21985	378.523466	47.4132336	-1	00:02:52
ew_ptedvsp0.slha	165.736641	169.65079	167.839123	1450.52763	2404.4943	2404.65871	-1	-1	-1	-1	-1	-1	-1	1414.99546	2246.87781	163.371014	9.57360202	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:05
ew_i7nvtd89.slha	243.170076	253.51743	246.655665	748.65895	2822.50665	748.902559	1.108078	1.033447	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.111728	ATLAS-SUSY-2018-41	0.7539585	ATLAS-SUSY-2018-41	2769.68088	665.88424	240.832864	19.9713141	-1	00:34:33
ew_3fdy1e1n.slha	179.804086	278.785022	278.946956	2440.16044	2440.72128	2441.7042	2.007593	1.525653	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2019-09,CMS-SUS-13-012	1.652904	ATLAS-SUSY-2019-09	1.353586	ATLAS-SUSY-2019-09	172.393434	238.27694	2394.81831	34.9453597	-1	00:00:28
ew_n85od2zf.slha	293.182808	298.953222	295.975818	1456.85037	1514.99131	1457.13151	-1	-1	-1	-1	-1	-1	-1	1465.15136	1329.93907	285.501488	33.9346068	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:03
ew_ezigfamu.slha	213.128934	224.346904	217.746588	754.217471	845.564464	845.495393	0.7867342	0.812146	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.8941891	ATLAS-SUSY-2018-41	0.616361	ATLAS-SUSY-2018-41	714.487197	742.383479	213.848624	8.63644516	-1	00:35:05
ew_d1oyax2p.slha	75.0462085	981.849714	981.791301	987.52335	1679.47558	1679.64251	0.6684936	0.8344226	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.7737554	ATLAS-SUSY-2018-41	0.5728213	CMS-SUS-21-002	68.8192756	1545.69608	960.22981	9.20259456	-1	00:41:13
ew_v976gide.slha	434.754665	439.837314	437.020204	1607.28191	2334.25476	1607.46097	-1	-1	-1	-1	-1	-1	-1	2281.12344	1480.75314	422.771385	24.8858512	['ATLAS-SUSY-2016-07']	00:00:18
ew_puixuaq3.slha	201.563374	810.546265	810.313054	815.8349	1490.90299	1491.07094	1.213143	1.261754	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.292233	ATLAS-SUSY-2018-41	0.8913791	ATLAS-SUSY-2018-41	190.9705	1362.20417	790.305116	18.2751261	-1	00:39:44
ew_p5m95utl.slha	163.947099	167.031258	165.714625	2132.77558	2767.58509	2767.74886	-1	-1	-1	-1	-1	-1	-1	2088.97743	2601.32863	158.76308	43.3382564	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:04
ew_tc5p3elc.slha	48.3687444	912.570744	913.19271	931.2776	1111.21595	1111.44109	0.9556057	1.108855	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.074283	ATLAS-SUSY-2018-41	0.7493152	ATLAS-SUSY-2018-41	39.9827108	985.989909	904.687913	47.0503592	-1	00:43:59
ew_7vdemio5.slha	259.61188	267.950386	262.52274	923.876592	2823.2164	924.083378	0.5010091	0.5360345	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.5841489	ATLAS-SUSY-2018-41	0.4058855	ATLAS-SUSY-2018-41	2770.45215	832.313962	255.991798	12.2594461	-1	00:42:25
ew_7cpyzn5l.slha	119.366067	789.827145	789.974681	848.194659	910.154148	910.421427	1.830657	2.138801	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.994884	ATLAS-SUSY-2018-41	1.452615	CMS-SUS-21-002	108.839131	758.077592	823.766312	10.7467085	-1	00:46:20
ew_vlwnj2ew.slha	338.688148	342.449806	340.728156	1757.47453	2424.84917	2425.01215	-1	-1	-1	-1	-1	-1	-1	1716.0049	2267.24283	329.12387	15.2340993	['ATLAS-SUSY-2016-07']	00:00:21
ew_hfy7ivq7.slha	196.979667	204.219814	201.557464	543.195148	2073.08335	2073.24894	0.0544717	0.03304684	ATLAS-SUSY-2019-09	0.0544717	ATLAS-SUSY-2019-09	0.03304684	ATLAS-SUSY-2019-09	522.056302	1924.33687	194.533069	15.7126847	-1	00:00:16
ew_cuxboopu.slha	325.581563	341.797424	329.452092	608.723241	2049.69898	609.131013	0.3534468	0.3907769	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.259008	ATLAS-SUSY-2018-05-ewk	0.2397755	CMS-SUS-21-002	1997.1134	527.044479	325.955048	33.351989	-1	00:54:20
ew_0ywlcmts.slha	175.275626	316.867171	314.177773	320.475391	3059.0313	3059.19649	0.7180032	0.7047797	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.6861053	ATLAS-SUSY-2019-09	0.5596031	ATLAS-SUSY-2019-09	174.396544	2887.99578	302.320413	33.0999538	-1	00:45:46
ew_ey2rkvxk.slha	123.284805	446.310666	444.980405	449.345272	1487.35455	1487.52206	1.646854	1.761839	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.168005	ATLAS-SUSY-2018-05-ewk	1.042808	CMS-SUS-21-002	115.306548	1357.95819	430.821957	37.1475267	-1	00:56:10
ew_y8meh16c.slha	158.578997	169.55788	162.544604	664.740941	2681.49951	665.004897	1.695853	1.622884	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.69873	ATLAS-SUSY-2018-41	1.15095	ATLAS-SUSY-2018-41	2628.36725	586.104187	159.308674	17.9406596	-1	00:32:31
