#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_1ax3nm3j.slha	279.001327	285.568667	285.077095	1372.51879	1374.11732	1375.35494	-1	-1	-1	-1	-1	-1	-1	265.264243	239.110708	1338.52731	42.2600505	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:21
ew_u5pivnco.slha	169.130029	172.97028	170.969349	1859.42202	2249.58227	2249.74229	-1	-1	-1	-1	-1	-1	-1	1813.0253	2096.1652	169.048698	5.34643001	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:23
ew_hlzko_h3.slha	415.098712	419.44875	417.254823	1874.98024	2288.23807	1875.1587	-1	-1	-1	-1	-1	-1	-1	2234.96101	1736.55986	403.076896	49.9785826	['ATLAS-SUSY-2016-07']	00:00:23
ew_3vrf79__.slha	107.292223	112.816294	110.185788	1165.71353	1578.09083	1578.24936	-1	-1	-1	-1	-1	-1	-1	1125.19819	1444.36966	105.632937	46.1559501	['ATLAS-SUSY-2016-32', 'CMS-EXO-13-006']	00:00:25
ew_tk63mg5d.slha	377.474805	381.479534	379.588697	2029.52061	2114.04767	2110.72167	-1	-1	-1	-1	-1	-1	-1	1976.89521	1960.7991	366.127837	48.0068746	['ATLAS-SUSY-2016-07']	00:00:05
ew_65hyyap6.slha	154.387942	157.553598	156.13825	2460.40123	2731.67041	2460.57584	-1	-1	-1	-1	-1	-1	-1	2678.4657	2304.13941	149.781624	31.5367622	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:03
ew_11_e23sg.slha	104.921516	110.11868	107.474311	1404.55322	2364.06477	1404.73363	-1	-1	-1	-1	-1	-1	-1	2310.71686	1286.38328	103.499441	26.3953425	['ATLAS-SUSY-2016-32', 'CMS-EXO-13-006']	00:00:38
ew_84l0rpqe.slha	169.519932	177.252385	174.7655	442.692625	2590.96343	2591.12897	0.1160546	0.07040788	ATLAS-SUSY-2019-09	0.1160546	ATLAS-SUSY-2019-09	0.07040788	ATLAS-SUSY-2019-09	425.301435	2428.90977	168.822276	14.4187871	-1	00:00:18
ew_o4m43f7k.slha	228.956923	236.742919	233.597	594.891586	1617.49888	1617.66425	-1	-1	-1	-1	-1	-1	-1	569.355133	1483.21877	225.022978	25.6254554	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:12
ew_l6vn_gjp.slha	188.412428	197.547242	194.993064	387.786509	2675.88635	2676.05186	0.1526331	0.1172821	ATLAS-SUSY-2019-09	0.1526331	ATLAS-SUSY-2019-09	0.1172821	ATLAS-SUSY-2019-09	370.289436	2511.93085	187.439752	23.7101424	-1	00:00:11
