#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_lnyi9rkk.slha	399.934053	488.271579	484.127326	494.399118	1415.76402	1415.93047	0.001809492	0.002323248	ATLAS-SUSY-2013-11,CMS-SUS-13-012	0.001701116	ATLAS-SUSY-2013-11	0.001587708	ATLAS-SUSY-2013-11	392.659412	1288.76252	469.526432	48.0573539	-1	00:00:15
ew_adzqzlq1.slha	226.330009	235.806544	233.030025	435.27737	2120.55681	2120.72243	0.1076801	0.06532724	ATLAS-SUSY-2019-09	0.1076801	ATLAS-SUSY-2019-09	0.06532724	ATLAS-SUSY-2019-09	414.777682	1970.58113	224.902766	15.705546	-1	00:00:14
ew_ucohpjqw.slha	395.053848	409.373964	407.202232	500.823779	2578.73895	2578.90411	0.01816588	0.01488207	CMS-SUS-16-048	0.01816588	CMS-SUS-16-048	0.01488207	CMS-SUS-16-048	476.00463	2417.46092	392.78785	28.6557017	-1	00:00:43
ew_14xaqqr3.slha	185.221017	190.598885	187.796557	1420.83791	1588.8738	1589.0102	-1	-1	-1	-1	-1	-1	-1	1373.70283	1455.73563	182.626383	9.97972902	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:25
ew_58ea9auo.slha	121.261817	125.56778	123.700252	1034.87196	2489.36454	2489.53001	-1	-1	-1	-1	-1	-1	-1	1008.27856	2329.23151	118.885708	24.7974238	['ATLAS-SUSY-2016-32', 'CMS-EXO-13-006']	00:00:03
ew_1_fumuw3.slha	82.7281218	674.499015	674.050818	676.827858	2361.83902	2362.00452	2.101092	2.083597	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.056037	ATLAS-SUSY-2018-41	1.406731	ATLAS-SUSY-2018-41	77.0432405	2206.11769	653.46963	39.0216191	-1	00:36:52
ew_0ege28gg.slha	208.536449	212.210322	210.697469	1311.53178	2810.95029	2811.11562	-1	-1	-1	-1	-1	-1	-1	1282.93542	2643.93872	202.100439	47.8537944	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:21
ew_vqf199c7.slha	204.274432	214.040314	208.289013	808.956908	1357.61159	809.208887	1.048365	1.029015	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.157296	ATLAS-SUSY-2018-41	0.8009619	ATLAS-SUSY-2018-41	1309.22037	714.262608	202.110179	38.4996122	-1	00:40:36
ew_jm88z5v4.slha	405.658553	900.836396	899.53169	903.609101	1888.32096	1888.48575	0.5015209	0.5422659	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.5891078	ATLAS-SUSY-2018-41	0.4028301	ATLAS-SUSY-2018-41	393.100823	1748.25681	878.446019	8.03641848	-1	00:43:09
ew_2k_at9v9.slha	75.5704496	343.657463	343.820541	2795.32892	2795.87646	2796.75401	3.215097	3.681048	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.319479	CMS-SUS-21-002	2.41264	ATLAS-SUSY-2019-08	71.004744	299.093781	2746.46239	24.7821359	-1	00:41:35
ew_jbs09pom.slha	214.416629	225.234798	218.362897	701.404497	2359.69037	701.665349	0.1321951	1.314237	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.371142	ATLAS-SUSY-2018-41	0.9248368	ATLAS-SUSY-2018-41	2306.36017	618.887415	212.834061	43.6872051	-1	00:54:53
ew_eltleck8.slha	366.850555	664.960895	663.589736	671.532479	1104.56638	1104.73465	0.2355046	0.2803562	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1738703	CMS-SUS-21-002	0.1844501	CMS-SUS-21-002	349.666173	988.569982	648.968124	43.1722281	-1	00:55:42
ew_ohrxqz6x.slha	460.366105	464.6902	462.384199	1840.31782	2815.13736	1840.49117	-1	-1	-1	-1	-1	-1	-1	2762.29701	1707.35172	446.987594	30.2214186	['ATLAS-SUSY-2016-07']	00:00:16
ew_f4pj1fyt.slha	178.536372	194.718179	191.51537	275.912266	2357.66297	2357.82893	0.4603065	0.4311009	ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.4411217	ATLAS-SUSY-2019-09	0.3885802	ATLAS-SUSY-2019-09	252.58347	2200.72334	183.735052	48.8758736	-1	00:03:33
ew_4ag92v2o.slha	318.353662	322.050872	320.271377	2062.40356	3034.74449	2062.57472	-1	-1	-1	-1	-1	-1	-1	2982.40542	1921.96559	308.430374	45.5875311	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:03
ew_m72_9xzm.slha	157.593315	162.194334	159.879125	1607.76165	2576.57729	1607.93762	-1	-1	-1	-1	-1	-1	-1	2523.2545	1482.12295	153.864215	24.6422692	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:03
ew_uzmb5r2i.slha	129.753157	722.590485	722.25295	725.352525	2079.05724	2079.22317	1.706899	1.740436	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.753215	ATLAS-SUSY-2018-41	1.201182	ATLAS-SUSY-2018-41	122.461903	1930.85587	701.352386	44.9506002	-1	00:59:22
ew_ubya4v89.slha	194.943854	566.584919	566.748546	2755.1877	2756.43011	2757.03334	2.431435	3.149041	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.237763	ATLAS-SUSY-2018-41	2.165724	CMS-SUS-21-002	189.232099	507.365389	2706.70292	8.87393182	-1	01:16:37
ew_1anrwzgf.slha	295.926227	401.853038	401.92568	775.101682	783.412334	783.933574	0.4655823	0.5209284	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.5044485	ATLAS-SUSY-2019-09	0.5383619	ATLAS-SUSY-2019-09	278.350919	346.328967	750.227176	19.3314948	-1	01:14:01
ew_5iwfmhi9.slha	130.237555	184.782999	175.753623	196.060963	693.146647	693.326254	1.369531	1.378296	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.329819	ATLAS-SUSY-2019-09	1.402702	ATLAS-SUSY-2019-09	136.730375	596.62858	171.936818	18.8652558	-1	01:19:38
ew_ewjp_7a0.slha	181.05661	530.252389	528.847807	532.070044	1941.89464	1942.06072	1.494131	1.461971	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.8681939	ATLAS-SUSY-2018-05-ewk	0.8838273	CMS-SUS-21-002	173.099595	1797.28604	512.1101	46.6743536	-1	00:32:32
ew_e_gev9f4.slha	314.395264	319.743191	317.240762	1220.15375	1751.34546	1751.50644	-1	-1	-1	-1	-1	-1	-1	1180.85644	1612.30233	305.803163	46.5559059	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:20
ew_6l2x4554.slha	51.5573043	1171.56338	1171.72823	2775.38971	2776.76379	2777.46288	0.6002851	0.7947474	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.5835696	ATLAS-SUSY-2018-41	0.6371307	CMS-SUS-21-002	47.1990488	1072.14545	2729.43485	32.1920597	-1	00:02:49
