#SLHA_file	 M_N1	 M_N2	 M_C1	 M_N3	 M_N4	 M_C2	 r_obs(comb)	 r_exp(comb)	 Combination	 max_r_obs	 Most_Constraining_Analysis	 max_r_exp	 Most_sensitive_Analysis	 Time taken
ew_m35te10c.slha	412.817209	425.326776	422.866589	543.496821	2202.69977	2202.86498	-1	-1	-1	-1	-1	-1	-1	00:00:12
ew_3psnuh5e.slha	131.360686	135.274882	133.591021	1226.79477	2582.02745	2582.19282	-1	-1	-1	-1	-1	-1	-1	00:00:26
ew_ay_4glqp.slha	407.078371	412.444696	410.224531	1022.96862	2087.22976	2087.39435	-1	-1	-1	-1	-1	-1	-1	00:00:26
ew_gv64zjq2.slha	105.960924	109.194212	107.798384	1682.05801	2859.75728	2859.9225	-1	-1	-1	-1	-1	-1	-1	00:00:26
ew_l59totsq.slha	474.035809	554.73986	546.075954	561.309756	1023.28125	1023.42522	0.001056322	0.001348997	CMS-SUS-13-012,CMS-SUS-16-048	0.0009711046	CMS-SUS-16-048	0.0008604272	CMS-SUS-16-048	00:01:25
ew_08dvyl5b.slha	492.401069	500.34822	496.284382	1002.2672	1403.674	1403.82596	-1	-1	-1	-1	-1	-1	-1	00:00:41
ew_idrfdsxj.slha	371.534017	375.596801	374.040343	1159.35594	2866.86835	2867.03324	-1	-1	-1	-1	-1	-1	-1	00:00:02
ew_977eof11.slha	387.525593	394.699115	390.277218	1117.02634	2615.83223	1117.22069	0.09867534	0.1155899	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.1144066	ATLAS-SUSY-2018-41	0.07937282	ATLAS-SUSY-2018-41	00:02:01
ew_ptedvsp0.slha	165.736641	169.65079	167.839123	1450.52763	2404.4943	2404.65871	-1	-1	-1	-1	-1	-1	-1	00:00:06
ew_i7nvtd89.slha	243.170076	253.51743	246.655665	748.65895	2822.50665	748.902559	1.108078	1.033447	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.111728	ATLAS-SUSY-2018-41	0.7539585	ATLAS-SUSY-2018-41	00:35:52
