#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_nzyxok3h.slha	371.93768	375.131501	373.629775	2511.23593	2883.03071	2511.408	-1	-1	-1	-1	-1	-1	-1	2830.35365	2355.38178	360.528272	19.6339967	[]	00:00:05
ew_s363_2x8.slha	119.418777	123.460993	121.293845	1923.68707	2316.9494	1923.86446	-1	-1	-1	-1	-1	-1	-1	2263.73726	1783.41448	119.822516	7.18479042	[]	00:00:04
ew_btjitblw.slha	412.643515	415.61194	414.379087	2078.80115	3131.3577	3131.52196	-1	-1	-1	-1	-1	-1	-1	2041.45913	2959.50017	399.683702	22.6926959	[]	00:00:04
ew_to8dminm.slha	452.748298	472.947905	470.874686	530.927675	2652.49837	2652.66343	0.005629792	0.005866048	CMS-SUS-16-048	0.005629792	CMS-SUS-16-048	0.005866048	CMS-SUS-16-048	499.879915	2489.74014	454.711085	29.3123491	-1	00:00:33
ew_73jexma2.slha	312.143318	317.624967	314.324583	1398.18549	3045.29849	1398.36383	-1	-1	-1	-1	-1	-1	-1	2993.25974	1285.12868	305.349775	10.2478851	['CMS-SUS-16-039-agg']	00:00:23
ew_60o95nvy.slha	390.812877	1156.55139	1156.46055	1160.383	2033.51551	2033.68167	0.2682272	0.3300675	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.2974633	ATLAS-SUSY-2018-41	0.2359367	CMS-SUS-21-002	377.418337	1887.55285	1129.26655	37.346137	-1	00:04:14
ew_kv5ho_95.slha	138.462262	167.743432	167.89914	2584.78121	2585.50748	2586.35725	0.5951447	0.6426302	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,CMS-SUS-16-048	0.488507	ATLAS-SUSY-2018-05-ewk	0.5157829	CMS-SUS-16-048	132.938521	140.559759	2536.10956	12.6461435	-1	00:01:53
ew_bk02zj9a.slha	363.111797	368.295531	366.538829	828.058969	2790.85704	2791.02232	-1	-1	-1	-1	-1	-1	-1	806.908518	2624.67732	353.10527	47.3599573	[]	00:00:02
ew_20ahkpkf.slha	220.795282	232.715277	224.411391	671.605337	2388.64399	671.880967	1.318388	1.272945	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.253185	ATLAS-SUSY-2018-41	0.844949	ATLAS-SUSY-2018-41	2335.4889	591.017037	221.158866	11.6181237	-1	00:36:46
ew_n7qc6xro.slha	40.0319967	570.925986	570.248195	573.298025	2275.91548	2276.08092	2.531766	2.506476	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.136106	ATLAS-SUSY-2018-41	1.491644	CMS-SUS-21-002	35.2258658	2122.49645	552.059855	23.946561	-1	00:36:32
