#Has files from 20 to 30
#SLHA_file	 M_N1	 M_N2	 M_C1	 M_N3	 M_N4	 M_C2	 r_obs(comb)	 r_exp(comb)	 Combination	 max_r_obs	 Most_Constraining_Analysis	 max_r_exp	 Most_sensitive_Analysis	 Time taken
ew__o64k6fa.slha	298.906747	304.297246	301.50441	1525.42736	1728.63686	1525.62778	-1	-1	-1	-1	-1	-1	-1	00:00:21
ew_f14td82x.slha	408.756737	413.018922	410.911843	1988.79741	2011.03524	2001.75335	-1	-1	-1	-1	-1	-1	-1	00:00:03
ew_27qqrdtr.slha	217.888412	225.874275	222.98343	520.510434	1875.71336	1875.87903	0.05704051	0.03460528	ATLAS-SUSY-2019-09	0.05704051	ATLAS-SUSY-2019-09	0.03460528	ATLAS-SUSY-2019-09	00:00:38
ew_y8meh16c.slha	158.578997	169.55788	162.544604	664.740941	2681.49951	665.004897	1.695853	1.622884	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.69873	ATLAS-SUSY-2018-41	1.15095	ATLAS-SUSY-2018-41	00:31:51
ew_2ow3i1ho.slha	262.101339	265.955754	264.095415	1942.17204	3031.82385	1942.34362	-1	-1	-1	-1	-1	-1	-1	00:00:02
ew_d1oyax2p.slha	75.0462085	981.849714	981.791301	987.52335	1679.47558	1679.64251	0.6684936	0.8344226	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.7737554	ATLAS-SUSY-2018-41	0.5728213	CMS-SUS-21-002	00:38:57
ew_v976gide.slha	434.754665	439.837314	437.020204	1607.28191	2334.25476	1607.46097	-1	-1	-1	-1	-1	-1	-1	00:00:18
ew_7g4lghrq.slha	402.643486	649.943096	647.229973	651.190824	2268.06382	2268.22872	0.1567155	0.1218146	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.1271359	CMS-SUS-21-002	0.09337029	CMS-SUS-21-002	00:38:43
ew_il3bapof.slha	113.037945	116.237001	114.852577	1946.79345	2709.64777	2709.81221	-1	-1	-1	-1	-1	-1	-1	00:00:20
ew_vw9syb1g.slha	24.813669	316.126285	313.660352	317.475463	2381.90444	2382.06994	2.766348	2.948151	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.816999	ATLAS-SUSY-2019-09	1.771905	ATLAS-SUSY-2018-05-ewk	00:41:54
