#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_dx01fcua.slha	205.435808	209.344032	207.822293	1020.50064	3140.76754	3140.93283	-1	-1	-1	-1	-1	-1	-1	999.322378	2968.03793	199.412939	32.5881312	[]	00:00:06
ew_8n2rdsq8.slha	242.307178	246.952852	244.582645	1588.37381	2889.59247	1588.54888	-1	-1	-1	-1	-1	-1	-1	2836.79627	1465.46937	235.374825	40.471661	[]	00:00:10
ew_psn15emi.slha	224.962598	229.802544	227.394834	1616.26605	2030.44752	1616.4488	-1	-1	-1	-1	-1	-1	-1	1977.76976	1486.37807	218.721875	39.7826927	[]	00:00:10
ew_rlbpfdjr.slha	454.660862	1165.0806	1164.91228	1168.82642	2027.83896	2028.00494	0.1146662	0.2025249	CMS-SUS-21-002	0.1146662	CMS-SUS-21-002	0.2025249	CMS-SUS-21-002	439.710851	1881.7403	1138.37028	48.4824321	-1	00:03:01
ew_o27ymyy5.slha	273.80128	1185.20705	1185.25258	1189.09931	2104.95485	2105.12081	0.2729062	0.3445076	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.2949631	ATLAS-SUSY-2018-41	0.253744	CMS-SUS-21-002	263.410407	1957.53883	1157.12071	25.3280082	-1	00:03:37
ew_ia6317ar.slha	477.903925	486.523808	481.181118	1154.05396	1307.0394	1154.33594	0.07484805	0.1315374	CMS-SUS-21-002	0.07484805	CMS-SUS-21-002	0.1315374	CMS-SUS-21-002	1259.3359	1040.63337	468.431407	15.185593	-1	00:02:17
ew_nvjan1vn.slha	320.727571	330.306072	326.438049	603.501793	1368.75237	1368.91626	-1	-1	-1	-1	-1	-1	-1	574.807336	1243.9885	315.881761	18.7650884	['CMS-SUS-16-039-agg']	00:00:05
ew_xkz8uexc.slha	352.670942	356.198209	354.827204	1367.64811	3086.03546	3086.20036	-1	-1	-1	-1	-1	-1	-1	1340.8777	2914.57165	341.555185	36.9001093	[]	00:00:00
ew_xz7qudy9.slha	150.783086	154.86772	152.769834	1823.618	2780.30752	1823.79115	-1	-1	-1	-1	-1	-1	-1	2727.31469	1690.51835	148.116771	12.774004	[]	00:00:00
ew_ppbpewit.slha	233.821906	242.659739	237.122385	847.093088	2821.71598	847.31065	1.028701	1.029254	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.145242	ATLAS-SUSY-2018-41	0.7921962	ATLAS-SUSY-2018-41	2768.8597	759.289513	230.422889	23.3560935	-1	00:34:38
