#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_38g23u5n.slha	348.557529	362.398258	361.895274	2133.63325	2134.74949	2135.60851	-1	-1	-1	-1	-1	-1	-1	337.033128	313.971371	2089.76069	18.1944348	[]	00:00:04
ew_8yu78_5a.slha	250.203332	256.58009	254.476571	600.392103	2636.16743	2636.33274	-1	-1	-1	-1	-1	-1	-1	581.553048	2473.30635	244.96846	21.4292588	[]	00:00:05
ew_xgd95q13.slha	56.0278043	140.643326	140.799719	2617.49963	2617.80646	2618.85071	0.527951	0.6406448	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-02,CMS-SUS-13-012	0.4776636	ATLAS-SUSY-2013-11	0.4458194	ATLAS-SUSY-2013-11	51.2616988	114.047383	2571.50322	42.0700626	-1	00:02:07
ew_8stp2e2a.slha	142.777722	1172.51484	1172.67935	1807.91184	1813.06907	1813.56559	0.6028605	0.7792756	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.5888904	ATLAS-SUSY-2018-41	0.6242681	CMS-SUS-21-002	135.255646	1073.65337	1771.01781	11.233367	-1	00:04:54
ew_uw5kv7jt.slha	473.483409	481.647673	477.238736	1045.17442	1289.18042	1289.31376	0.03597594	0.06325111	CMS-SUS-21-002	0.03597594	CMS-SUS-21-002	0.06325111	CMS-SUS-21-002	1003.5588	1167.61612	463.343435	20.2585904	-1	00:04:22
ew_i25uqsrq.slha	353.511876	1187.83613	1188.05125	1216.15816	1332.32703	1332.47811	0.2578845	0.3309958	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.2419201	ATLAS-SUSY-2018-41	0.2702203	CMS-SUS-21-002	336.812359	1187.94009	1185.34034	25.7304986	-1	00:03:02
ew_jrx_vq_6.slha	258.811208	264.530948	261.204031	1323.01016	2673.63349	1323.19135	-1	-1	-1	-1	-1	-1	-1	2620.56991	1211.20327	253.342893	12.4243318	['CMS-SUS-16-039-agg']	00:00:09
ew_7gew45zh.slha	484.404149	490.570268	486.88029	1372.85604	2246.06619	1373.04224	-1	-1	-1	-1	-1	-1	-1	2193.04709	1256.09833	472.004416	31.4584449	['CMS-SUS-16-039-agg']	00:00:04
ew_j0yzy36c.slha	457.633252	461.31391	459.914818	1360.79934	3049.76104	3049.92582	-1	-1	-1	-1	-1	-1	-1	1333.77933	2879.09513	443.732166	40.8372485	[]	00:00:00
ew_pbazk_rs.slha	326.909007	390.507589	329.012237	442.256556	2609.2246	444.984119	0.01441754	0.05701467	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.05441016	ATLAS-SUSY-2019-09	0.056978	ATLAS-SUSY-2019-09	2556.10727	331.268508	373.171491	26.242381	-1	00:15:59
