#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_m24v3nki.slha	108.034519	112.775904	110.513309	1652.87697	1707.74993	1702.89666	-1	-1	-1	-1	-1	-1	-1	1602.12739	1565.1646	105.957702	40.5369867	[]	00:00:00
ew_wpmee0jp.slha	191.179946	194.288771	192.926149	2544.49967	2593.89724	2584.32988	-1	-1	-1	-1	-1	-1	-1	2491.16811	2422.60124	185.069743	36.244066	[]	00:00:01
ew_4mm70p3h.slha	227.674527	238.786588	231.176433	706.549287	2730.99691	706.806558	1.335469	1.302275	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.364012	ATLAS-SUSY-2018-41	0.9204257	ATLAS-SUSY-2018-41	2678.02144	625.661332	226.961696	13.2743461	-1	00:36:00
ew_vaifpfcc.slha	170.577025	952.080126	952.244844	2837.5169	2838.57904	2839.30606	1.358996	1.769024	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.528291	ATLAS-SUSY-2018-41	1.315253	CMS-SUS-21-002	164.248851	864.754501	2790.75919	33.3536992	-1	00:36:30
ew_d9ifivyv.slha	365.760916	369.974735	367.847461	1855.18425	2650.90268	1855.35822	-1	-1	-1	-1	-1	-1	-1	2597.64083	1720.15925	354.85278	43.9933266	[]	00:00:02
ew_ufltnjnx.slha	362.026818	739.2253	737.52053	740.830375	1949.96414	1950.12947	0.7412929	0.6760566	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.6240624	ATLAS-SUSY-2018-41	0.4240025	ATLAS-SUSY-2018-41	350.847357	1806.70706	717.398427	12.9613142	-1	00:36:17
ew_vhdyfvub.slha	424.374111	453.464756	449.275158	493.314305	1398.61991	1398.78518	0.001699945	0.002929402	ATLAS-SUSY-2013-11,CMS-SUS-16-048	0.001693334	CMS-SUS-16-048	0.002929034	CMS-SUS-16-048	449.363792	1272.95639	435.710884	18.7640479	-1	00:01:50
ew_nzc80_6u.slha	120.432162	124.322445	122.616581	1304.13448	2501.14897	2501.31417	-1	-1	-1	-1	-1	-1	-1	1272.5005	2340.65759	117.608706	31.0619933	[]	00:00:03
ew_lqajk061.slha	52.4235918	390.074204	390.237931	2965.11366	2965.55873	2966.44005	3.617516	4.461751	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.892931	CMS-SUS-21-002	3.211107	CMS-SUS-21-002	48.2519009	341.424321	2917.29105	38.8324766	-1	00:45:22
ew_igtwsets.slha	303.423746	306.779099	305.366527	1679.92726	2861.92473	2862.08928	-1	-1	-1	-1	-1	-1	-1	1645.71403	2694.58232	294.151564	21.05357	[]	00:00:03
