#Has files from 1 to 2#SLHA_file	 M_N1	 M_N2	 M_C1	 M_N3	 M_N4	 M_C2	 r_obs(comb)	 r_exp(comb)	 Combination	 max_r_obs	 Most_Constraining_Analysis	 max_r_exp	 Most_sensitive_Analysis	 Time taken
ew_nb61m1ve.slha	173.744161	195.404907	195.551707	1836.80168	1837.53793	1838.73965	0.148835	0.1356752	CMS-SUS-16-048	0.148835	CMS-SUS-16-048	0.1356752	CMS-SUS-16-048	00:00:42
ew_ji08w4lf.slha	173.441892	179.280397	176.603191	941.185237	1659.10308	1659.26663	-1	-1	-1	-1	-1	-1	-1	00:00:24
ew_0jbajizi.slha	139.733289	177.20761	173.410821	203.867331	2349.86657	2350.03237	0.9353968	0.9148512	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048	0.9146099	ATLAS-SUSY-2019-09	0.9065921	ATLAS-SUSY-2019-09	00:05:19
ew_6e6toye6.slha	263.120059	720.917856	720.572965	727.512037	1231.01911	1231.19023	1.178618	1.164191	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.120301	ATLAS-SUSY-2018-41	0.7573072	ATLAS-SUSY-2018-41	00:32:26
ew_2logb6io.slha	104.423928	109.156942	106.833728	1585.86477	2192.08505	1586.04435	-1	-1	-1	-1	-1	-1	-1	00:00:21
ew_cooq041y.slha	248.27298	637.857859	637.987686	1004.41049	1014.93698	1015.02359	2.005928	2.409829	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.098012	ATLAS-SUSY-2018-41	1.674329	CMS-SUS-21-002	00:42:15
ew_an4dgsyf.slha	351.606558	396.774827	354.60005	471.969311	1725.19239	473.943162	0.1655659	0.1442285	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1615268	ATLAS-SUSY-2019-09	0.1334439	ATLAS-SUSY-2019-09	00:14:18
ew_j0kpbcwr.slha	76.0957975	718.590538	718.759942	1123.66489	1130.79609	1131.65633	3.361689	3.792998	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	3.643734	ATLAS-SUSY-2018-41	2.490074	CMS-SUS-21-002	00:50:02
ew_g099cxnw.slha	182.400654	296.216865	294.270223	346.85944	409.600244	409.590577	1.099042	0.9928297	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.8891373	ATLAS-SUSY-2019-09	0.8323591	ATLAS-SUSY-2019-09	00:45:45
ew_01796gks.slha	82.051389	459.12615	459.349872	596.838552	619.100219	620.124992	3.720992	4.051494	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.436844	CMS-SUS-21-002	2.905125	CMS-SUS-21-002	00:43:37
