#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_hkv6aaf9.slha	265.554777	268.571881	267.333939	1883.98474	3092.42073	3092.58544	-1	-1	-1	-1	-1	-1	-1	1849.12681	2920.67859	256.881049	31.4004992	[]	00:00:05
ew_tp_kargg.slha	345.632641	348.555847	347.274209	2786.99403	2802.73653	2791.63699	-1	-1	-1	-1	-1	-1	-1	2734.40673	2626.37185	334.383726	29.945885	[]	00:00:04
ew_4ndcudvv.slha	182.587877	186.682108	184.827896	1647.95167	2103.60281	2103.76414	-1	-1	-1	-1	-1	-1	-1	1603.59853	1953.37816	177.306686	48.4782885	[]	00:00:04
ew_g8op2s2t.slha	367.68954	455.801748	455.946822	1374.44203	1377.65612	1378.3075	0.004610265	0.006092159	ATLAS-SUSY-2013-11,CMS-SUS-13-012	0.00458973	ATLAS-SUSY-2013-11	0.005564262	ATLAS-SUSY-2013-11	352.180521	398.225405	1340.0828	12.232924	-1	00:00:04
ew_65lmx81z.slha	111.565567	114.919114	113.460011	1736.50424	2669.11594	2669.28078	-1	-1	-1	-1	-1	-1	-1	1698.60634	2504.6696	108.611173	41.8086441	[]	00:00:00
ew_3q46fco1.slha	239.8325	244.315358	242.020467	1642.15894	3016.4724	1642.33294	-1	-1	-1	-1	-1	-1	-1	2964.13273	1517.83185	232.984471	29.7082514	[]	00:00:02
ew_sthx32ek.slha	277.018291	283.693936	280.397738	1048.61757	1378.82482	1378.9765	-1	-1	-1	-1	-1	-1	-1	1008.2894	1252.9728	270.474067	45.826401	['CMS-SUS-16-039-agg']	00:00:17
ew_k_wfo35b.slha	135.828456	144.469052	140.439433	587.44144	1197.94453	1198.10784	0.1545977	0.1869506	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.1783009	ATLAS-SUSY-2018-41	0.1254311	ATLAS-SUSY-2018-41	558.083382	1078.96105	135.051249	46.3960203	-1	00:09:03
ew_cbbc9a8y.slha	467.564686	474.575133	470.15474	1246.32382	2095.76555	1246.51768	0.04698395	0.08286793	CMS-SUS-21-002	0.04698395	CMS-SUS-21-002	0.08286793	CMS-SUS-21-002	2043.19933	1134.7878	456.69936	17.9928127	-1	00:10:34
ew__3rm2qrs.slha	383.443449	390.5019	386.46798	1213.77084	1570.287	1213.98081	0.06168071	0.1085525	CMS-SUS-21-002	0.06168071	CMS-SUS-21-002	0.1085525	CMS-SUS-21-002	1520.07147	1099.07365	374.399472	47.1997547	-1	00:10:01
ew_zx4_mk8h.slha	451.068564	461.046331	455.574974	885.197167	1141.61034	1141.73555	0.1801858	0.2066665	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.2054638	ATLAS-SUSY-2018-41	0.1413224	ATLAS-SUSY-2018-41	845.920446	1026.06734	443.658806	13.3608287	-1	00:13:22
ew_e8dxanvh.slha	358.453812	371.514046	362.058099	736.736741	1636.36435	737.043651	0.6462355	0.6057876	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.6012704	ATLAS-SUSY-2018-41	0.4078175	ATLAS-SUSY-2018-41	1585.93842	647.187493	355.487585	19.0005137	-1	00:38:51
ew_xeo38_7c.slha	338.206714	342.359967	340.293128	1695.00855	2222.83046	2222.99178	-1	-1	-1	-1	-1	-1	-1	1651.95414	2070.81232	330.97019	7.55490092	[]	00:00:01
ew_j8kxjv5j.slha	444.127777	448.22975	446.200037	1782.83496	2293.63805	2293.7991	-1	-1	-1	-1	-1	-1	-1	1739.05228	2140.07825	433.331072	8.62309944	[]	00:00:01
ew_sgr957mw.slha	24.8064941	658.136603	657.785004	660.711585	2330.91344	2331.07883	2.286419	2.255665	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.186933	ATLAS-SUSY-2018-41	1.502591	ATLAS-SUSY-2018-41	20.1333722	2176.1254	637.484944	30.7715905	-1	00:39:14
ew_4umhjv2g.slha	293.649	297.628494	295.88202	1544.42206	2320.05951	2320.22336	-1	-1	-1	-1	-1	-1	-1	1505.63226	2164.34005	284.683367	48.7751109	[]	00:00:00
ew_321t_p9f.slha	84.9999204	685.658629	685.23593	688.034058	2337.15519	2337.32072	2.041479	2.026648	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.018142	ATLAS-SUSY-2018-41	1.379508	ATLAS-SUSY-2018-41	79.2349594	2182.1109	664.427292	37.5077553	-1	00:41:01
ew_25qggfk2.slha	443.699467	446.730359	445.36402	2698.31583	2861.26046	2698.49296	-1	-1	-1	-1	-1	-1	-1	2808.45104	2536.6363	429.660479	34.3454383	[]	00:00:00
ew_uo_k8myr.slha	113.630761	118.450757	116.031913	1550.52386	2241.11018	1550.70309	-1	-1	-1	-1	-1	-1	-1	2187.92635	1424.96675	111.782015	23.5419566	['CMS-SUS-16-039-agg']	00:00:01
ew_l685nyne.slha	417.599018	684.055895	680.891868	684.486915	2039.73056	2039.8954	0.1704403	0.1308621	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.1502327	CMS-SUS-21-002	0.1031652	CMS-SUS-21-002	407.764484	1894.45648	663.699319	7.16946046	-1	00:44:38
ew_wrkbc8tk.slha	461.37044	984.935774	985.097937	1920.71189	1924.14585	1924.58931	0.7189045	0.8840811	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.8384679	ATLAS-SUSY-2018-41	0.6147474	CMS-SUS-21-002	446.618965	895.250433	1881.53026	11.9058186	-1	00:47:56
ew_4e1sycxk.slha	79.9364108	901.832136	902.057593	907.491123	1580.34314	1580.51201	0.9133457	1.088707	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.054576	ATLAS-SUSY-2018-41	0.7352334	ATLAS-SUSY-2018-41	72.4893501	1448.25182	880.024858	26.7395051	-1	00:50:44
ew_cvp0ci6b.slha	268.872607	284.039519	272.804268	600.488615	1850.12179	600.859095	0.7469105	0.7808754	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.4929255	ATLAS-SUSY-2018-41	0.4610647	CMS-SUS-21-002	1798.44506	519.638133	270.27823	14.5880922	-1	00:53:14
ew_y7tgjd3m.slha	196.120882	241.506742	201.346434	320.553709	663.879608	324.073909	0.1919434	0.1854364	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1901394	ATLAS-SUSY-2018-32	0.1766993	ATLAS-SUSY-2018-32	624.284653	225.96009	225.734541	42.5275373	-1	00:21:58
ew_pnt826eq.slha	361.930479	366.526603	364.107218	1703.42085	2559.0284	1703.59638	-1	-1	-1	-1	-1	-1	-1	2505.77605	1574.11834	351.443939	29.3895261	[]	00:00:01
ew_eyi7qpii.slha	242.527535	248.416008	245.639153	1062.8625	1588.32417	1588.48474	-1	-1	-1	-1	-1	-1	-1	1025.3827	1454.81744	236.439784	40.6616597	[]	00:00:00
ew__6kcx_sa.slha	151.593789	155.211463	153.703071	1248.27917	2934.40587	2934.57121	-1	-1	-1	-1	-1	-1	-1	1221.99864	2765.08068	147.545395	26.8545965	[]	00:00:00
ew_zvkl8m7c.slha	143.505862	214.732189	209.81534	223.093095	1389.81856	1389.98647	1.452551	1.442632	ATLAS-SUSY-2019-09,CMS-SUS-16-048	1.443091	ATLAS-SUSY-2019-09	1.439206	ATLAS-SUSY-2019-09	145.519797	1263.56892	202.013514	40.4553026	-1	00:04:01
ew_3yc_thxk.slha	175.538875	1163.64267	1164.06822	1179.3087	1394.4898	1394.68324	0.3318135	0.4196657	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3520297	ATLAS-SUSY-2018-41	0.3131897	CMS-SUS-21-002	164.518961	1260.89298	1148.56005	31.2025703	-1	00:06:59
ew_an6t0v8p.slha	128.404259	131.883666	130.298169	2206.9591	2613.29083	2207.13315	-1	-1	-1	-1	-1	-1	-1	2559.88276	2058.03599	124.843284	39.5733077	[]	00:00:00
