#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_9kq9vy1u.slha	374.350409	377.350146	376.078004	2251.9838	2932.9587	2933.12221	-1	-1	-1	-1	-1	-1	-1	2208.80762	2764.28527	362.249138	32.3835821	['ATLAS-SUSY-2016-07']	00:00:36
ew_8s0soz_e.slha	244.570151	247.988919	246.455682	1959.3975	2549.97815	2550.14111	-1	-1	-1	-1	-1	-1	-1	1915.67519	2389.03731	237.501148	18.1774478	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:35
ew_qsla1670.slha	143.861493	147.587591	145.966291	1451.20352	2525.8823	2526.04722	-1	-1	-1	-1	-1	-1	-1	1416.98533	2364.87918	139.903443	35.7957951	['ATLAS-SUSY-2016-32']	00:00:40
ew_pwi36f0g.slha	384.462563	389.646908	386.825713	1525.32259	2407.76898	1525.50174	-1	-1	-1	-1	-1	-1	-1	2354.44702	1402.45592	373.802982	42.3861836	['ATLAS-SUSY-2016-07']	00:00:05
ew_ejqfs8km.slha	262.334533	1193.96533	1194.12923	2636.10486	2638.46351	2638.88801	0.5521975	0.6958247	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.5287417	ATLAS-SUSY-2018-41	0.5599612	CMS-SUS-21-002	255.260051	1097.19339	2591.22569	7.87609431	-1	00:06:22
ew_zb4ulrx3.slha	243.320077	252.584509	249.045739	515.795093	1471.06638	1471.23201	-1	-1	-1	-1	-1	-1	-1	490.278653	1342.01631	239.993766	31.1233928	['ATLAS-SUSY-2016-07', 'ATLAS-SUSY-2016-32']	00:00:56
ew_q_xczunm.slha	439.816032	1128.31556	1128.09692	1132.47359	1913.89797	1914.06423	0.2742394	0.3279296	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.306832	ATLAS-SUSY-2018-41	0.2285875	CMS-SUS-21-002	424.823906	1771.43409	1101.67953	31.8131206	-1	00:07:13
ew_4crzghix.slha	454.043341	600.267865	596.083096	601.734427	1491.71846	1491.88415	0.002822727	0.004211338	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.003042786	CMS-SUS-21-002	0.003050063	CMS-SUS-21-002	441.458399	1362.56895	578.979604	27.861913	-1	00:08:53
ew_p553dcjs.slha	456.507292	468.431681	466.520246	583.074707	2826.38587	2826.55085	-1	-1	-1	-1	-1	-1	-1	560.233074	2660.0766	450.412632	27.0960283	['ATLAS-SUSY-2016-07']	00:00:11
ew_za12_8a1.slha	356.823393	367.967755	365.73967	513.711632	2555.45512	2555.62022	-1	-1	-1	-1	-1	-1	-1	492.095963	2395.1273	354.523807	9.79168617	['ATLAS-SUSY-2016-07']	00:00:11
