#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_lyo1sa1a.slha	281.840665	285.405902	283.551663	2182.7503	2987.63481	2182.92108	-1	-1	-1	-1	-1	-1	-1	2935.34455	2038.38332	275.151502	9.40973089	[]	00:00:08
ew_anb0o5z2.slha	441.1402	444.85636	443.145996	2059.76075	2343.49389	2343.6516	-1	-1	-1	-1	-1	-1	-1	2010.46033	2187.56752	427.807508	44.9682525	[]	00:00:04
ew_rit66ye4.slha	113.813928	117.936658	116.115461	1246.6309	2341.36279	2341.52799	-1	-1	-1	-1	-1	-1	-1	1214.26424	2184.49622	111.136131	48.0792714	[]	00:00:06
ew_fydw4qps.slha	217.155847	220.532704	219.01387	2318.42268	2651.93597	2318.5971	-1	-1	-1	-1	-1	-1	-1	2598.55257	2166.16786	210.239718	49.4754339	[]	00:00:01
ew_cbv3jzry.slha	428.683826	525.778726	525.935451	1561.22144	1563.46416	1564.31521	0.003515552	0.004357356	ATLAS-SUSY-2013-11,CMS-SUS-13-012	0.0459335	CMS-SUS-16-039-agg	0.05849228	CMS-SUS-16-039-agg	411.916963	461.622881	1525.06762	34.1570335	-1	00:00:26
ew_9o5zbldz.slha	284.525054	313.886429	313.95523	1716.33738	1717.4425	1718.57042	0.002277162	0.001780171	ATLAS-SUSY-2018-05-ewk,CMS-SUS-16-048	0.001748934	CMS-SUS-16-048	0.001629513	CMS-SUS-16-048	272.1846	266.912949	1678.93539	46.4867576	-1	00:01:12
ew_wadadwuj.slha	446.266423	479.043952	477.011431	511.881994	2773.73745	2773.90244	0.009723779	0.008185912	ATLAS-SUSY-2013-11,CMS-SUS-16-048	0.009444527	CMS-SUS-16-048	0.008185764	CMS-SUS-16-048	469.265286	2608.64395	460.955899	20.5995135	-1	00:01:13
ew_kfxpy6f2.slha	171.083166	260.501937	173.077059	295.253374	1342.07637	300.783129	0.5049126	0.3967066	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.4340184	ATLAS-SUSY-2019-09	0.3300451	ATLAS-SUSY-2019-09	1294.04881	168.514577	244.670816	17.192171	-1	00:14:56
ew_im6v7kvv.slha	204.631195	268.859987	207.466659	318.363744	2639.09316	322.321134	1.150099	1.192774	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.177596	ATLAS-SUSY-2018-32	1.204213	ATLAS-SUSY-2018-32	2585.84404	217.132879	253.038179	45.7165681	-1	00:13:53
ew_ycbfdq9w.slha	448.240331	455.004518	450.819688	1219.13496	2557.95762	1219.32474	0.05517859	0.09723938	CMS-SUS-21-002	0.05517859	CMS-SUS-21-002	0.09723938	CMS-SUS-21-002	2504.69752	1111.22428	437.312849	41.4434473	-1	00:01:32
ew_gv9wyif4.slha	380.654646	758.965204	757.532045	760.109708	2273.76856	2273.93396	0.6459798	0.6074987	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.5505238	ATLAS-SUSY-2018-41	0.3738598	ATLAS-SUSY-2018-41	369.81516	2120.42066	735.592304	41.4487711	-1	00:27:09
ew_h5s9t8sc.slha	468.671472	481.675209	479.735222	581.816324	2767.79896	2767.96417	0.001469432	0.001199057	CMS-SUS-16-048	0.001469432	CMS-SUS-16-048	0.001199057	CMS-SUS-16-048	557.54157	2602.4199	463.271519	42.2032563	-1	00:00:05
ew_5x2a6oim.slha	139.948251	151.119287	146.210887	414.038166	1067.64403	1067.80979	0.2747434	0.2172491	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-21-002	0.291085	ATLAS-SUSY-2019-09	0.1765951	ATLAS-SUSY-2019-09	387.676589	954.489147	141.012521	31.2624206	-1	00:37:56
ew_jv0bc_3i.slha	234.489917	248.078136	239.506496	662.294378	852.178246	662.759073	0.160701	0.1734031	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1346035	ATLAS-SUSY-2018-41	0.122388	CMS-SUS-21-002	809.888613	570.609045	234.635478	25.2800088	-1	00:40:04
ew_1sw0ob1i.slha	122.307559	1079.09253	1079.25656	2438.06325	2440.46914	2440.95189	0.8495769	1.159075	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.889613	ATLAS-SUSY-2018-41	0.9357164	CMS-SUS-21-002	117.307944	987.372208	2394.29223	8.25995408	-1	00:46:08
ew_iuqxelr3.slha	318.561554	440.394409	433.220508	441.449894	909.971751	910.134052	0.009275157	0.04966923	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.05429395	ATLAS-SUSY-2019-09	0.04382671	ATLAS-SUSY-2019-09	307.430033	803.463119	423.823208	14.4515591	-1	00:13:43
ew_nfo9pveg.slha	164.299003	167.598762	166.111407	1720.16491	2821.22097	2821.38572	-1	-1	-1	-1	-1	-1	-1	1684.75236	2654.38079	161.904863	9.14216658	[]	00:00:00
ew_xcka2820.slha	468.995597	474.262118	471.199483	1559.52709	2562.62341	1559.70545	-1	-1	-1	-1	-1	-1	-1	2509.51597	1436.75463	456.527964	19.3090573	[]	00:00:01
ew_vm_smru8.slha	467.006508	475.140036	469.758148	1071.90594	2465.48611	1072.11034	0.2469739	0.2796302	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.307161	ATLAS-SUSY-2018-41	0.2125161	ATLAS-SUSY-2018-41	2412.22059	970.436428	456.868618	41.1818487	-1	00:46:34
ew_w_5okum1.slha	425.504424	434.317952	430.743673	728.96148	1472.65498	1472.81822	-1	-1	-1	-1	-1	-1	-1	698.029414	1343.842	416.87382	33.2066175	[]	00:00:02
ew_85ug94mq.slha	469.795833	724.219097	724.381995	2495.87861	2497.48782	2498.04592	0.2115965	0.292802	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.1759611	CMS-SUS-21-002	0.2401281	ATLAS-SUSY-2019-08	457.83462	652.444817	2449.88822	10.8374918	-1	00:53:37
ew_cwaeosnj.slha	160.01545	164.115312	162.165653	1832.94365	2565.09619	1833.11801	-1	-1	-1	-1	-1	-1	-1	2511.65725	1697.69377	155.549576	44.8065256	[]	00:00:00
ew_z6rmvki3.slha	370.212364	423.546541	417.36339	439.004869	1057.42982	1057.59346	0.005199398	0.005146113	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-16-048,CMS-SUS-21-002	0.00504825	CMS-SUS-16-048	0.0042845	CMS-SUS-16-048	372.456689	945.229506	406.454689	15.2654455	-1	00:54:31
ew_9s0amo50.slha	378.958833	386.856774	384.502533	632.537027	2194.69942	2194.86464	-1	-1	-1	-1	-1	-1	-1	609.560971	2042.82856	370.880378	30.7764079	[]	00:00:02
ew_799e458d.slha	145.970531	150.677632	148.413509	1695.48698	1780.13288	1695.70812	-1	-1	-1	-1	-1	-1	-1	1728.4846	1559.77914	142.444881	36.8250343	[]	00:00:00
ew_7hv73zm4.slha	397.039037	403.704661	399.521857	1248.28673	2313.29466	1248.47552	0.05191303	0.09129367	CMS-SUS-21-002	0.05191303	CMS-SUS-21-002	0.09129367	CMS-SUS-21-002	2260.30857	1138.20501	388.252832	12.6370025	-1	00:01:41
ew_zetffhpt.slha	271.052042	362.696199	272.491448	396.729989	2555.33182	400.646315	0.05312468	0.145585	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1386683	ATLAS-SUSY-2019-09	0.1489203	ATLAS-SUSY-2019-09	2502.19233	263.583017	345.856006	21.7955766	-1	00:16:31
ew_64g0xslr.slha	482.539576	489.808728	485.408306	1386.34327	1400.14678	1391.43456	-1	-1	-1	-1	-1	-1	-1	1340.21957	1267.6092	473.800976	7.0569722	['CMS-SUS-16-039-agg']	00:00:05
ew_yg0qp9kd.slha	88.9661639	616.024071	616.188347	2862.47023	2863.23952	2864.02391	3.95293	4.601367	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	4.214921	ATLAS-SUSY-2018-41	3.155925	CMS-SUS-21-002	84.295629	550.705762	2813.6814	23.6613728	-1	01:04:20
