#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_58qcylxo.slha	280.307446	283.484485	282.07919	2548.47022	2561.7313	2548.79053	-1	-1	-1	-1	-1	-1	-1	2507.3995	2388.51378	271.169369	40.5693023	[]	00:00:05
ew_fypz99ad.slha	142.149188	145.055222	143.803914	2700.90262	2837.24065	2701.08177	-1	-1	-1	-1	-1	-1	-1	2784.16079	2537.92275	137.677488	47.2754159	[]	00:00:06
ew_yen3mxea.slha	410.206471	414.249683	412.594425	1324.71882	2633.2648	2633.42937	-1	-1	-1	-1	-1	-1	-1	1294.238	2470.83589	398.038472	25.3580099	[]	00:00:06
ew_slyrxr7i.slha	168.982806	172.976633	171.114767	1967.21894	2192.41245	1967.40181	-1	-1	-1	-1	-1	-1	-1	2139.21441	1823.90779	164.130121	44.6707056	[]	00:00:00
ew_7tkmq0ts.slha	312.909477	1194.44297	1194.6077	2530.07433	2531.81918	2532.49944	0.5074487	0.6470991	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.4993914	ATLAS-SUSY-2018-41	0.5150934	CMS-SUS-21-002	302.974715	1092.50622	2488.46192	48.4453664	-1	00:03:27
ew_acpe3oqq.slha	350.71429	424.735333	422.303524	436.140239	2448.41936	2448.58457	0.002795517	0.003743159	CMS-SUS-16-048	0.002795517	CMS-SUS-16-048	0.003743159	CMS-SUS-16-048	353.362867	2290.37128	407.910019	20.5471688	-1	00:01:26
ew__7tdyp0c.slha	35.5480319	131.999209	132.154749	2561.93608	2562.26487	2563.31861	6.997711	6.63389	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2019-02,ATLAS-SUSY-2019-09,CMS-SUS-13-012	9.140461	CMS-SUS-16-039-agg	9.877063	CMS-SUS-16-039-agg	31.1592928	106.365423	2515.3235	36.0770975	-1	00:05:42
ew_5804cywh.slha	247.258867	250.896003	249.180368	1831.79021	2449.18656	2449.34943	-1	-1	-1	-1	-1	-1	-1	1789.16814	2290.85796	241.755782	9.67894509	[]	00:00:01
ew_vvvrhepm.slha	236.710921	254.746911	252.153862	321.566253	2796.7556	2796.92118	0.251132	0.2480972	ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.2417421	ATLAS-SUSY-2019-09	0.227988	ATLAS-SUSY-2019-09	296.601919	2630.19465	242.217138	46.4766203	-1	00:08:01
ew_b04pxlqc.slha	297.94269	302.286322	300.452695	1204.63729	2367.60489	2367.76958	-1	-1	-1	-1	-1	-1	-1	1173.51991	2210.92033	289.085653	36.2161497	[]	00:00:00
ew_x842gakr.slha	389.756984	392.835193	391.453647	2447.27721	2776.80498	2776.96539	-1	-1	-1	-1	-1	-1	-1	2398.14884	2611.43068	377.857215	18.3151671	[]	00:00:00
ew_i5x6ibwt.slha	164.821352	209.635945	169.539986	289.042834	1992.36323	292.049678	0.9276404	0.7955287	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.7761037	ATLAS-SUSY-2019-09	0.5932652	ATLAS-SUSY-2019-09	1939.86948	205.963804	194.535316	43.4417889	-1	00:08:27
ew_bklfywzy.slha	225.8409	240.572223	238.259515	342.732704	3036.70813	3036.87335	0.3411264	0.2689999	ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.2695177	ATLAS-SUSY-2019-09	0.2176411	ATLAS-SUSY-2019-09	321.836222	2866.33835	232.001263	7.62926393	-1	00:03:24
