# From https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVglusq
# NNLOapprox + NNLL gluino-squark cross section [pb], 13 TeV
100 GeV 	7.54E+04 ± 5.68 %
105 GeV 	6.23E+04 ± 5.65 %
110 GeV 	5.18E+04 ± 5.63 %
115 GeV 	4.34E+04 ± 5.60 %
120 GeV 	3.66E+04 ± 5.58 %
125 GeV 	3.10E+04 ± 5.55 %
130 GeV 	2.64E+04 ± 5.52 %
135 GeV 	2.26E+04 ± 5.50 %
140 GeV 	1.95E+04 ± 5.47 %
145 GeV 	1.69E+04 ± 5.45 %
150 GeV 	1.46E+04 ± 5.43 %
155 GeV 	1.28E+04 ± 5.40 %
160 GeV 	1.12E+04 ± 5.37 %
165 GeV 	9.84E+03 ± 5.35 %
170 GeV 	8.67E+03 ± 5.33 %
175 GeV 	7.67E+03 ± 5.31 %
180 GeV 	6.81E+03 ± 5.29 %
185 GeV 	6.05E+03 ± 5.27 %
190 GeV 	5.40E+03 ± 5.26 %
195 GeV 	4.83E+03 ± 5.25 %
200 GeV 	4.33E+03 ± 5.23 %
205 GeV 	3.89E+03 ± 5.22 %
210 GeV 	3.50E+03 ± 5.2 %
215 GeV 	3.16E+03 ± 5.19 %
220 GeV 	2.86E+03 ± 5.18 %
225 GeV 	2.59E+03 ± 5.16 %
230 GeV 	2.35E+03 ± 5.15 %
235 GeV 	2.13E+03 ± 5.13 %
240 GeV 	1.94E+03 ± 5.12 %
245 GeV 	1.77E+03 ± 5.1 %
250 GeV 	1.62E+03 ± 5.09 %
255 GeV 	1.48E+03 ± 5.07 %
260 GeV 	1.36E+03 ± 5.05 %
265 GeV 	1.24E+03 ± 5.04 %
270 GeV 	1.14E+03 ± 5.02 %
275 GeV 	1.05E+03 ± 5.01 %
280 GeV 	9.68E+02 ± 4.99 %
285 GeV 	8.93E+02 ± 4.98 %
290 GeV 	8.24E+02 ± 4.97 %
295 GeV 	7.61E+02 ± 4.95 %
300 GeV 	7.04E+02 ± 4.94 %
