1030	3.929E-01	9.74 %
1035	3.796E-01	9.76 %
1040	3.668E-01	9.78 %
1045	3.545E-01	9.81 %
1050	3.426E-01	9.83 %
1055	3.312E-01	9.85 %
1060	3.201E-01	9.87 %
1065	3.095E-01	9.90 %
1070	2.992E-01	9.92 %
1075	2.893E-01	9.94 %
1080	2.798E-01	9.97 %
1085	2.706E-01	9.99 %
1090	2.618E-01	10.02 %
1095	2.532E-01	10.04 %
1100	2.450E-01	10.07 %
1105	2.370E-01	10.10 %
1110	2.293E-01	10.13 %
1115	2.219E-01	10.16 %
1120	2.148E-01	10.19 %
1125	2.079E-01	10.22 %
1130	2.012E-01	10.26 %
1135	1.948E-01	10.29 %
1140	1.886E-01	10.32 %
1145	1.826E-01	10.36 %
1150	1.768E-01	10.39 %
1155	1.713E-01	10.43 %
1160	1.659E-01	10.46 %
1165	1.606E-01	10.49 %
1170	1.556E-01	10.53 %
1175	1.507E-01	10.57 %
1180	1.460E-01	10.60 %
1185	1.415E-01	10.64 %
1190	1.371E-01	10.67 %
1195	1.329E-01	10.71 %
1200	1.288E-01	10.74 %
1205	1.248E-01	10.78 %
1210	1.209E-01	10.81 %
1215	1.172E-01	10.84 %
1220	1.136E-01	10.88 %
1225	1.102E-01	10.91 %
1230	1.068E-01	10.95 %
1235	1.036E-01	10.98 %
1240	1.004E-01	11.01 %
1245	9.739E-02	11.05 %
1250	9.445E-02	11.08 %
1255	9.161E-02	11.12 %
1260	8.885E-02	11.15 %
1265	8.619E-02	11.19 %
1270	8.361E-02	11.23 %
1275	8.111E-02	11.26 %
1280	7.870E-02	11.30 %
1285	7.636E-02	11.33 %
1290	7.409E-02	11.37 %
1295	7.190E-02	11.41 %
1300	6.978E-02	11.45 %
1305	6.772E-02	11.48 %
1310	6.573E-02	11.52 %
1315	6.380E-02	11.56 %
1320	6.194E-02	11.60 %
1325	6.013E-02	11.64 %
1330	5.837E-02	11.68 %
1335	5.668E-02	11.73 %
1340	5.503E-02	11.77 %
1345	5.344E-02	11.81 %
1350	5.189E-02	11.85 %
1355	5.040E-02	11.90 %
1360	4.895E-02	11.94 %
1365	4.754E-02	11.98 %
1370	4.618E-02	12.03 %
1375	4.486E-02	12.07 %
1380	4.357E-02	12.12 %
1385	4.233E-02	12.17 %
1390	4.113E-02	12.21 %
1395	3.996E-02	12.26 %
1400	3.883E-02	12.31 %
1405	3.773E-02	12.36 %
1410	3.667E-02	12.41 %
1415	3.563E-02	12.46 %
1420	3.463E-02	12.51 %
1425	3.366E-02	12.56 %
1430	3.271E-02	12.61 %
1435	3.180E-02	12.67 %
1440	3.091E-02	12.72 %
1445	3.005E-02	12.77 %
1450	2.921E-02	12.83 %
1455	2.840E-02	12.88 %
1460	2.761E-02	12.94 %
1465	2.685E-02	12.99 %
1470	2.611E-02	13.05 %
1475	2.539E-02	13.11 %
1480	2.469E-02	13.17 %
1485	2.401E-02	13.23 %
1490	2.335E-02	13.29 %
1495	2.271E-02	13.35 %
1500	2.209E-02	13.41 %
1505	2.149E-02	13.47 %
1510	2.091E-02	13.53 %
1515	2.034E-02	13.59 %
1520	1.979E-02	13.65 %
1525	1.925E-02	13.71 %
1530	1.873E-02	13.78 %
1535	1.822E-02	13.84 %
1540	1.773E-02	13.91 %
1545	1.725E-02	13.97 %
1550	1.679E-02	14.04 %
1555	1.634E-02	14.11 %
1560	1.590E-02	14.17 %
1565	1.548E-02	14.24 %
1570	1.506E-02	14.31 %
1575	1.466E-02	14.38 %
1580	1.427E-02	14.46 %
1585	1.389E-02	14.53 %
1590	1.353E-02	14.60 %
1595	1.317E-02	14.68 %
1600	1.282E-02	14.75 %
1605	1.248E-02	14.83 %
1610	1.215E-02	14.92 %
1615	1.183E-02	15.00 %
1620	1.152E-02	15.08 %
1625	1.122E-02	15.17 %
1630	1.092E-02	15.25 %
1635	1.064E-02	15.34 %
1640	1.036E-02	15.43 %
1645	1.009E-02	15.51 %
1650	9.825E-03	15.60 %
1655	9.569E-03	15.69 %
1660	9.321E-03	15.78 %
1665	9.079E-03	15.87 %
1670	8.843E-03	15.97 %
1675	8.614E-03	16.06 %
1680	8.392E-03	16.15 %
1685	8.175E-03	16.24 %
1690	7.964E-03	16.34 %
1695	7.759E-03	16.43 %
1700	7.560E-03	16.53 %
1705	7.366E-03	16.61 %
1710	7.177E-03	16.70 %
1715	6.993E-03	16.79 %
1720	6.814E-03	16.88 %
1725	6.640E-03	16.97 %
1730	6.471E-03	17.06 %
1735	6.306E-03	17.15 %
1740	6.145E-03	17.24 %
1745	5.989E-03	17.34 %
1750	5.837E-03	17.43 %
1755	5.690E-03	17.52 %
1760	5.546E-03	17.62 %
1765	5.406E-03	17.72 %
1770	5.269E-03	17.82 %
1775	5.136E-03	17.92 %
1780	5.007E-03	18.02 %
1785	4.881E-03	18.12 %
1790	4.759E-03	18.23 %
1795	4.640E-03	18.33 %
1800	4.524E-03	18.44 %
1805	4.411E-03	18.56 %
1810	4.301E-03	18.68 %
1815	4.194E-03	18.80 %
1820	4.089E-03	18.92 %
1825	3.988E-03	19.04 %
1830	3.889E-03	19.17 %
1835	3.793E-03	19.29 %
1840	3.699E-03	19.42 %
1845	3.607E-03	19.55 %
1850	3.518E-03	19.69 %
1855	3.432E-03	19.82 %
1860	3.347E-03	19.96 %
1865	3.265E-03	20.09 %
1870	3.185E-03	20.23 %
1875	3.107E-03	20.37 %
1880	3.031E-03	20.51 %
1885	2.956E-03	20.66 %
1890	2.884E-03	20.80 %
1895	2.814E-03	20.95 %
1900	2.745E-03	21.10 %
1905	2.678E-03	21.24 %
1910	2.613E-03	21.39 %
1915	2.549E-03	21.54 %
1920	2.487E-03	21.69 %
1925	2.427E-03	21.84 %
1930	2.368E-03	22.00 %
1935	2.311E-03	22.15 %
1940	2.255E-03	22.31 %
1945	2.200E-03	22.47 %
1950	2.147E-03	22.63 %
1955	2.095E-03	22.79 %
1960	2.045E-03	22.95 %
1965	1.995E-03	23.12 %
1970	1.947E-03	23.29 %
1975	1.901E-03	23.45 %
1980	1.855E-03	23.62 %
1985	1.810E-03	23.80 %
