#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_idm6lred.slha	277.73148	283.552842	281.458324	761.05288	2567.83687	2568.00185	-1	-1	-1	-1	-1	-1	-1	739.861836	2407.3189	275.916889	5.03214454	[]
ew_s8_fr1af.slha	285.274443	288.89056	287.136209	2124.18124	2917.99211	2124.35243	-1	-1	-1	-1	-1	-1	-1	2865.36381	1981.04221	276.612665	23.0249608	[]
ew_ogfyclb5.slha	163.699122	169.454173	166.484392	1383.76528	1585.59515	1383.97241	-1	-1	-1	-1	-1	-1	-1	1535.33439	1260.8935	160.622131	20.6519436	['CMS-SUS-16-039-agg']
ew_l670liz3.slha	196.082283	203.299419	199.646391	991.4414	1225.58536	1225.72403	0.07711469	0.1362437	CMS-SUS-21-002	0.07711469	CMS-SUS-21-002	0.1362437	CMS-SUS-21-002	950.420173	1105.94598	192.479837	29.9513749	-1
ew_sgcft4la.slha	492.313814	499.856999	494.881448	1174.46907	2368.47062	1174.66578	0.07623141	0.1345999	CMS-SUS-21-002	0.07623141	CMS-SUS-21-002	0.1345999	CMS-SUS-21-002	2315.40955	1067.96993	481.208884	20.063921	-1
ew_5c0w15ud.slha	64.9612052	493.601771	494.044641	510.20047	725.320809	725.551797	1.774593	1.986923	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.176651	CMS-SUS-21-002	1.430812	CMS-SUS-21-002	54.6403958	620.830722	489.882924	40.2982899	-1
ew_x9soi_2z.slha	243.920965	510.647787	507.439833	512.080104	1473.81412	1473.97977	0.5943598	0.6035746	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.4391126	CMS-SUS-21-002	0.3508356	ATLAS-SUSY-2018-05-ewk	235.122286	1346.346	494.904358	7.35247527	-1
ew_5m36l5o4.slha	337.092617	341.41691	339.747211	1066.42894	2728.95677	2729.12174	-1	-1	-1	-1	-1	-1	-1	1041.33674	2564.2473	327.156241	29.1890907	[]
ew_yow2y_8e.slha	495.924828	499.096572	497.651709	2624.35958	2663.15331	2653.12075	-1	-1	-1	-1	-1	-1	-1	2571.26958	2490.79704	480.622343	34.9543286	[]
ew_j35sl4s0.slha	119.321972	125.993212	123.204804	560.24136	1986.72562	1986.89159	-1	-1	-1	-1	-1	-1	-1	538.543329	1839.98815	118.326676	28.2449301	[]
ew_7gjsbe6k.slha	141.945537	153.518702	148.677352	386.618242	1146.57289	1146.73897	0.4053266	0.3519566	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-09,CMS-SUS-21-002	0.3339526	ATLAS-SUSY-2019-09	0.202602	ATLAS-SUSY-2019-09	361.406278	1030.42196	144.69099	12.144933	-1
ew_wjt0ty09.slha	316.811468	328.981577	320.078705	720.369547	2937.54296	720.642109	0.8624039	0.82174	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.8075508	ATLAS-SUSY-2018-41	0.5466341	ATLAS-SUSY-2018-41	2885.11437	638.803797	314.437595	15.0164967	-1
ew_2r98ebi_.slha	427.405924	752.398168	752.554162	1316.9352	1322.25843	1322.77649	0.5993634	0.7271047	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.6008762	ATLAS-SUSY-2018-41	0.5016749	CMS-SUS-21-002	409.307368	673.467559	1284.54565	22.2397808	-1
ew_pmlr5km7.slha	357.184512	363.165011	361.224672	729.145155	2600.21325	2600.37842	-1	-1	-1	-1	-1	-1	-1	708.047175	2438.13321	347.977517	41.6702889	[]
ew_wku0ca_q.slha	177.554891	190.099448	187.407708	315.736435	2757.62322	2757.78867	0.3842702	0.3164625	ATLAS-SUSY-2019-09	0.3842702	ATLAS-SUSY-2019-09	0.3164625	ATLAS-SUSY-2019-09	296.563824	2592.15455	181.77401	10.6378478	-1
ew_v5629pad.slha	463.063017	466.219173	464.906381	1977.79677	2968.10732	2968.27147	-1	-1	-1	-1	-1	-1	-1	1939.80745	2798.89169	448.593271	39.8121199	[]
ew_yr69b12s.slha	105.559662	589.994798	589.728926	595.110782	1328.55315	1328.72266	2.239515	2.195212	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.908557	ATLAS-SUSY-2018-41	1.309898	ATLAS-SUSY-2018-41	96.8589436	1205.23197	573.37546	32.5643151	-1
ew_xnf8je3g.slha	374.392987	445.903378	378.011301	487.555061	586.086483	496.697452	0.006451702	0.06691014	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.07276513	ATLAS-SUSY-2019-09	0.06239586	ATLAS-SUSY-2019-09	542.570112	359.302918	427.595038	17.7154466	-1
ew_3jpwvkmr.slha	400.807213	970.867992	971.032074	1707.657	1711.36687	1712.01359	0.8882712	1.108285	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	1.030412	ATLAS-SUSY-2018-41	0.7901137	CMS-SUS-21-002	385.576734	879.104263	1671.33235	35.2007206	-1
ew__7etb1gt.slha	491.433282	495.880777	493.518036	1875.89563	2098.67087	2098.82154	-1	-1	-1	-1	-1	-1	-1	1826.82625	1950.72703	480.05929	7.6582954	[]
ew_5nyg65pc.slha	476.320303	701.395353	699.423808	703.001229	2797.25027	2797.41513	0.07605837	0.0589426	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.05525083	CMS-SUS-21-002	0.04117574	CMS-SUS-21-002	468.106786	2632.04211	677.913733	28.761047	-1
ew_rkyfyrvi.slha	173.929339	287.152368	282.213861	289.876467	1278.36579	1278.53392	0.6579694	0.5702169	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.6038551	ATLAS-SUSY-2019-09	0.5203285	ATLAS-SUSY-2019-09	169.807672	1157.0014	272.960394	21.1054454	-1
ew_e5ewflap.slha	174.655457	183.057255	179.513087	533.093352	1453.60851	1453.77412	0.06378407	0.03869646	ATLAS-SUSY-2019-09	0.06378407	ATLAS-SUSY-2019-09	0.03869646	ATLAS-SUSY-2019-09	507.640363	1325.10149	172.84895	26.2316506	-1
ew_ta3k6fpx.slha	298.134262	306.007696	303.917979	532.406475	2745.65504	2745.82025	-1	-1	-1	-1	-1	-1	-1	513.945579	2580.62301	292.731615	22.1216879	[]
ew__br3mmrg.slha	331.086379	355.855543	333.969073	543.997097	2643.47478	544.568912	0.05071822	0.2649458	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1654195	ATLAS-SUSY-2019-09	0.1651241	ATLAS-SUSY-2019-09	2590.65904	463.502681	342.297536	5.84280281	-1
ew_m74s_nl7.slha	497.676705	506.233172	502.168665	891.313426	1386.20137	1386.35821	-1	-1	-1	-1	-1	-1	-1	855.318674	1260.88294	487.179521	24.5220137	['CMS-SUS-16-039-agg']
ew_ev5dyb4n.slha	117.030145	121.576005	119.449809	1304.19994	1986.28863	1986.45206	-1	-1	-1	-1	-1	-1	-1	1266.28114	1839.62677	115.188665	19.7718905	[]
ew_oo3b7s57.slha	346.123311	385.861657	352.229535	503.572802	596.471402	507.680078	0.1740666	0.1800755	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1662653	ATLAS-SUSY-2019-09	0.1568471	ATLAS-SUSY-2019-09	555.060662	403.392369	370.696947	6.40909139	-1
ew_4ag48grb.slha	370.131501	390.508393	373.584574	627.187087	1412.72398	627.687533	0.2457029	0.2658238	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.183772	ATLAS-SUSY-2018-05-ewk	0.1502175	CMS-SUS-21-002	1364.31342	538.740008	375.724251	6.80481315	-1
ew_px9u_sjp.slha	275.052208	280.967964	277.686956	1293.50766	2298.20133	1293.69218	0.05225171	0.09169471	CMS-SUS-21-002	0.05225171	CMS-SUS-21-002	0.09169471	CMS-SUS-21-002	2245.0254	1180.62236	268.127352	27.2787811	-1
ew_zh2uhboz.slha	226.800767	234.955042	232.445798	476.151569	2337.14293	2337.30843	0.07744184	0.04698234	ATLAS-SUSY-2019-09	0.07744184	ATLAS-SUSY-2019-09	0.04698234	ATLAS-SUSY-2019-09	456.804618	2181.2794	223.845823	20.2030366	-1
ew_tw420fir.slha	299.208163	303.88849	302.200031	869.163378	2893.91044	2894.07562	-1	-1	-1	-1	-1	-1	-1	848.297257	2725.64637	290.595512	43.5356627	[]
ew_qsagkll7.slha	151.867402	574.751556	573.810721	577.084881	1942.85586	1943.02194	1.806898	1.800975	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.320045	ATLAS-SUSY-2018-41	1.093714	CMS-SUS-21-002	144.241058	1798.48012	555.923735	38.6150714	-1
ew_uhld0_9u.slha	171.750131	176.806858	174.113447	1445.65478	2725.21972	1445.83247	-1	-1	-1	-1	-1	-1	-1	2672.13072	1328.157	168.22912	17.079294	['CMS-SUS-16-039-agg']
ew_gimf1e7_.slha	375.510398	380.627658	377.885569	1597.29863	2065.41513	1597.4816	-1	-1	-1	-1	-1	-1	-1	2012.79014	1469.08828	365.120418	25.8715838	[]
