#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew__secgxpd.slha	274.0839	278.194403	276.188965	1859.14708	2673.08022	1859.32075	-1	-1	-1	-1	-1	-1	-1	2619.78106	1723.84975	265.815508	48.4762159	[]
ew_65dmi7h3.slha	308.666126	312.206363	310.635303	1753.76576	2609.86984	2610.03374	-1	-1	-1	-1	-1	-1	-1	1714.99196	2447.86147	299.846278	15.6283943	[]
ew_5z261_gz.slha	184.754621	189.201858	187.424549	898.199897	2764.75845	2764.92384	-1	-1	-1	-1	-1	-1	-1	876.157593	2598.81954	179.844313	31.3423245	[]
ew_e9x81kdk.slha	217.017667	222.699189	219.730873	1402.00299	1712.01103	1402.19825	-1	-1	-1	-1	-1	-1	-1	1660.93296	1279.51655	211.91798	23.1208482	['CMS-SUS-16-039-agg']
ew_3p5zika1.slha	265.117625	347.101001	266.918642	383.655417	1860.96909	387.770848	0.06008199	0.1526959	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1459815	ATLAS-SUSY-2019-09	0.1542281	ATLAS-SUSY-2019-09	1809.06065	257.270084	330.386029	47.1494545	-1
ew_qk97l9sc.slha	145.050308	299.054842	299.208259	748.33507	753.407645	754.980612	1.344616	1.256155	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.822638	ATLAS-SUSY-2018-32	0.799581	ATLAS-SUSY-2018-32	132.067738	249.120282	723.711894	46.9374986	-1
ew_xm77wpcg.slha	296.393054	301.808167	299.31557	1142.64626	1764.89188	1765.05421	-1	-1	-1	-1	-1	-1	-1	1105.49307	1625.31122	288.395722	49.2083095	[]
ew_6l947o7o.slha	149.205839	159.342803	153.621284	816.963508	918.603972	817.369082	1.333511	1.345672	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.495588	ATLAS-SUSY-2018-41	1.040575	ATLAS-SUSY-2018-41	875.364202	717.608835	149.463795	19.4059525	-1
ew_5v91i2qk.slha	442.041534	617.79027	617.716923	800.478057	818.505189	818.145676	0.09036367	0.08930229	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.06715617	CMS-SUS-21-002	0.06937984	ATLAS-SUSY-2019-08	419.565554	553.18613	776.461569	31.4398486	-1
ew_u2xdfdff.slha	481.063407	486.748307	483.230352	1651.10211	1904.31145	1651.29812	-1	-1	-1	-1	-1	-1	-1	1852.82728	1520.8966	472.375286	5.34861805	[]
