#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_3h9jmgh7.slha	409.603433	414.150457	412.226988	1216.9711	2397.24909	2397.41348	-1	-1	-1	-1	-1	-1	-1	1186.1048	2240.58354	398.677291	14.466635	[]
ew_sgy1_n4x.slha	427.45254	431.755813	429.545965	1893.53558	2376.80696	1893.71225	-1	-1	-1	-1	-1	-1	-1	2323.57582	1755.42696	414.913912	30.9517892	[]
ew_2ooi60r1.slha	237.055936	247.212827	243.296666	488.509842	1359.15843	1359.32386	0.07247567	0.04396947	ATLAS-SUSY-2019-09	0.07247567	ATLAS-SUSY-2019-09	0.04396947	ATLAS-SUSY-2019-09	462.510853	1234.57519	235.108525	18.7152817	-1
ew_3o05wwoj.slha	336.03865	339.828215	338.394365	1182.56651	3106.18799	3106.35295	-1	-1	-1	-1	-1	-1	-1	1158.80037	2934.45996	325.733776	28.9526364	[]
ew_sx_n32x5.slha	179.752134	184.120215	182.063898	1792.67112	1874.87656	1872.2594	-1	-1	-1	-1	-1	-1	-1	1741.06336	1729.05381	174.76785	39.2887853	[]
ew_pq6gjqkv.slha	292.341011	420.945112	415.528865	442.544138	584.062563	583.91456	0.02035252	0.06456493	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.06252328	ATLAS-SUSY-2019-09	0.05811014	ATLAS-SUSY-2019-09	277.325859	478.034145	425.1555	9.50345054	-1
ew_t6pxt2e0.slha	303.390233	309.057065	306.098815	1440.20731	1727.8606	1440.40363	-1	-1	-1	-1	-1	-1	-1	1676.56805	1315.8122	295.3534	46.3534529	['CMS-SUS-16-039-agg']
ew_zsreb9no.slha	487.47874	494.132763	491.607061	918.804269	2212.29576	2212.45992	-1	-1	-1	-1	-1	-1	-1	891.87282	2061.69746	479.855789	5.34561384	[]
ew_0u_w4to5.slha	283.366986	291.13114	287.152832	883.692035	1284.2328	1284.38591	0.05344137	0.09352529	CMS-SUS-21-002	0.05344137	CMS-SUS-21-002	0.09352529	CMS-SUS-21-002	847.021933	1162.88091	278.76289	11.8401117	-1
ew_ul_klelb.slha	355.283777	868.696283	867.443794	869.364624	3071.20681	3071.37146	0.7158107	0.7145967	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.7308039	ATLAS-SUSY-2018-41	0.5000611	ATLAS-SUSY-2018-41	348.029091	2902.13452	843.374552	12.3693974	-1
ew_57hgh4q2.slha	295.504195	817.950174	818.114667	2423.76061	2425.00533	2425.78816	1.641691	1.980785	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.857831	ATLAS-SUSY-2018-41	1.358699	CMS-SUS-21-002	285.611418	736.880033	2381.22262	44.6449759	-1
ew_7q306a4m.slha	249.10893	398.122211	398.285158	2518.87412	2519.71729	2520.54852	0.372631	0.3633547	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.2976782	ATLAS-SUSY-2019-08	0.3230149	ATLAS-SUSY-2019-08	240.930219	348.630877	2471.7128	18.9578765	-1
ew_pgbkolnd.slha	438.287055	445.009794	440.804865	1249.29519	2357.95745	1249.48462	0.05791563	0.1018199	CMS-SUS-21-002	0.05791563	CMS-SUS-21-002	0.1018199	CMS-SUS-21-002	2304.88047	1139.25668	427.865953	18.519271	-1
ew_lxpc7jqa.slha	79.4295356	838.453533	838.618204	2265.26853	2266.75469	2267.55655	2.245545	2.714559	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	2.520482	ATLAS-SUSY-2018-41	1.893999	CMS-SUS-21-002	73.7422639	756.216938	2222.07823	29.1044747	-1
ew_zimpl5eu.slha	170.041779	176.258372	172.822311	1186.73419	2286.49636	1186.92165	0.2383326	0.2932865	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.2726099	ATLAS-SUSY-2018-41	0.1981669	CMS-SUS-21-002	2233.32806	1078.88958	167.184313	18.0034167	-1
ew_9pqmjnf0.slha	348.80971	353.829344	352.049174	864.938254	2715.88035	2716.04543	-1	-1	-1	-1	-1	-1	-1	842.871358	2551.40669	339.024896	33.9886588	[]
