#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_qodj8rmi.slha	352.758302	355.835376	354.454263	2576.79508	2959.12735	2576.9666	-1	-1	-1	-1	-1	-1	-1	2906.53947	2419.11763	341.33132	41.011787	[]
ew_1ezy4h15.slha	368.381042	372.655696	370.530271	1933.90688	2005.50065	2001.25387	-1	-1	-1	-1	-1	-1	-1	1881.88961	1855.18549	358.018827	17.5766357	[]
ew_d__e1agh.slha	451.239331	454.462801	453.195084	1677.53874	3168.78581	3168.95047	-1	-1	-1	-1	-1	-1	-1	1646.8465	2996.13961	437.124653	40.5532046	[]
ew___ecjfm0.slha	358.436799	361.990313	360.28303	2307.15419	2463.43183	2307.3369	-1	-1	-1	-1	-1	-1	-1	2410.18523	2154.68343	347.775477	18.4793768	[]
ew_ape394mx.slha	353.523041	357.772401	356.265411	999.643557	3141.83264	3141.99759	-1	-1	-1	-1	-1	-1	-1	978.755716	2969.68803	343.369739	21.5485413	[]
ew_v76vxufg.slha	294.50632	297.590052	296.308821	1952.19849	2958.68655	2958.85098	-1	-1	-1	-1	-1	-1	-1	1914.46165	2789.28734	284.86028	36.4812988	[]
ew_w755li6w.slha	309.082441	314.384207	311.498676	1406.76987	2986.25278	1406.94838	-1	-1	-1	-1	-1	-1	-1	2933.75335	1292.30106	300.645971	47.8157511	['CMS-SUS-16-039-agg']
ew_v8tr0jcz.slha	296.220423	381.271366	378.882835	390.093717	2711.82372	2711.98898	0.003901486	0.003939995	ATLAS-SUSY-2013-11,CMS-SUS-13-012	0.003795388	ATLAS-SUSY-2013-11	0.003542362	ATLAS-SUSY-2013-11	297.826678	2547.3925	365.178448	41.9104574	-1
ew_bd_hh__j.slha	322.070948	1125.78438	1125.93492	1208.2576	1249.61978	1249.87042	0.555717	0.7134112	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.5406881	ATLAS-SUSY-2018-41	0.5745359	CMS-SUS-21-002	306.599528	1057.82081	1178.84115	15.7709098	-1
ew_i1gz7b1b.slha	153.068917	210.342343	157.318581	268.650893	957.123445	273.341166	0.5660136	0.6239278	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.4961277	ATLAS-SUSY-2018-32	0.5898619	ATLAS-SUSY-2018-32	913.416206	170.726633	194.464684	35.9949882	-1
ew_3_zkr0l4.slha	151.217375	263.800741	257.223699	264.465769	866.499111	866.674238	0.1594852	0.19087	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1801271	CMS-SUS-16-039-agg	0.1706273	ATLAS-SUSY-2019-09	144.770613	761.989583	249.760058	36.9334194	-1
ew_ptj1aaye.slha	191.798409	196.181239	194.01828	1705.13351	2606.50148	1705.30838	-1	-1	-1	-1	-1	-1	-1	2553.17838	1575.59586	186.458665	33.3210889	[]
ew_p2vufsh8.slha	459.458215	468.232261	462.428786	1026.12269	2008.58133	1026.33914	0.3839854	0.4222173	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.4743566	ATLAS-SUSY-2018-41	0.3312509	ATLAS-SUSY-2018-41	1956.08568	924.072658	450.130103	45.157074	-1
ew_f0i67gkl.slha	204.569707	208.347367	206.559705	2083.41629	2366.13603	2083.59445	-1	-1	-1	-1	-1	-1	-1	2312.81674	1937.51244	198.663683	24.7577397	[]
ew_n03noqmq.slha	131.183128	137.662398	134.32329	1224.0008	1395.95129	1224.22775	0.08321256	0.1464683	CMS-SUS-21-002	0.08321256	CMS-SUS-21-002	0.1464683	CMS-SUS-21-002	1347.18645	1107.10545	129.424046	27.4874037	-1
ew_ppqbxk65.slha	139.400344	147.149316	143.243797	873.299649	1140.75635	1140.89845	0.3238456	0.3990618	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3732596	ATLAS-SUSY-2018-41	0.2679696	CMS-SUS-21-002	834.599763	1024.48266	138.064941	29.6756149	-1
ew_e69idqv7.slha	371.87834	522.673069	522.835749	2374.16277	2375.38302	2376.11565	0.02014716	0.1082371	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.08255292	ATLAS-SUSY-2019-08	0.09635602	ATLAS-SUSY-2019-08	360.955201	463.423759	2328.4588	15.4601784	-1
ew_k6vooil1.slha	249.634573	254.49508	252.477029	971.217242	2277.59749	2277.76253	-1	-1	-1	-1	-1	-1	-1	943.868795	2123.15704	242.749865	31.1130886	[]
ew_1zddmd0d.slha	267.961269	1175.16796	1175.00577	1176.93183	3147.07588	3147.24053	0.2841514	0.3589343	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3078253	ATLAS-SUSY-2018-41	0.2641027	CMS-SUS-21-002	260.868358	2976.73543	1144.47045	29.780969	-1
