#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_t5z_2ckc.slha	401.693414	407.451459	404.32846	1502.3991	1662.54024	1502.61222	-1	-1	-1	-1	-1	-1	-1	1611.83927	1375.13233	391.150606	24.1748149	[]
ew_svk32uhi.slha	215.435872	464.820063	464.983788	2609.93718	2610.69072	2611.53963	1.043933	1.367215	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.9033051	CMS-SUS-21-002	1.038527	ATLAS-SUSY-2019-08	207.915619	409.65874	2562.82721	26.5237883	-1
ew_iksy3j5n.slha	300.85499	307.266825	303.730263	1293.14378	1588.26815	1293.34899	0.05237905	0.09165377	CMS-SUS-21-002	0.05237905	CMS-SUS-21-002	0.09165377	CMS-SUS-21-002	1538.07228	1175.07264	293.706852	21.9168662	-1
ew_jma1xyaj.slha	284.219606	295.980332	287.717921	726.429575	2053.27092	726.700186	1.018555	1.001655	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.9968126	ATLAS-SUSY-2018-41	0.6742032	ATLAS-SUSY-2018-41	2000.77934	640.902441	282.388998	14.0200297	-1
ew_vad2k644.slha	68.7629439	752.240178	752.405955	1381.59741	1385.96909	1386.80069	3.053934	3.516038	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	3.374551	ATLAS-SUSY-2018-41	2.338924	CMS-SUS-21-002	61.4766048	673.602325	1348.03758	19.217899	-1
ew_91fvxnn5.slha	380.44933	679.792131	679.918861	1004.55281	1014.81818	1015.03861	0.467654	0.6798007	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.4579632	CMS-SUS-21-002	0.5723391	CMS-SUS-21-002	361.778505	607.692171	977.161268	16.2109216	-1
ew_4jrugw31.slha	383.600146	916.232921	915.340034	917.754263	2518.43227	2518.59721	0.5930669	0.6091269	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.6255998	ATLAS-SUSY-2018-41	0.4294214	ATLAS-SUSY-2018-41	373.424953	2360.11226	890.13727	20.134539	-1
ew_p796eei7.slha	371.848319	376.070174	373.870359	1994.46331	2149.99134	1994.65365	-1	-1	-1	-1	-1	-1	-1	2097.24454	1851.02914	362.244436	11.3964943	[]
ew_kjb007jo.slha	132.467294	164.911441	138.605363	297.003481	1210.48148	298.855168	1.492394	1.33146	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.160896	ATLAS-SUSY-2019-09	0.9871547	ATLAS-SUSY-2019-09	1163.74267	221.01177	151.143755	19.8639518	-1
ew_bocp127x.slha	193.992501	206.605474	198.647939	633.579524	1292.69443	633.906948	1.536299	1.486714	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.366197	ATLAS-SUSY-2018-41	0.9266591	ATLAS-SUSY-2018-41	1244.94006	548.089759	194.269679	39.8442169	-1
ew_fe5swesf.slha	417.085145	645.760858	645.924082	2393.21398	2394.58516	2395.27068	0.239172	0.2981055	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.2038426	CMS-SUS-21-002	0.2418072	ATLAS-SUSY-2019-08	405.29489	577.668103	2347.71417	16.042908	-1
ew_2csvak9g.slha	459.16222	1047.22256	1047.38494	1736.13152	1740.57168	1741.05495	0.6140803	0.7888357	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.7008928	ATLAS-SUSY-2018-41	0.5786873	CMS-SUS-21-002	443.004577	952.768311	1699.15211	18.5139689	-1
ew_apnvk44k.slha	149.281979	152.870536	151.296407	1753.18866	2437.89423	2438.05818	-1	-1	-1	-1	-1	-1	-1	1711.67976	2278.78384	144.916238	49.3390781	[]
ew_oxly6irs.slha	333.992404	1025.05906	1024.62719	1026.53685	3043.3115	3043.47629	0.4147147	0.520894	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.5059486	ATLAS-SUSY-2018-41	0.3576688	CMS-SUS-21-002	325.678056	2873.88685	997.345179	47.4188936	-1
ew_5vd6ov9b.slha	397.376875	463.440051	461.163567	480.028674	2617.54094	2617.70589	0.00420882	0.004369825	CMS-SUS-16-048	0.00420882	CMS-SUS-16-048	0.004369825	CMS-SUS-16-048	405.328026	2456.51294	448.704051	6.8683214	-1
ew_67t5kvjg.slha	472.244401	738.278856	735.764202	741.005761	1439.08853	1439.25352	0.09255473	0.1032888	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.07478842	CMS-SUS-21-002	0.08488284	CMS-SUS-21-002	455.806885	1312.24168	717.231429	17.4612068	-1
ew_i6yrk_4q.slha	429.238879	1032.41368	1032.57815	2628.32709	2629.70548	2630.39479	0.6946631	0.8874465	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.7967531	ATLAS-SUSY-2018-41	0.6512581	CMS-SUS-21-002	417.513415	939.427638	2585.14094	45.6867944	-1
ew_jyukbwm2.slha	432.89644	436.122636	434.537129	2483.33219	2705.68633	2705.8427	-1	-1	-1	-1	-1	-1	-1	2432.48689	2542.44546	422.151124	7.97242024	[]
ew_2d8n7hcg.slha	272.780795	561.172136	559.555193	566.067032	1137.82955	1137.99856	0.4335138	0.5566383	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.3144072	CMS-SUS-21-002	0.3549741	CMS-SUS-21-002	259.398478	1021.88403	545.244138	24.5213272	-1
