#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_pxw8w8ku.slha	498.905934	510.17335	506.598619	675.966724	1541.03935	1541.20357	-1	-1	-1	-1	-1	-1	-1	644.974477	1409.84803	490.902683	34.3940718	[]
ew_olsm0qpo.slha	355.604591	361.340699	358.167082	1508.34443	1649.29134	1508.56209	-1	-1	-1	-1	-1	-1	-1	1598.77157	1380.93818	347.285995	12.4892342	[]
ew_27qqrdtr.slha	217.888412	225.874275	222.98343	520.510434	1875.71336	1875.87903	0.05704051	0.03460528	ATLAS-SUSY-2019-09	0.05704051	ATLAS-SUSY-2019-09	0.03460528	ATLAS-SUSY-2019-09	498.236969	1732.90654	214.859352	20.3888095	-1
ew_3s2pnp67.slha	413.601283	419.190172	415.965476	1410.01515	2746.58614	1410.19527	-1	-1	-1	-1	-1	-1	-1	2693.56977	1294.46081	402.469047	35.2954465	['CMS-SUS-16-039-agg']
ew_v8m_3qu_.slha	376.782085	382.622957	379.173298	1348.98838	2677.92495	1349.17016	-1	-1	-1	-1	-1	-1	-1	2624.88017	1236.04703	367.172153	19.80316	['CMS-SUS-16-039-agg']
ew__8414olp.slha	459.757033	463.460264	461.619142	2246.21565	2511.40949	2246.39301	-1	-1	-1	-1	-1	-1	-1	2458.23595	2096.47796	446.290034	19.1152282	[]
ew_o7c46cbp.slha	358.924345	367.37134	363.552259	749.648968	1382.07892	1382.24028	-1	-1	-1	-1	-1	-1	-1	717.731408	1256.94274	352.210017	16.548049	['CMS-SUS-16-039-agg']
ew_7u5883nz.slha	315.980792	321.256589	319.330193	819.301862	2531.0382	2531.20336	-1	-1	-1	-1	-1	-1	-1	796.645174	2370.48594	307.331584	36.9076441	[]
ew_jhbfl87s.slha	426.900432	432.826162	429.31487	1331.33722	2933.69094	1331.51938	-1	-1	-1	-1	-1	-1	-1	2881.09486	1220.18624	415.809407	44.1622425	['CMS-SUS-16-039-agg']
ew_chd888zc.slha	383.684613	388.445694	386.539039	1067.04067	2422.89045	2423.05518	-1	-1	-1	-1	-1	-1	-1	1039.22893	2265.33716	373.049197	20.9134871	[]
ew_vnd6mzic.slha	193.389493	199.55593	197.377887	629.87279	2582.56516	2582.73043	-1	-1	-1	-1	-1	-1	-1	610.694592	2421.19148	194.453948	5.24794323	[]
ew_sj6emprh.slha	296.020821	1171.55798	1171.48643	1174.42986	2395.69376	2395.85901	0.2799727	0.353764	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.30559	ATLAS-SUSY-2018-41	0.2592423	CMS-SUS-21-002	286.262713	2240.75292	1142.44372	26.0588227	-1
ew_4efy5ai4.slha	471.859449	534.619219	530.629724	551.255	1626.4859	1626.65007	0.006246326	0.004335738	ATLAS-SUSY-2013-11,CMS-SUS-16-048	0.006324558	CMS-SUS-16-048	0.004335842	CMS-SUS-16-048	474.874966	1493.88034	517.817729	6.41314272	-1
ew_3698pmac.slha	242.371187	248.639187	245.340768	1275.11796	1619.24903	1275.31881	0.05759031	0.1007742	CMS-SUS-21-002	0.05759031	CMS-SUS-21-002	0.1007742	CMS-SUS-21-002	1568.62394	1157.62063	236.569165	48.2891223	-1
ew_bj6fp81i.slha	295.538922	321.996521	318.092597	365.462764	1459.42582	1459.59234	0.1833116	0.1577829	ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.1651465	ATLAS-SUSY-2019-09	0.1485674	ATLAS-SUSY-2019-09	327.606072	1331.00203	307.151042	29.136854	-1
ew_e9omed8n.slha	23.3335195	162.284162	156.227895	162.546544	2034.43251	2034.59881	2.088153	2.241868	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-20-004	3.276363	CMS-SUS-16-039-agg	2.70944	CMS-SUS-16-039-agg	20.4531109	1886.42807	150.051601	30.3585333	-1
ew_psqj67f7.slha	126.149393	576.743343	576.275548	582.844524	1179.6555	1179.82639	1.958197	1.892916	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.444009	ATLAS-SUSY-2018-41	1.126698	CMS-SUS-21-002	116.681422	1062.32191	561.656975	18.233596	-1
ew_cv8rdaaq.slha	496.785343	501.04233	498.847501	1942.19058	2439.95676	1942.36683	-1	-1	-1	-1	-1	-1	-1	2386.6433	1802.58002	482.506876	43.4287274	[]
ew_2ow3i1ho.slha	262.101339	265.955754	264.095415	1942.17204	3031.82385	1942.34362	-1	-1	-1	-1	-1	-1	-1	2979.46185	1806.00052	254.008591	44.7532671	[]
ew_x0_6xe50.slha	442.781602	473.425152	470.87825	507.510522	2146.86261	2147.02812	0.01090915	0.008981708	ATLAS-SUSY-2013-11,CMS-SUS-16-048	0.01061353	CMS-SUS-16-048	0.008982538	CMS-SUS-16-048	464.49021	1996.27134	455.116134	42.8364603	-1
ew_wruo7q03.slha	396.935983	415.921284	415.372164	2743.79863	2744.40137	2745.26146	-1	-1	-1	-1	-1	-1	-1	386.265528	363.640182	2698.36746	44.8950263	[]
ew_mgi0v_3k.slha	292.756126	297.479642	295.114702	1689.86558	2051.39666	1690.04849	-1	-1	-1	-1	-1	-1	-1	1998.65586	1557.06504	284.317972	42.9172726	[]
ew_4zq_5gak.slha	219.845624	225.909871	223.104845	918.799871	1651.94995	1652.11325	-1	-1	-1	-1	-1	-1	-1	886.08286	1516.53111	215.156732	19.7606282	[]
ew_pwwrty2a.slha	223.31138	228.343655	225.716078	1496.95617	2424.10266	1497.13463	-1	-1	-1	-1	-1	-1	-1	2370.79436	1375.38926	217.495221	25.2331239	['CMS-SUS-16-039-agg']
ew_41k_7yug.slha	197.229856	402.148333	402.249649	607.624449	622.177002	622.976348	1.023252	1.234669	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.7690346	CMS-SUS-21-002	0.9475335	ATLAS-SUSY-2019-08	181.66007	349.393628	585.934894	35.2677586	-1
ew_cvigu6ym.slha	197.195996	203.18518	201.026615	630.704944	2576.91051	2577.07587	-1	-1	-1	-1	-1	-1	-1	611.45238	2415.42406	195.318012	9.39104843	[]
ew_5m6ckg77.slha	238.649817	244.071567	242.254473	676.800343	3057.1098	3057.27501	-1	-1	-1	-1	-1	-1	-1	659.494454	2886.16851	233.92652	13.8006077	[]
ew_bwx5ewwl.slha	108.638349	118.191238	112.943576	802.292284	1169.98509	802.55589	2.210823	2.194285	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	2.439963	ATLAS-SUSY-2018-41	1.723352	ATLAS-SUSY-2018-41	1123.52722	706.257972	109.347601	36.3102954	-1
ew_ezw7c68c.slha	147.947506	481.905955	482.068036	906.906974	913.294797	914.34733	2.662145	3.126638	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.941524	CMS-SUS-21-002	2.30373	CMS-SUS-21-002	136.080596	420.025689	879.848445	25.9111209	-1
ew_yihem7hx.slha	286.618602	1090.96087	1090.93461	1096.32947	1753.90989	1754.07699	0.3537714	0.4606388	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.4158625	ATLAS-SUSY-2018-41	0.3349778	CMS-SUS-21-002	274.690335	1616.64988	1066.14554	19.0542755	-1
ew_lbf9wf6y.slha	406.604741	411.778659	409.010421	1592.23027	2047.21743	1592.41404	-1	-1	-1	-1	-1	-1	-1	1994.58476	1463.94298	395.310676	37.6639166	[]
ew_e7xyzvge.slha	382.662725	1143.62725	1143.37247	1146.06752	2473.55841	2473.72348	0.2819592	0.3472164	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3136325	ATLAS-SUSY-2018-41	0.2477354	CMS-SUS-21-002	371.606952	2316.58623	1114.52921	28.3507969	-1
ew_q5wtm68t.slha	372.601299	746.521121	746.639647	957.742701	973.111172	973.333331	1.037963	1.219331	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.144346	ATLAS-SUSY-2018-41	0.8199005	CMS-SUS-21-002	353.580847	673.596521	931.313264	23.2408823	-1
ew_mc8rf9qb.slha	183.72516	189.702362	186.936314	935.667275	1619.59906	1619.76216	-1	-1	-1	-1	-1	-1	-1	902.040185	1484.9579	179.68569	33.7913989	[]
ew_hbmv7q9c.slha	248.881115	265.438303	258.079648	414.145566	778.708653	778.857965	0.05568089	1.007079	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.075213	ATLAS-SUSY-2018-41	0.7325716	ATLAS-SUSY-2018-41	382.399095	677.769512	251.215055	40.4286773	-1
ew_k5udnarx.slha	382.051693	1007.17839	1006.87982	1011.15462	1827.75829	1827.92471	0.4121534	0.4952817	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.5026971	ATLAS-SUSY-2018-41	0.3470119	ATLAS-SUSY-2018-41	368.104148	1687.75976	982.201406	32.2452375	-1
ew_ziynhrrl.slha	48.2210186	132.461862	125.224436	135.968737	1404.57509	1404.74352	3.375928	3.63686	ATLAS-SUSY-2019-09	3.375928	ATLAS-SUSY-2019-09	3.63686	ATLAS-SUSY-2019-09	48.2408895	1277.50174	120.299328	40.264114	-1
ew__qad0amd.slha	238.368225	1133.8954	1134.0539	1503.76263	1513.74409	1514.00529	0.677468	0.8611693	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.6663943	ATLAS-SUSY-2018-41	0.6860277	CMS-SUS-21-002	227.604498	1040.26594	1471.74577	8.27465186	-1
ew_5jck6lu8.slha	480.412908	484.175876	482.269642	2296.68457	2334.8509	2296.92058	-1	-1	-1	-1	-1	-1	-1	2281.77355	2144.17396	467.340801	12.1207174	[]
ew_txdjvbb0.slha	319.496031	757.953983	758.112801	1088.20453	1097.23716	1097.83169	1.534842	1.83671	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.741576	ATLAS-SUSY-2018-41	1.216845	CMS-SUS-21-002	302.861459	679.577064	1059.75869	35.0239051	-1
ew_fdyusni9.slha	245.677132	250.865167	248.914856	773.379222	2578.13624	2578.30157	-1	-1	-1	-1	-1	-1	-1	751.883879	2416.28703	239.107474	39.4360054	[]
ew_6big1tm3.slha	210.808196	214.649652	212.891466	1619.73476	2350.95332	2351.11687	-1	-1	-1	-1	-1	-1	-1	1579.96969	2194.74502	205.588301	14.5681809	[]
