#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_9jbvivir.slha	495.273474	500.970675	498.866135	966.260173	2327.0234	2327.18802	-1	-1	-1	-1	-1	-1	-1	939.251025	2172.26373	482.698619	17.6650764	[]
ew_iycg1hwo.slha	498.626529	503.463229	501.097012	1609.61529	1909.67335	1909.82805	-1	-1	-1	-1	-1	-1	-1	1563.06612	1765.92647	484.885298	47.592563	[]
ew_0di0jio7.slha	493.348372	497.260008	495.323954	1790.70543	2579.16485	2579.32783	-1	-1	-1	-1	-1	-1	-1	1751.33535	2419.48115	483.517506	5.22615849	[]
ew_zx5rt9rh.slha	346.257107	351.891378	348.784976	1400.87091	2230.16003	1401.05387	-1	-1	-1	-1	-1	-1	-1	2177.06159	1282.45978	336.953547	36.8772175	['CMS-SUS-16-039-agg']
ew_d48g6pta.slha	131.195818	136.920475	134.074177	1385.86543	1431.67471	1427.46553	-1	-1	-1	-1	-1	-1	-1	1337.39443	1299.97924	128.975228	28.668504	['CMS-SUS-16-039-agg']
ew_4y1t0hhl.slha	234.7182	329.546677	325.807508	336.334349	1667.03693	1667.20313	0.1193878	0.1415355	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-09,CMS-SUS-13-012	0.1339373	ATLAS-SUSY-2019-09	0.1502301	ATLAS-SUSY-2019-09	233.557381	1531.5702	315.32583	14.3692964	-1
ew_13xacw4f.slha	475.582552	485.516515	478.471994	950.131442	2361.87657	950.360499	0.454427	0.4692194	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.5412115	ATLAS-SUSY-2018-41	0.3753988	ATLAS-SUSY-2018-41	2308.74176	853.913836	466.824455	30.2494319	-1
ew_k5wcn3c6.slha	216.761604	959.685351	959.394596	962.748161	2119.00007	2119.16555	0.6654598	0.7953281	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.7643422	ATLAS-SUSY-2018-41	0.5316348	ATLAS-SUSY-2018-41	208.184574	1971.3488	934.711624	14.9670764	-1
ew_m7xr472q.slha	191.07202	1000.05302	1000.21754	2396.84834	2398.59703	2399.28274	1.095109	1.464114	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	1.236035	ATLAS-SUSY-2018-41	1.119635	CMS-SUS-21-002	183.584268	909.387577	2352.46833	21.250676	-1
ew_qj2mfgqf.slha	203.340643	208.924164	205.989956	1377.24196	1981.73876	1377.4275	-1	-1	-1	-1	-1	-1	-1	1929.32546	1258.06954	198.568724	24.6966502	['CMS-SUS-16-039-agg']
ew__2qf2vvk.slha	75.7768567	599.136838	599.301163	2153.38804	2154.60158	2155.4938	4.111719	4.652574	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	4.042784	ATLAS-SUSY-2018-41	3.227112	CMS-SUS-21-002	70.0063346	532.393664	2110.36449	26.6142569	-1
ew_vbjfn3hk.slha	59.422555	783.76319	784.14152	795.386158	1110.11713	1110.30238	1.51082	1.622026	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.650505	ATLAS-SUSY-2018-41	1.145063	ATLAS-SUSY-2018-41	51.1917169	992.467142	770.098016	21.822526	-1
ew_ct7l39xt.slha	65.8033192	275.804159	275.964833	2362.86188	2364.31061	2364.92141	3.587857	3.932715	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.355234	ATLAS-SUSY-2018-32	2.670507	ATLAS-SUSY-2019-08	62.2654181	240.28956	2316.8377	6.40772136	-1
ew_aap03esl.slha	226.94768	269.963039	270.121626	1766.96398	1767.96437	1769.09759	0.5270216	0.4183979	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.3268442	ATLAS-SUSY-2019-09	0.2539036	ATLAS-SUSY-2019-09	216.443709	227.759982	1727.49312	32.7679665	-1
ew_o81xe1sz.slha	469.206713	473.338764	471.392495	1831.58056	2169.99733	2170.15555	-1	-1	-1	-1	-1	-1	-1	1784.29502	2018.73834	455.46667	42.583156	[]
ew_e052uae8.slha	367.954893	371.275478	369.790473	1901.63586	2826.85598	2827.01995	-1	-1	-1	-1	-1	-1	-1	1863.24726	2660.72166	358.224829	10.37738	[]
ew_b8oeic8d.slha	294.15316	961.736883	961.90131	2880.26513	2881.39728	2882.07585	1.110348	1.43815	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	1.274455	ATLAS-SUSY-2018-41	1.051088	CMS-SUS-21-002	285.980785	874.459553	2832.35437	25.1288773	-1
ew_h3z0jbyo.slha	223.65	245.119586	227.329374	481.99381	1726.0037	482.545893	0.6214363	0.7046116	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.4628509	ATLAS-SUSY-2018-05-ewk	0.4086472	ATLAS-SUSY-2018-05-ewk	1675.14971	404.521235	234.180532	5.63330841	-1
ew_myck8d1c.slha	194.395603	203.765203	198.631277	788.397907	995.603967	995.720593	0.7231189	0.8493159	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.8794388	ATLAS-SUSY-2018-41	0.6204432	ATLAS-SUSY-2018-41	750.143585	886.030066	193.862578	10.4490805	-1
ew_rfclio3w.slha	317.426389	322.088225	319.749192	1756.05774	1951.85935	1756.24926	-1	-1	-1	-1	-1	-1	-1	1899.55371	1619.87722	308.263791	30.5476611	[]
ew_3x1h6zc_.slha	424.33958	581.765417	581.928124	2000.35863	2001.82978	2002.66343	0.07748803	0.07300978	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.0526015	CMS-SUS-21-002	0.05652008	ATLAS-SUSY-2019-08	410.096742	515.266641	1959.54892	34.6546036	-1
ew_snabporm.slha	338.02268	805.502185	804.381135	806.2625	3056.77281	3056.9378	0.8243157	0.7976854	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.7827476	ATLAS-SUSY-2018-41	0.5331551	ATLAS-SUSY-2018-41	330.328964	2886.64788	780.771461	45.0737185	-1
ew_ynses6r6.slha	332.605453	337.889774	335.068616	1517.2918	2054.19793	1517.47511	-1	-1	-1	-1	-1	-1	-1	2001.56732	1392.40187	323.475099	29.3589253	[]
ew_he04o212.slha	496.111214	510.904828	499.383585	791.896589	1843.10044	792.239156	0.07783367	0.1067506	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.07886039	CMS-SUS-21-002	0.09922527	CMS-SUS-21-002	1791.36051	698.280993	491.624679	41.475067	-1
ew_o59f1hni.slha	129.623633	142.353849	134.89878	637.449582	826.196683	637.883106	1.965451	1.887269	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	1.860039	ATLAS-SUSY-2018-41	1.272045	ATLAS-SUSY-2018-41	784.351749	547.465708	131.97033	24.9382124	-1
ew_06v6pxp2.slha	128.687148	132.762568	130.795532	1826.73584	2635.75298	1826.90979	-1	-1	-1	-1	-1	-1	-1	2582.44094	1692.28359	125.660494	28.212214	[]
ew_p33vfzhg.slha	241.45863	245.434515	243.136855	1948.09181	2968.18443	1948.26342	-1	-1	-1	-1	-1	-1	-1	2915.89331	1812.1695	238.416076	5.61854175	[]
ew_qwa4n9vk.slha	155.380284	160.206229	158.136604	911.325187	2319.1668	2319.33214	-1	-1	-1	-1	-1	-1	-1	885.606743	2163.49768	152.514244	17.1864787	[]
ew_z073sf1q.slha	162.256711	407.487546	404.81037	407.781462	2695.58298	2695.74824	1.136752	1.201055	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.7108784	ATLAS-SUSY-2018-05-ewk	0.7423766	ATLAS-SUSY-2018-05-ewk	157.775721	2531.56828	390.402255	41.038207	-1
ew_m5c4290s.slha	345.171201	348.726778	347.111738	2113.2551	2394.48356	2394.6416	-1	-1	-1	-1	-1	-1	-1	2063.7674	2237.28177	334.350446	32.7209051	[]
ew_rpt2k2zc.slha	295.410419	307.443678	298.752673	773.552404	1460.80533	773.828308	0.9617934	0.9404753	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.9858597	ATLAS-SUSY-2018-41	0.670289	ATLAS-SUSY-2018-41	1411.88242	681.892298	295.335625	6.68279382	-1
ew_499uisi7.slha	389.876575	551.605186	548.701087	553.754513	1969.04971	1969.21525	0.120577	0.1209494	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1065778	ATLAS-SUSY-2019-09	0.1010589	ATLAS-SUSY-2019-09	381.052004	1823.94719	531.362929	33.5075473	-1
ew_oh236_jd.slha	335.89146	932.822386	932.665411	948.939704	1162.26757	1162.43584	0.6172482	0.6611051	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.6901303	ATLAS-SUSY-2018-41	0.4699147	ATLAS-SUSY-2018-41	319.265071	1038.0627	921.854071	16.1218451	-1
ew_kg5nclrm.slha	193.5074	217.899737	210.756094	285.350271	862.389175	862.553937	0.3191949	0.2959217	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	0.2945765	ATLAS-SUSY-2019-09	0.2621463	ATLAS-SUSY-2019-09	251.460794	758.738927	206.905896	8.53875983	-1
ew_2xpas_ta.slha	122.532459	136.111706	127.365786	526.552257	2943.01708	526.904826	1.874316	1.843263	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	1.178002	ATLAS-SUSY-2018-41	1.103787	CMS-SUS-21-002	2890.44054	456.098934	125.877045	23.8560311	-1
ew__rdexotr.slha	150.270003	922.618544	922.784776	928.279597	1576.4366	1576.60545	0.8061158	0.9616349	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.9349013	ATLAS-SUSY-2018-41	0.6520236	ATLAS-SUSY-2018-41	140.883931	1444.26161	900.612889	31.8431174	-1
ew_6f4aodiv.slha	377.564364	382.46189	380.237543	1273.70607	1997.81981	1997.98278	-1	-1	-1	-1	-1	-1	-1	1236.68528	1851.51772	366.854089	30.4646712	[]
ew_4fmwwjay.slha	340.361798	965.836478	966.001153	1453.03455	1458.9723	1459.59256	1.015176	1.285935	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	1.161687	ATLAS-SUSY-2018-41	0.9260376	CMS-SUS-21-002	325.340402	874.733896	1419.90922	34.0563893	-1
ew_pmcvqwv_.slha	268.692889	272.095381	270.541228	2300.68907	2716.18324	2300.86202	-1	-1	-1	-1	-1	-1	-1	2662.95516	2149.74971	260.080075	43.5916056	[]
ew_fqh63tch.slha	475.060536	480.525861	477.583492	1461.4653	1844.7156	1844.87093	-1	-1	-1	-1	-1	-1	-1	1418.11196	1704.59281	465.585039	6.41077754	[]
ew_s6b5lfsj.slha	125.879764	137.73383	130.758655	638.300717	1222.91806	638.613025	2.052047	1.942981	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	1.972874	ATLAS-SUSY-2018-41	1.345048	ATLAS-SUSY-2018-41	1175.88805	552.332461	127.513706	37.46235	-1
ew_d5xex5mv.slha	295.609502	325.422812	323.081391	364.301446	2784.06979	2784.23496	0.1751578	0.1581481	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.1636216	ATLAS-SUSY-2019-09	0.1490811	ATLAS-SUSY-2019-09	327.26406	2618.54384	312.348401	12.7005083	-1
ew_nysbeytv.slha	257.277646	754.894418	755.040392	1028.39778	1040.90784	1041.25057	2.018608	2.338266	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.255199	ATLAS-SUSY-2018-41	1.581817	CMS-SUS-21-002	242.952258	680.728789	1001.20474	12.563912	-1
ew_uvm47o31.slha	232.266897	235.879741	234.331856	1416.99328	2814.91078	2815.07565	-1	-1	-1	-1	-1	-1	-1	1386.85319	2648.46245	226.903821	11.1704376	[]
ew_r3p9cisz.slha	83.1155898	378.29589	376.725788	381.26371	1491.41063	1491.5782	1.934827	2.121529	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.295058	ATLAS-SUSY-2018-05-ewk	1.276509	ATLAS-SUSY-2018-05-ewk	76.2008205	1361.72562	364.161696	38.7640511	-1
ew_tu1z1y04.slha	418.978365	422.634602	421.191337	1399.7041	2989.39429	2989.55897	-1	-1	-1	-1	-1	-1	-1	1371.6287	2820.04683	406.539307	19.9532592	[]
ew_85qba9__.slha	288.598307	298.024053	293.552487	675.476741	1134.73763	1134.89456	0.2928591	0.3572191	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3400896	ATLAS-SUSY-2018-41	0.2406513	ATLAS-SUSY-2018-41	642.422267	1018.6809	283.885426	43.4546874	-1
ew_fq2lxikr.slha	184.170665	198.230482	188.811718	547.251422	2438.06022	547.614946	1.384702	1.37387	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.9139033	ATLAS-SUSY-2018-41	0.8020527	CMS-SUS-21-002	2384.68997	472.990808	185.944625	42.447164	-1
ew_jo_dqsgd.slha	488.897171	1191.13338	1190.92361	1194.92143	2034.17856	2034.34442	0.09991835	0.1762218	CMS-SUS-21-002	0.09991835	CMS-SUS-21-002	0.1762218	CMS-SUS-21-002	473.285	1888.09791	1163.67966	42.0099526	-1
ew_revqk12c.slha	149.777554	157.76411	154.554935	487.038496	1705.8759	1706.04208	0.08760055	0.05314542	ATLAS-SUSY-2019-09	0.08760055	ATLAS-SUSY-2019-09	0.05314542	ATLAS-SUSY-2019-09	464.446367	1567.9405	148.288867	46.4702481	-1
ew_o_woiz6b.slha	126.955069	619.599568	619.765365	1303.04909	1306.48095	1307.5179	3.632535	4.023705	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	3.600356	ATLAS-SUSY-2018-41	2.730536	CMS-SUS-21-002	117.239666	547.642728	1271.21491	44.0540444	-1
