#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_dv_2zog9.slha	347.547093	352.841963	351.072006	791.913975	2816.95814	2817.12326	-1	-1	-1	-1	-1	-1	-1	771.489252	2650.35264	338.020301	39.7460531	[]
ew_28t9_n3j.slha	120.067789	124.074011	122.411714	976.536862	3016.72738	3016.89291	-1	-1	-1	-1	-1	-1	-1	955.179636	2845.88637	118.566046	14.568243	[]
ew_428c7t2h.slha	177.950989	181.974577	180.175469	1521.00455	2224.81875	2224.98233	-1	-1	-1	-1	-1	-1	-1	1481.42132	2071.43998	172.857952	36.8682564	[]
ew_vgganbct.slha	232.292245	241.447969	239.188271	416.906551	2968.59026	2968.75558	0.115973	0.07035839	ATLAS-SUSY-2019-09	0.115973	ATLAS-SUSY-2019-09	0.07035839	ATLAS-SUSY-2019-09	399.777204	2798.9537	229.776339	30.1974693	-1
ew_wixrfocc.slha	287.859338	293.27651	290.378968	1426.8944	2242.05617	1427.07603	-1	-1	-1	-1	-1	-1	-1	2188.92367	1307.31025	280.080009	34.1989463	['CMS-SUS-16-039-agg']
ew_oeoy1ej8.slha	20.5546158	116.478135	107.577361	116.752434	1300.74243	1300.91183	0.5270795	0.6824249	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-02,ATLAS-SUSY-2019-09,CMS-SUS-13-012	0.3594714	ATLAS-SUSY-2013-11	0.4831639	CMS-SUS-13-012	17.7796932	1177.64506	103.398997	40.1067899	-1
ew__772nc6g.slha	324.019489	331.039445	327.59245	960.507699	1405.47835	1405.63518	-1	-1	-1	-1	-1	-1	-1	923.289889	1279.17382	316.601713	24.1665802	['CMS-SUS-16-039-agg']
ew_9p7k63fe.slha	126.004284	132.848802	129.950487	571.202404	1842.63773	1842.80377	-1	-1	-1	-1	-1	-1	-1	548.164295	1700.08714	124.535756	47.6864398	[]
ew_1403nsp7.slha	433.676674	440.800611	436.36035	1196.80308	2098.39688	1196.99835	0.0789266	0.1391383	CMS-SUS-21-002	0.0789266	CMS-SUS-21-002	0.1391383	CMS-SUS-21-002	2045.76103	1087.5308	423.514534	22.3652838	-1
ew_kj8eh8qu.slha	104.790837	1112.5624	1112.25953	1114.44703	3061.62677	3061.79138	0.3908532	0.4960653	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.4217957	ATLAS-SUSY-2018-41	0.3667771	CMS-SUS-21-002	100.843863	2894.28177	1084.90834	8.63303569	-1
ew_n8vs2j7_.slha	359.00478	812.800109	811.802062	814.592273	2184.12483	2184.29016	0.7556483	0.7256454	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.7063473	ATLAS-SUSY-2018-41	0.4809163	ATLAS-SUSY-2018-41	347.906878	2033.49997	788.83355	32.7492325	-1
ew_xwp6yxhb.slha	232.048164	235.817464	234.098622	1890.75813	2254.2647	2254.42454	-1	-1	-1	-1	-1	-1	-1	1843.57912	2100.4046	225.080106	27.7009648	[]
ew_pose8p4z.slha	177.618381	952.322261	952.486868	3037.7955	3038.66594	3039.3997	0.948738	1.745752	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.517795	ATLAS-SUSY-2018-41	1.29109	CMS-SUS-21-002	171.408191	865.078342	2992.67458	48.2544082	-1
ew_d1qgwhab.slha	482.509169	485.956039	484.270279	2372.5291	2804.36406	2372.70145	-1	-1	-1	-1	-1	-1	-1	2751.53844	2220.72329	468.022288	22.6015962	[]
ew_cgix2ogq.slha	236.289043	240.243344	238.502879	1319.79936	2585.94377	2586.10851	-1	-1	-1	-1	-1	-1	-1	1288.99964	2424.41909	231.546705	9.29622521	[]
ew_hpovjkit.slha	114.260918	133.042544	120.320055	394.344501	2543.84638	394.98432	1.33481	1.52305	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	0.9092982	ATLAS-SUSY-2018-05-ewk	0.8807059	ATLAS-SUSY-2018-05-ewk	2490.44977	327.865992	121.262548	44.5825116	-1
ew_jt2pu1a0.slha	81.9891781	431.456022	430.83675	445.764026	709.516232	709.705793	1.571535	1.833251	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.9481888	ATLAS-SUSY-2018-05-ewk	1.113466	CMS-SUS-21-002	72.2401451	608.425529	427.673063	11.0026052	-1
