#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_0o7dor26.slha	376.934442	383.602403	380.013244	1234.95376	1407.69301	1407.81919	-1	-1	-1	-1	-1	-1	-1	1189.91258	1281.6422	368.432098	14.6119774	['CMS-SUS-16-039-agg']
ew_2ig8526q.slha	469.866125	475.962216	472.367515	1431.97224	1932.52422	1432.16262	-1	-1	-1	-1	-1	-1	-1	1880.52617	1310.57058	458.209613	17.3711401	['CMS-SUS-16-039-agg']
ew_894kwjjh.slha	179.869795	183.555534	181.908378	1861.89301	2303.58385	2303.74538	-1	-1	-1	-1	-1	-1	-1	1816.07486	2148.09349	174.47351	39.652554	[]
ew_lsrpn2jq.slha	380.546669	387.321103	383.417799	1235.42177	1757.30806	1235.6204	0.06584055	0.1162757	CMS-SUS-21-002	0.06584055	CMS-SUS-21-002	0.1162757	CMS-SUS-21-002	1705.9553	1121.42726	371.247442	38.790532	-1
ew_e9ttu405.slha	145.560232	498.027691	496.159946	498.769336	2597.89892	2598.06406	1.73908	1.73212	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.1236	ATLAS-SUSY-2018-05-ewk	1.053876	CMS-SUS-21-002	140.496288	2436.63081	479.788604	19.3633665	-1
ew_t7v8k03q.slha	456.068645	464.771745	460.662845	843.23012	1335.94495	1336.10206	-1	-1	-1	-1	-1	-1	-1	807.880756	1212.35276	446.583637	29.793003	['CMS-SUS-16-039-agg']
ew_dns6it86.slha	16.754345	521.038298	520.042879	522.638229	3108.5427	3108.70764	2.675296	2.647875	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.949613	ATLAS-SUSY-2018-41	1.606128	CMS-SUS-21-002	13.3287901	2937.29245	502.44426	26.1189532	-1
ew_odv8ogyr.slha	215.294552	221.421069	217.988195	1319.31669	1653.29278	1319.51536	-1	-1	-1	-1	-1	-1	-1	1602.69523	1200.61201	211.878933	10.6226013	['CMS-SUS-16-039-agg']
ew_v553fkvi.slha	432.018115	925.851625	925.784607	986.925953	1041.2511	1041.33458	0.6737624	0.8242891	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.7933717	ATLAS-SUSY-2018-41	0.5668838	CMS-SUS-21-002	411.336456	878.261386	959.975989	21.8719328	-1
ew_9_92i5d4.slha	260.85228	427.808247	424.426407	434.508174	791.617785	791.788183	0.2817054	0.2311366	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.237682	ATLAS-SUSY-2019-09	0.1761665	ATLAS-SUSY-2019-09	247.024283	688.774851	416.15897	33.276669	-1
