#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_n1_964og.slha	281.43503	285.807764	283.596648	1700.36873	3038.80476	1700.54231	-1	-1	-1	-1	-1	-1	-1	2986.46813	1573.63298	273.12644	48.0685206	[]
ew_gvakxb4w.slha	114.828413	122.449446	119.366995	472.76159	1905.08084	1905.2469	0.1779481	0.1079574	ATLAS-SUSY-2019-09	0.1779481	ATLAS-SUSY-2019-09	0.1079574	ATLAS-SUSY-2019-09	451.989589	1760.98877	115.565463	15.1618009	-1
ew_wbg9utw5.slha	397.837511	1105.21059	1104.92978	1107.56472	2448.77744	2448.94263	0.3139515	0.3763208	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3546585	ATLAS-SUSY-2018-41	0.2599963	CMS-SUS-21-002	386.20887	2291.74181	1077.52844	47.8281779	-1
ew_yfo_r6l3.slha	111.393593	116.270262	113.905176	1580.79533	1910.29312	1580.98196	-1	-1	-1	-1	-1	-1	-1	1857.99041	1451.03346	109.219462	44.0533733	[]
ew_yshyjbvb.slha	162.039754	178.753951	175.703611	255.336064	2931.09366	2931.25919	0.7107351	0.5950717	ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048	0.6460415	ATLAS-SUSY-2019-09	0.548521	ATLAS-SUSY-2019-09	233.10357	2761.87158	168.503045	34.1985899	-1
ew_6vhyj502.slha	115.892187	1114.93251	1115.10936	1421.63919	1431.13396	1431.84998	0.7345033	0.9639534	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.7464614	ATLAS-SUSY-2018-41	0.7542108	CMS-SUS-21-002	106.890566	1018.32358	1390.19737	44.5805228	-1
ew_7yvwar1g.slha	15.2503857	153.956882	147.805681	154.33883	2609.98108	2610.14693	1.742903	2.245127	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-20-004	3.432804	CMS-SUS-16-039-agg	2.864414	CMS-SUS-16-039-agg	12.4935529	2446.95504	141.628913	48.6428035	-1
ew_b7nylico.slha	418.354774	421.572821	420.025479	2574.15364	2644.07322	2635.2267	-1	-1	-1	-1	-1	-1	-1	2521.14969	2473.4344	406.820877	11.2179616	[]
ew_fw9bnd_4.slha	157.897686	226.125116	160.995534	273.727768	1579.72958	278.651984	0.546326	0.573969	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.4528569	ATLAS-SUSY-2018-32	0.5363718	ATLAS-SUSY-2018-32	1529.62111	169.343977	210.404784	24.1137193	-1
ew_fbpzkx1h.slha	53.9415112	432.605641	431.028431	433.909889	2821.37749	2821.54263	2.581891	2.562196	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.636452	ATLAS-SUSY-2018-05-ewk	1.523812	CMS-SUS-21-002	49.9924148	2655.0605	415.862188	28.8262142	-1
