#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_9153u5r2.slha	333.716752	337.695472	336.12999	1191.05366	2832.31172	2832.47662	-1	-1	-1	-1	-1	-1	-1	1164.82731	2665.56712	323.726538	25.5449305	[]
ew_5rz8ciqi.slha	489.145089	492.983933	490.974127	2210.49178	2347.57667	2347.66196	-1	-1	-1	-1	-1	-1	-1	2158.5663	2192.89896	477.588384	7.35023262	[]
ew_v5c8hvxz.slha	353.40654	356.558394	355.078873	2599.9179	2705.07917	2600.10244	-1	-1	-1	-1	-1	-1	-1	2652.02937	2440.07954	343.051471	14.7232911	[]
ew_cr0rn5hf.slha	143.876858	148.734683	146.296839	1514.07207	2492.49799	1514.24975	-1	-1	-1	-1	-1	-1	-1	2439.10571	1391.86066	140.601352	31.3795931	['CMS-SUS-16-039-agg']
ew_ybx22u13.slha	281.201491	286.153803	283.960931	1055.84832	2242.13839	2242.3029	-1	-1	-1	-1	-1	-1	-1	1026.69651	2089.41767	276.681162	6.96425906	[]
ew__j3tt0lc.slha	279.678897	369.157399	366.758614	377.348257	2800.54145	2800.70683	0.007486432	0.007055751	ATLAS-SUSY-2013-11,CMS-SUS-13-012	0.006981278	ATLAS-SUSY-2013-11	0.006515859	ATLAS-SUSY-2013-11	281.153797	2634.25127	353.368034	42.8327382	-1
ew_ib97ae4u.slha	332.633529	336.13546	334.51117	2341.90537	2383.15929	2342.12833	-1	-1	-1	-1	-1	-1	-1	2329.7985	2187.37363	322.234626	28.2299024	[]
ew_3c0wxg18.slha	182.241976	192.015797	188.8812	386.416417	1939.21009	1939.37614	0.2009791	0.1546474	ATLAS-SUSY-2019-09	0.2009791	ATLAS-SUSY-2019-09	0.1546474	ATLAS-SUSY-2019-09	365.800096	1794.01554	181.33588	40.3147635	-1
ew_ditpr0xl.slha	16.204263	131.586104	124.347574	132.434328	1625.44442	1625.61185	0.6784481	0.8053784	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-02,ATLAS-SUSY-2019-09,CMS-SUS-13-012	5.250754	CMS-SUS-16-039-agg	5.904583	CMS-SUS-16-039-agg	12.8530909	1490.34602	119.3978	36.6870171	-1
ew_3fdy1e1n.slha	179.804086	278.785022	278.946956	2440.16044	2440.72128	2441.7042	2.007593	1.525653	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2019-09,CMS-SUS-13-012	1.652904	ATLAS-SUSY-2019-09	1.353586	ATLAS-SUSY-2019-09	172.393434	238.27694	2394.81831	34.9453597	-1
ew_t6xld9w7.slha	285.437827	345.667156	294.998095	366.894692	423.934994	415.882965	0.1317111	0.1505192	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	0.1380062	ATLAS-SUSY-2019-09	0.1405469	ATLAS-SUSY-2019-09	339.338207	296.887155	328.898698	14.8828122	-1
ew_l6g6drp3.slha	198.272399	536.117694	534.138415	536.838177	2348.1563	2348.32155	1.373998	1.343732	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.8122563	ATLAS-SUSY-2018-05-ewk	0.7950201	CMS-SUS-21-002	191.93643	2192.98809	517.177084	17.3728866	-1
ew_stmhe4hf.slha	460.730769	464.969569	462.771254	1886.2335	2706.24891	1886.40727	-1	-1	-1	-1	-1	-1	-1	2653.08135	1750.49568	447.416955	47.6915186	[]
ew_ydfto6hs.slha	308.948818	321.993354	312.435737	684.043796	2475.13828	684.341941	0.862179	0.8016673	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.7442397	ATLAS-SUSY-2018-41	0.5024351	ATLAS-SUSY-2018-41	2421.97103	602.210343	307.355413	16.8598972	-1
ew_fgys4dwu.slha	131.114183	1054.81793	1054.98253	2652.6679	2654.07384	2654.77431	0.9002842	1.231426	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.9924917	ATLAS-SUSY-2018-41	0.9661382	CMS-SUS-21-002	125.223589	961.511773	2606.70656	26.6704968	-1
ew_jbbdo_j6.slha	285.8067	515.855887	513.652037	520.896726	1022.66662	1022.8365	0.2140988	0.3039167	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1669976	ATLAS-SUSY-2017-03	0.2022765	ATLAS-SUSY-2018-05-ewk	271.680154	910.925535	500.959285	35.2047773	-1
ew_8rvkvg1i.slha	18.4245036	1101.77444	1101.93909	2591.76195	2593.36703	2594.05058	0.825809	1.071785	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.8372518	ATLAS-SUSY-2018-41	0.8368228	CMS-SUS-21-002	14.6895969	1006.26526	2545.9821	20.5713371	-1
ew_rvt3sel_.slha	290.93673	705.899271	706.063138	2710.86225	2712.17189	2712.78342	1.834456	2.223415	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.185924	ATLAS-SUSY-2018-41	1.440523	ATLAS-SUSY-2018-41	283.078599	636.005301	2662.99619	11.0460587	-1
ew_c85_4lgy.slha	163.404854	167.519814	165.585972	1928.24133	2059.02083	1928.43559	-1	-1	-1	-1	-1	-1	-1	2006.20035	1785.42104	158.886255	37.0213496	[]
ew_fg4mjjah.slha	88.5187926	956.651772	956.731146	963.859548	1495.40064	1495.56992	0.7380206	0.9067646	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.8542886	ATLAS-SUSY-2018-41	0.6126875	CMS-SUS-21-002	81.1511671	1366.70721	936.443933	11.7534906	-1
ew_mn67mdd0.slha	308.792463	609.103525	609.267598	2922.98544	2923.78454	2924.52788	0.9716802	1.178265	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.7056295	CMS-SUS-21-002	0.860375	CMS-SUS-21-002	300.572695	544.526475	2873.76135	22.7761306	-1
ew_gleb7y4m.slha	362.27868	367.342782	365.601493	854.505938	2804.3092	2804.47423	-1	-1	-1	-1	-1	-1	-1	833.204509	2638.168	352.264076	27.6525695	[]
ew_8fzttrmm.slha	138.017522	142.065324	139.881604	1878.95295	2594.41729	1879.12681	-1	-1	-1	-1	-1	-1	-1	2541.18382	1742.54506	137.394483	7.66388942	[]
ew_ua74b86s.slha	122.408501	239.834682	123.773478	262.295091	1526.34548	269.757041	0.5611989	0.524094	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.498565	ATLAS-SUSY-2019-09	0.4695688	ATLAS-SUSY-2019-09	1476.67666	114.473651	223.099867	21.5419391	-1
ew_z_17n83d.slha	158.420597	163.655079	161.074013	1526.27288	1646.42349	1526.4896	-1	-1	-1	-1	-1	-1	-1	1595.62969	1396.98229	154.771182	34.674582	['CMS-SUS-16-039-agg']
ew_yzvk8ztd.slha	403.907418	410.624478	406.322572	1201.01003	3048.63386	1201.1973	0.08307903	0.1463707	CMS-SUS-21-002	0.08307903	CMS-SUS-21-002	0.1463707	CMS-SUS-21-002	2996.61435	1096.91272	394.609311	15.5612169	-1
ew_boedsu5_.slha	194.318335	198.43285	196.463636	1918.04832	2163.75136	1918.23091	-1	-1	-1	-1	-1	-1	-1	2110.72537	1776.74643	188.853509	28.1270601	[]
ew_jg9kdb1s.slha	487.636007	506.99831	490.901902	706.434789	1983.59729	706.918131	0.0538054	0.05135621	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.03988711	CMS-SUS-21-002	0.04144027	CMS-SUS-21-002	1931.21608	614.894547	487.884038	46.9189129	-1
ew_ega6nja8.slha	55.4699534	925.027156	924.884985	926.972368	3080.37219	3080.53713	0.8395342	1.016882	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.9680369	ATLAS-SUSY-2018-41	0.6763373	CMS-SUS-21-002	51.2441181	2910.34428	898.60174	34.5988447	-1
ew_c10anh3x.slha	313.008682	317.299121	315.434265	1296.23048	2333.31431	2333.47864	-1	-1	-1	-1	-1	-1	-1	1262.96775	2177.77084	304.050429	21.4386562	[]
ew_95gqkw0i.slha	213.306505	223.366716	217.328237	800.501902	1293.99927	800.762579	1.273848	1.24708	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.398792	ATLAS-SUSY-2018-41	0.9656614	ATLAS-SUSY-2018-41	1246.30997	705.885371	211.237631	27.4141679	-1
ew_s_j6hesa.slha	336.696047	358.011317	341.365718	569.568738	954.163953	570.298738	0.2642788	0.2851007	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1762633	ATLAS-SUSY-2018-05-ewk	0.1675152	ATLAS-SUSY-2018-05-ewk	910.521618	479.920238	341.862995	16.7644339	-1
ew_ou4m_alj.slha	210.732982	214.725315	212.880119	2018.00728	2045.99912	2036.81998	-1	-1	-1	-1	-1	-1	-1	1965.50959	1889.1653	204.420822	48.7773868	[]
ew_pi1l7ftg.slha	182.802863	193.64659	187.117564	720.372727	1343.57958	720.648742	1.620365	1.547342	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.699966	ATLAS-SUSY-2018-41	1.159042	ATLAS-SUSY-2018-41	1295.35012	630.668416	182.085476	34.5492465	-1
ew_3tej7t52.slha	268.872492	272.870684	271.193736	1283.72102	2549.48347	2549.64829	-1	-1	-1	-1	-1	-1	-1	1253.04563	2388.44595	260.749094	31.5331269	[]
