#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_8qc3eov_.slha	449.482534	453.565827	451.450469	1942.9625	2824.83722	1943.13506	-1	-1	-1	-1	-1	-1	-1	2771.99417	1806.06763	436.168856	32.6266095	[]
ew_yah42s_x.slha	123.571044	127.248323	125.58988	1737.88032	2350.79554	2350.95888	-1	-1	-1	-1	-1	-1	-1	1695.49287	2194.00916	120.604338	27.3912948	[]
ew_y6uga5mh.slha	309.934312	314.104026	311.681994	1914.43578	2784.24613	1914.60846	-1	-1	-1	-1	-1	-1	-1	2731.53623	1778.94918	304.478808	5.96673795	[]
ew_rpqjwiad.slha	291.28665	294.656119	293.299477	1522.15544	2994.33329	2994.49839	-1	-1	-1	-1	-1	-1	-1	1491.93218	2824.10249	281.95851	49.5787367	[]
ew_nfj_3pxh.slha	499.304172	503.048402	501.389498	1808.02033	2497.46242	2497.62562	-1	-1	-1	-1	-1	-1	-1	1766.46084	2337.95365	484.487211	44.1233159	[]
ew_q37zyk30.slha	333.4417	339.670125	336.646118	1060.43612	1582.27837	1582.43804	-1	-1	-1	-1	-1	-1	-1	1023.09004	1449.66546	325.513791	17.7680611	[]
ew_edzj62i6.slha	300.941732	335.782733	335.935006	2826.4925	2826.97815	2827.86826	0.01559809	0.0158561	ATLAS-SUSY-2013-11,CMS-SUS-16-048	0.01458443	CMS-SUS-16-048	0.01582944	CMS-SUS-16-048	292.234962	291.138549	2780.15513	43.47687	-1
ew_v9ds6dd0.slha	426.666927	1150.26127	1150.04474	1153.07755	2288.87073	2289.03614	0.2594806	0.3152389	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.2900724	ATLAS-SUSY-2018-41	0.2221663	CMS-SUS-21-002	413.694608	2135.86078	1122.53872	47.8690291	-1
ew_zdg58k9z.slha	395.841949	1176.22155	1176.37933	1585.11077	1593.83654	1594.07899	0.4980699	0.6279633	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.4979872	ATLAS-SUSY-2018-41	0.495749	CMS-SUS-21-002	381.009435	1079.05858	1551.66709	10.0566272	-1
ew_9gucd9i_.slha	309.622487	313.998445	311.865898	1850.17126	1927.6325	1924.38807	-1	-1	-1	-1	-1	-1	-1	1798.43597	1780.24858	300.665768	24.3089368	[]
ew_nl5ie6jm.slha	292.807515	298.37807	296.219387	813.540544	2260.34413	2260.50923	-1	-1	-1	-1	-1	-1	-1	789.033647	2106.63421	285.440834	21.9167101	[]
ew_6n8ylhoy.slha	111.500773	116.955985	114.55317	781.983243	2052.56927	2052.73495	-1	-1	-1	-1	-1	-1	-1	756.482685	1903.77029	109.880206	32.9804555	[]
ew_dlngaafq.slha	304.733245	309.464062	307.679417	916.641484	2652.92027	2653.0856	-1	-1	-1	-1	-1	-1	-1	893.293613	2489.43646	296.014114	48.5873863	[]
ew_85lha5q9.slha	381.564735	384.487169	383.240496	2533.8706	2902.78021	2902.94184	-1	-1	-1	-1	-1	-1	-1	2485.24457	2734.5181	369.178943	42.3605976	[]
ew_3kaq5q2m.slha	102.137941	106.194227	104.342962	1531.89887	2153.44256	2153.60591	-1	-1	-1	-1	-1	-1	-1	1491.00385	2001.64592	100.011184	36.492926	[]
ew_5fheaxu_.slha	393.167744	401.672145	396.898748	1040.4831	1157.04544	1157.10425	0.2234887	0.2637287	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.2617575	ATLAS-SUSY-2018-41	0.1833575	ATLAS-SUSY-2018-41	996.742261	1040.60914	385.368209	18.6280924	-1
ew_lwet4xvf.slha	353.904403	359.148189	356.34685	1512.22438	2226.48856	1512.40541	-1	-1	-1	-1	-1	-1	-1	2173.32558	1388.55911	344.162382	47.0496949	[]
ew_z9xfwl43.slha	363.756701	1179.82129	1179.47292	1187.26095	1683.56852	1683.73268	0.2558531	0.3203724	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.2807563	ATLAS-SUSY-2018-41	0.2336165	CMS-SUS-21-002	350.341239	1549.4189	1157.81466	7.88698138	-1
ew_mt4tvjxb.slha	244.518581	248.115388	246.507798	2041.01421	2334.66602	2334.82469	-1	-1	-1	-1	-1	-1	-1	1991.86319	2178.47974	236.818623	45.7473108	[]
ew_1u4h1xls.slha	301.817978	318.444849	316.203616	391.306955	2907.68054	2907.84598	0.1143863	0.1004297	ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.1058275	ATLAS-SUSY-2019-09	0.09124513	ATLAS-SUSY-2019-09	366.899282	2739.1093	304.26084	49.2639378	-1
ew_fqxqbtbo.slha	157.391132	166.760684	161.4615	877.643191	930.295047	929.017062	0.700329	0.6477608	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.7500934	ATLAS-SUSY-2018-41	0.5077041	ATLAS-SUSY-2018-41	835.529974	822.334175	158.00459	10.4826225	-1
ew__8fkf7pe.slha	427.010146	432.877741	430.190031	1081.37025	1820.84368	1821.00635	-1	-1	-1	-1	-1	-1	-1	1046.68249	1680.45414	416.321929	17.0741876	[]
ew_3zpz12_p.slha	99.3744409	1189.02121	1189.18656	2165.3621	2167.99583	2168.6926	0.5568329	0.7370676	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.5395202	ATLAS-SUSY-2018-41	0.592611	CMS-SUS-21-002	93.0405447	1087.17914	2124.2208	28.9610166	-1
ew_ogt222yo.slha	360.803897	364.890697	362.938571	2044.63592	2055.59181	2045.41325	-1	-1	-1	-1	-1	-1	-1	1997.01159	1898.19978	349.920401	42.9203212	[]
ew_dreun49i.slha	246.304125	270.689189	252.063017	462.706458	713.528566	463.838736	0.4251137	0.4939347	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.3347324	ATLAS-SUSY-2019-09	0.3287369	ATLAS-SUSY-2019-09	673.278365	376.364833	256.086738	16.3382406	-1
ew_zleju9z7.slha	154.098421	660.10296	658.925549	662.549979	1902.49129	1902.65677	1.828842	1.802316	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.740603	ATLAS-SUSY-2018-41	1.181343	ATLAS-SUSY-2018-41	147.299547	1761.06394	641.791643	8.01392421	-1
ew_sf8f0iso.slha	117.377203	408.160937	406.080071	409.569376	1950.9769	1951.14284	1.560338	1.750904	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.110919	ATLAS-SUSY-2018-05-ewk	1.030408	ATLAS-SUSY-2018-05-ewk	111.400146	1806.22727	392.204878	27.5448471	-1
ew_4l0k22s4.slha	103.289208	107.708746	105.499794	1793.23784	1899.64054	1793.44367	-1	-1	-1	-1	-1	-1	-1	1847.49319	1654.52203	102.487939	14.2186599	[]
ew_9ju8qhj4.slha	297.651253	300.802103	299.467757	1992.07193	2848.11438	2848.27847	-1	-1	-1	-1	-1	-1	-1	1952.13967	2680.86343	288.023378	31.2847397	[]
