#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_qpzce81z.slha	261.96149	266.873403	264.535956	1425.85431	1792.37301	1792.53045	-1	-1	-1	-1	-1	-1	-1	1381.99613	1652.12169	254.644147	32.6714649	[]
ew_pdio3tcj.slha	420.975557	424.477021	422.817174	2305.1692	2683.15174	2305.34279	-1	-1	-1	-1	-1	-1	-1	2629.95738	2154.242	407.956218	40.117207	[]
ew_bor052tm.slha	205.978993	210.501139	208.709841	899.052256	2715.57724	2715.74257	-1	-1	-1	-1	-1	-1	-1	876.625314	2550.71833	200.343799	32.2051565	[]
ew_b5adexdc.slha	230.041985	236.368692	233.77122	718.532312	1884.39352	1884.55879	-1	-1	-1	-1	-1	-1	-1	692.761982	1741.12656	224.793215	33.8729754	[]
ew_towl6cvf.slha	281.528272	286.34645	283.948142	1487.003	1859.33634	1859.49383	-1	-1	-1	-1	-1	-1	-1	1442.87265	1717.44499	274.962921	11.8312677	[]
ew_f_dkm5wk.slha	321.304659	325.998268	324.035883	1105.51389	2262.68226	2262.84712	-1	-1	-1	-1	-1	-1	-1	1075.2144	2108.58653	312.01913	45.2204349	[]
ew_yvf3s51o.slha	368.665184	1121.20032	1121.3649	2617.66213	2619.17509	2619.85555	0.6269847	0.7827323	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.6360186	ATLAS-SUSY-2018-41	0.6094881	CMS-SUS-21-002	358.023862	1023.41866	2574.6258	44.8608328	-1
ew_1bt3vuvj.slha	127.138211	134.216581	130.679511	1005.96703	1207.71442	1207.84786	0.08843509	0.1554258	CMS-SUS-21-002	0.08843509	CMS-SUS-21-002	0.1554258	CMS-SUS-21-002	964.095574	1088.42451	125.676166	38.8966264	-1
ew_zorq34hb.slha	161.372425	165.459273	163.501895	1614.96011	2138.89483	2139.05678	-1	-1	-1	-1	-1	-1	-1	1572.13728	1988.17398	158.648302	11.5104625	[]
ew_bhw3p4p7.slha	329.850145	341.995604	339.784018	455.97918	2671.54928	2671.71454	0.06391543	0.04756061	ATLAS-SUSY-2019-09	0.06391543	ATLAS-SUSY-2019-09	0.04756061	ATLAS-SUSY-2019-09	434.384086	2507.97269	327.166469	35.0604839	-1
ew_uuygv4wo.slha	107.345001	111.283553	109.409481	1877.7574	2738.52128	1877.93065	-1	-1	-1	-1	-1	-1	-1	2685.32347	1741.80824	104.973041	33.5740278	[]
ew_e69jw4si.slha	235.255601	325.401839	237.096433	357.927567	974.726118	363.199318	0.2408285	0.2308367	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.2465435	ATLAS-SUSY-2019-09	0.211192	ATLAS-SUSY-2019-09	930.781543	221.923729	308.577404	29.254055	-1
ew_bihvtwi6.slha	125.166104	1178.53771	1178.70547	1729.27483	1734.31789	1735.02379	0.5760758	0.7558998	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.5697492	ATLAS-SUSY-2018-41	0.5991082	CMS-SUS-21-002	116.985841	1076.6661	1693.54158	37.0787531	-1
