#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_4lfmfwhz.slha	189.408098	192.3707	191.083985	2180.69563	2926.72418	2926.88823	-1	-1	-1	-1	-1	-1	-1	2138.63807	2757.81149	184.201988	16.9541023	[]
ew_fnclq7gg.slha	387.829819	392.561063	390.426237	1320.92961	2058.54409	2058.70718	-1	-1	-1	-1	-1	-1	-1	1283.61253	1910.42156	376.669457	34.1020822	[]
ew_74y39dn5.slha	308.126222	315.495256	312.935591	621.941336	1997.3338	1997.49938	-1	-1	-1	-1	-1	-1	-1	598.347348	1850.58535	301.451542	47.5084999	[]
ew_889hjv41.slha	412.621184	418.787464	416.960832	748.600881	2769.41914	2769.58413	-1	-1	-1	-1	-1	-1	-1	728.102794	2604.14222	402.235224	25.8060164	[]
ew_h940iy_l.slha	241.872701	247.909395	245.820288	625.676875	2613.90745	2614.07304	-1	-1	-1	-1	-1	-1	-1	606.384811	2451.13474	236.106246	47.1857094	[]
ew_3fzpc5bw.slha	102.304887	107.939025	105.181839	1274.45739	1484.9737	1485.11787	-1	-1	-1	-1	-1	-1	-1	1229.40444	1354.87341	101.117109	30.5379496	['CMS-SUS-16-039-agg']
ew_b1rogpjz.slha	162.241302	165.426227	164.057908	2079.22778	2675.54104	2675.70458	-1	-1	-1	-1	-1	-1	-1	2034.94953	2511.12008	157.160123	48.2109117	[]
ew__t89fs_7.slha	312.740058	317.378565	314.949201	1652.28879	2642.81695	1652.46418	-1	-1	-1	-1	-1	-1	-1	2589.62168	1525.55563	303.737801	28.4060888	[]
ew_ultzjt4q.slha	486.847648	490.881461	489.295882	1317.85641	2804.39494	2804.55952	-1	-1	-1	-1	-1	-1	-1	1289.29835	2638.70049	472.818652	20.692029	[]
ew_mu79tvmd.slha	353.314146	365.683225	358.297792	802.517415	832.767426	829.883686	0.4163917	0.3769486	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.2231677	ATLAS-SUSY-2018-05-ewk	0.2139545	CMS-SUS-21-002	761.651645	726.430599	349.549603	48.880532	-1
ew_t4f_h334.slha	373.514837	380.131302	376.043261	1212.71531	2567.45772	1212.90325	0.07522528	0.1329053	CMS-SUS-21-002	0.07522528	CMS-SUS-21-002	0.1329053	CMS-SUS-21-002	2514.33127	1105.60236	364.810833	16.9215659	-1
ew_uvqwqxjm.slha	134.732663	548.358241	546.997928	549.950469	2217.97847	2218.14386	1.88976	1.890588	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.287359	ATLAS-SUSY-2018-41	1.147911	CMS-SUS-21-002	128.756567	2066.288	529.937161	16.2290435	-1
ew_55z7e1ke.slha	485.876151	489.832072	487.756551	2124.36223	2296.27175	2296.4182	-1	-1	-1	-1	-1	-1	-1	2073.3295	2142.96004	474.48537	7.34398177	[]
ew_cpdjhinw.slha	411.825151	544.86183	540.203372	558.429757	740.191578	740.247674	0.005738224	0.006509981	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,CMS-SUS-13-012,CMS-SUS-21-002	0.02561348	CMS-SUS-16-039-agg	0.0188372	CMS-SUS-16-039-agg	392.494124	632.245172	537.961443	41.7262284	-1
ew_ahwsk73o.slha	445.985027	450.38487	448.775453	1131.39051	3091.24692	3091.41161	-1	-1	-1	-1	-1	-1	-1	1108.62849	2921.11145	437.462234	5.77356299	[]
ew_xvpcz2u6.slha	149.132567	173.056826	155.015092	360.956567	1659.6087	361.936631	0.980283	1.098327	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.7678609	ATLAS-SUSY-2019-09	0.7348289	ATLAS-SUSY-2019-09	1608.87757	289.323031	159.900571	28.6646344	-1
ew_539lq906.slha	240.242632	247.000653	243.41785	1235.89022	1319.18507	1236.17318	0.07522013	0.1324009	CMS-SUS-21-002	0.07522013	CMS-SUS-21-002	0.1324009	CMS-SUS-21-002	1271.1331	1117.89328	234.95564	28.1642258	-1
ew_ww9vq20y.slha	147.368362	152.428101	149.796001	1608.63484	1644.35385	1608.9423	-1	-1	-1	-1	-1	-1	-1	1593.56998	1475.97154	145.726311	10.9387981	[]
ew_mlnm6oba.slha	214.828427	1159.74649	1159.91108	2529.72862	2531.5408	2532.19468	0.6253475	0.8025627	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.6240097	ATLAS-SUSY-2018-41	0.6346994	CMS-SUS-21-002	207.142188	1060.70307	2484.86864	23.9850339	-1
ew_hssl97ai.slha	365.67827	376.6435	374.747315	505.003615	3100.26327	3100.4283	-1	-1	-1	-1	-1	-1	-1	485.332894	2928.80499	361.174032	24.8099879	[]
ew_pqqitmy6.slha	97.1808904	116.127205	103.397683	384.116432	2366.8959	384.77384	1.503326	1.703204	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	1.008445	ATLAS-SUSY-2018-05-ewk	0.9871478	ATLAS-SUSY-2018-05-ewk	2313.58172	317.806528	104.769074	30.8635842	-1
ew_grjpu1f9.slha	390.335289	457.521423	457.651221	1228.62274	1232.34519	1233.02002	0.0172242	0.0159467	CMS-SUS-16-048	0.0172242	CMS-SUS-16-048	0.0159467	CMS-SUS-16-048	372.970808	398.483936	1196.3023	16.3058227	-1
ew_7f7ldzc3.slha	127.218503	133.187037	130.448289	800.036471	1765.93028	1766.09526	-1	-1	-1	-1	-1	-1	-1	771.547736	1626.37183	126.353288	14.3884682	[]
ew_i95s38lj.slha	450.277433	453.262284	451.995381	2355.53538	2945.87134	2946.0346	-1	-1	-1	-1	-1	-1	-1	2310.73942	2776.93218	436.073945	44.8259282	[]
ew_4lp94996.slha	227.867226	679.955509	680.071105	709.142425	821.38125	821.566676	1.117534	1.312154	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.184255	ATLAS-SUSY-2018-41	0.8746329	CMS-SUS-21-002	211.879339	699.114454	685.866729	37.6672478	-1
