#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_a5nmobq5.slha	163.996679	170.896479	167.419336	1110.72957	1222.61303	1222.69638	0.08050342	0.1417712	CMS-SUS-21-002	0.08050342	CMS-SUS-21-002	0.1417712	CMS-SUS-21-002	1065.76532	1102.6579	161.101533	44.0607098	-1
ew_teibmcmi.slha	246.766612	251.713977	249.610582	992.877793	2173.99346	2174.15834	-1	-1	-1	-1	-1	-1	-1	964.127546	2022.40017	240.186515	25.5145691	[]
ew_s3e17hm_.slha	133.638671	137.105439	135.33521	2273.01189	2512.71471	2273.18952	-1	-1	-1	-1	-1	-1	-1	2459.40589	2121.50514	133.027378	7.70893406	[]
ew__5f432zu.slha	104.495081	125.416943	113.932303	303.958285	495.691817	495.743042	1.687046	1.657553	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	0.9987178	ATLAS-SUSY-2018-05-ewk	0.9834849	CMS-SUS-21-002	273.373838	407.014736	114.367186	13.2989491	-1
ew_l9x2u_ak.slha	179.329884	701.660864	701.091268	706.481352	1438.14343	1438.31093	1.604057	1.599024	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.587859	ATLAS-SUSY-2018-41	1.075245	ATLAS-SUSY-2018-41	169.548126	1311.61194	683.404968	13.4264733	-1
ew_eqovtxll.slha	306.319624	715.659245	715.822483	1957.25619	1959.44354	1960.10886	1.684795	2.031185	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.968908	ATLAS-SUSY-2018-41	1.326904	CMS-SUS-21-002	295.214911	641.658668	1916.32105	13.9603607	-1
ew_45ledvbf.slha	231.877944	1132.5777	1132.74197	2454.6992	2456.88416	2457.44461	0.7002185	0.8894837	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.6867645	ATLAS-SUSY-2018-41	0.7095746	CMS-SUS-21-002	224.17216	1036.29725	2410.32096	12.8672617	-1
ew_8nhzdygf.slha	173.920819	182.036285	179.446898	417.337109	2553.9218	2554.08745	0.1638612	0.09941113	ATLAS-SUSY-2019-09	0.1638612	ATLAS-SUSY-2019-09	0.09941113	ATLAS-SUSY-2019-09	399.77994	2392.43403	172.107106	36.608885	-1
ew_pdpk2_m8.slha	441.509913	468.078007	444.687798	604.809849	2374.06706	605.582729	0.03592504	0.0292913	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.02919492	ATLAS-SUSY-2016-24	0.02342802	ATLAS-SUSY-2016-24	2320.8312	515.216541	449.633649	45.5548193	-1
ew_osgwv45z.slha	236.263059	872.5233	872.777382	931.274324	985.967069	986.340939	1.245652	1.502867	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.394032	ATLAS-SUSY-2018-41	1.044373	CMS-SUS-21-002	221.300334	827.812099	905.089295	36.6645547	-1
