#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_h01vu8gw.slha	153.524662	156.804201	155.323555	2316.35584	2916.69914	2316.52709	-1	-1	-1	-1	-1	-1	-1	2863.91872	2166.03379	148.891	37.9274009	[]
ew_z1faowfi.slha	317.922521	323.565604	321.435074	807.017927	2277.06515	2277.23028	-1	-1	-1	-1	-1	-1	-1	782.653979	2122.81554	309.533867	32.2891175	[]
ew_hcjcud2m.slha	443.603414	447.58103	446.032248	1282.08578	2841.36802	2841.53272	-1	-1	-1	-1	-1	-1	-1	1254.44561	2674.741	430.474601	25.0117921	[]
ew_qppmn3z9.slha	419.700584	428.778233	424.676126	763.046658	1312.13601	1312.29549	-1	-1	-1	-1	-1	-1	-1	729.492107	1189.31808	411.404995	34.6615363	['CMS-SUS-16-039-agg']
ew_qhyq7s2p.slha	382.311586	1117.15603	1116.47756	1120.464	2125.05811	2125.22279	0.3088206	0.3754399	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3461026	ATLAS-SUSY-2018-41	0.2643467	CMS-SUS-21-002	371.041156	1979.27343	1092.03823	7.21457223	-1
ew_5293lhtl.slha	464.074365	474.536479	469.33374	802.370472	1264.7881	1264.93832	0.03795391	0.06683835	CMS-SUS-21-002	0.03795391	CMS-SUS-21-002	0.06683835	CMS-SUS-21-002	767.197841	1145.07631	458.603356	7.01221369	-1
ew_60j_j56m.slha	155.376788	160.833296	158.038672	1337.46746	2436.94584	1337.64896	-1	-1	-1	-1	-1	-1	-1	2383.51948	1222.8942	151.897117	41.9053115	['CMS-SUS-16-039-agg']
ew_8_clpok7.slha	192.311704	206.559002	197.22397	572.050929	1248.75703	572.437189	1.328077	1.346387	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.9712362	ATLAS-SUSY-2018-41	0.7821414	CMS-SUS-21-002	1201.50122	489.505652	193.951378	34.6234125	-1
ew_fueud7ib.slha	102.752781	113.280291	106.878191	660.995806	2830.20584	661.253603	2.290458	2.150401	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	2.328478	ATLAS-SUSY-2018-41	1.595973	ATLAS-SUSY-2018-41	2777.31653	583.286283	104.97189	17.8922252	-1
ew_h48t2j70.slha	182.281281	186.591753	184.559412	1526.76233	2037.71208	2037.87363	-1	-1	-1	-1	-1	-1	-1	1484.39215	1889.8805	178.075666	16.597831	[]
