#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_ccdv55ud.slha	421.962637	425.59722	423.710598	2345.00774	2464.8192	2345.1957	-1	-1	-1	-1	-1	-1	-1	2411.78724	2191.98866	411.585313	8.28958037	[]
ew_mpwb1o_h.slha	259.651116	262.796736	261.406365	2531.01394	2696.42895	2531.19245	-1	-1	-1	-1	-1	-1	-1	2643.14772	2372.47317	251.157205	43.3652135	[]
ew_a0z9mu0g.slha	222.414303	1170.13722	1170.49245	1180.88793	1498.38753	1498.5656	0.3039241	0.3839659	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3274783	ATLAS-SUSY-2018-41	0.2834607	CMS-SUS-21-002	210.50158	1365.39017	1150.01951	34.7409611	-1
ew_ew0053a3.slha	296.874078	304.93551	300.980923	819.219699	1253.38811	1253.5437	0.0598356	0.1056586	CMS-SUS-21-002	0.0598356	CMS-SUS-21-002	0.1056586	CMS-SUS-21-002	783.845739	1132.91824	290.972701	25.9816844	-1
ew_odsh5fm6.slha	364.411565	377.208423	375.295401	484.409907	3120.13792	3120.30292	0.07905014	0.05264793	ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.05725551	ATLAS-SUSY-2019-09	0.04257127	ATLAS-SUSY-2019-09	463.402552	2948.51068	362.257908	16.8871561	-1
ew_8fcffrx3.slha	328.877378	363.787698	360.335126	392.312251	1640.71534	1640.88168	0.08839874	0.09048455	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.08505164	ATLAS-SUSY-2019-09	0.09202416	ATLAS-SUSY-2019-09	345.927276	1505.53907	347.954595	45.4722932	-1
ew_0h6ciekt.slha	133.562661	184.594569	180.985438	201.679973	2886.28777	2886.4533	1.348305	1.390176	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-16-048	1.335486	ATLAS-SUSY-2019-09	1.420439	ATLAS-SUSY-2019-09	146.334931	2717.94641	173.644739	32.5359526	-1
ew_89dalw3x.slha	122.860367	126.800136	124.991219	1714.95189	2150.66505	2150.82627	-1	-1	-1	-1	-1	-1	-1	1669.91027	1999.16093	119.999044	28.9397584	[]
ew_afmmco1p.slha	491.390499	495.754311	493.612625	1878.71485	2029.0524	2029.19027	-1	-1	-1	-1	-1	-1	-1	1827.8578	1881.90389	477.252874	37.8351096	[]
ew_uhe3z45p.slha	380.583878	391.30188	383.797205	818.446367	2711.36237	818.693474	0.6268731	0.6002035	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.6113376	ATLAS-SUSY-2018-41	0.4153295	ATLAS-SUSY-2018-41	2658.21922	730.462392	374.900322	48.6967326	-1
ew_9lkt_26u.slha	473.982649	479.759666	476.64278	1508.12648	1622.98609	1623.05961	-1	-1	-1	-1	-1	-1	-1	1459.35676	1489.3022	462.190425	15.1184454	[]
