#SLHA_file 	 M_N1 	 M_N2 	 M_C1 	 M_N3 	 M_N4 	 M_C2 	 r_obs(comb) 	 r_exp(comb) 	 Combination 	 max_r_obs 	 Analysis 	 max_r_exp 	 Analysis 	 Time taken
 ew_egjazmul.slha 	 226.162539 	 257.014203 	 257.170181 	 2416.70288 	 2417.7069 	 2418.48667 	 9.649E-02 	 7.555E-02 	 ['ATLAS-SUSY-2018-05-ewk'] 	 0.09649 	 ATLAS-SUSY-2018-05-ewk 	 0.07555 	 ATLAS-SUSY-2018-05-ewk 	 00:00:41
 ew_3vrf79__.slha 	 107.292223 	 112.816294 	 110.185788 	 1165.71353 	 1578.09083 	 1578.24936 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:34
 ew_9tkjyro9.slha 	 117.173317 	 120.133908 	 118.855299 	 2012.84701 	 2984.58082 	 2984.74567 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:31
 ew_p6yb7zgb.slha 	 159.002506 	 1189.17501 	 1189.34385 	 1653.7354 	 1659.83916 	 1660.52405 	 4.587E-01 	 6.001E-01 	 ['ATLAS-SUSY-2018-41', 'CMS-SUS-21-002'] 	 0.45822 	 ATLAS-SUSY-2018-41 	 0.47331 	 CMS-SUS-21-002 	 00:04:22
 ew_mesap6eh.slha 	 262.133175 	 265.907272 	 264.297246 	 1398.31593 	 2655.43202 	 2655.59675 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:37
 ew_3pto38m1.slha 	 313.639838 	 318.147053 	 316.066368 	 1513.17429 	 1989.87768 	 1990.03853 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:41
 ew_vu00b_2z.slha 	 179.169751 	 183.383843 	 181.327555 	 1782.44697 	 2582.40192 	 1782.6214 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:43
 ew_wjv0fpa8.slha 	 237.603061 	 240.812128 	 239.344523 	 1955.44117 	 2824.1547 	 2824.3188 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:43
 ew_kdz8cweu.slha 	 162.227491 	 167.22956 	 164.701183 	 1443.36873 	 1712.56032 	 1712.71271 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:46
 ew_4g7n9i0s.slha 	 166.442433 	 175.776014 	 173.255332 	 365.664462 	 2890.04881 	 2890.21427 	 1.348E-01 	 1.036E-01 	 ['ATLAS-SUSY-2019-09'] 	 0.13478 	 ATLAS-SUSY-2019-09 	 0.10357 	 ATLAS-SUSY-2019-09 	 00:00:33
 ew_2l2gx4_c.slha 	 401.640156 	 405.712218 	 403.671127 	 1972.74433 	 2490.61538 	 1972.91927 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:41
 ew__0v6a88o.slha 	 417.879937 	 421.90378 	 419.79668 	 2063.28312 	 2430.17616 	 2063.45983 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:45
 ew_00nhvrxj.slha 	 253.956194 	 257.362035 	 255.846592 	 2187.8257 	 2445.98552 	 2446.14343 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:47
 ew_k8uo0hj4.slha 	 472.94214 	 583.180592 	 574.899958 	 583.460042 	 1024.23382 	 1024.38689 	 8.263E-04 	 7.800E-04 	 ['CMS-SUS-21-002'] 	 0.00083 	 CMS-SUS-21-002 	 0.00078 	 CMS-SUS-21-002 	 00:05:49
 ew_0rttwuf0.slha 	 404.048241 	 408.692404 	 406.557031 	 1375.27276 	 2111.856 	 2112.01894 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:50
 ew_oeoy1ej8.slha 	 20.5546158 	 116.478135 	 107.577361 	 116.752434 	 1300.74243 	 1300.91183 	 1.478E-01 	 1.335E-01 	 ['ATLAS-SUSY-2019-02', 'ATLAS-SUSY-2019-09'] 	 0.14978 	 ATLAS-SUSY-2019-02 	 0.13243 	 ATLAS-SUSY-2019-02 	 00:03:38
 ew_qczxbnca.slha 	 272.71248 	 280.228406 	 275.963819 	 1120.59485 	 1349.9316 	 1120.82768 	 9.077E-02 	 1.109E-01 	 ['ATLAS-SUSY-2018-41', 'CMS-SUS-21-002'] 	 0.10535 	 ATLAS-SUSY-2018-41 	 0.07422 	 CMS-SUS-21-002 	 00:08:05
 ew_04g1o0v7.slha 	 162.909543 	 167.966271 	 165.451114 	 1486.18929 	 2193.69346 	 1486.3699 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:56
 ew__j525g73.slha 	 190.037505 	 193.750896 	 192.068122 	 1911.79424 	 2265.88235 	 2266.04221 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:51
 ew_ly6ccvhf.slha 	 114.730363 	 120.153767 	 117.33201 	 1351.68876 	 2286.64724 	 1351.87082 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:45
 ew_jd7pfo1k.slha 	 412.857326 	 418.744098 	 415.378199 	 1374.24291 	 2290.24879 	 1374.42718 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:01:06
 ew_osb9fzlt.slha 	 341.554437 	 421.218065 	 343.049646 	 469.362809 	 2035.9853 	 471.988147 	 9.556E-02 	 8.907E-02 	 ['ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.09197 	 ATLAS-SUSY-2019-09 	 0.08603 	 ATLAS-SUSY-2019-09 	 00:12:47
 ew_j6etzhcu.slha 	 363.313321 	 431.637663 	 365.119542 	 477.848976 	 2945.07651 	 480.598709 	 5.942E-02 	 5.930E-02 	 ['ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.05918 	 ATLAS-SUSY-2019-09 	 0.05916 	 ATLAS-SUSY-2019-09 	 00:16:53
 ew_frbokdn1.slha 	 94.8792205 	 159.586148 	 99.1545064 	 208.23954 	 2647.29411 	 214.807137 	 5.982E-01 	 5.392E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.41038 	 ATLAS-SUSY-2018-32 	 0.36340 	 ATLAS-SUSY-2018-32 	 00:17:54
 ew_p43xum0f.slha 	 104.014336 	 540.924837 	 539.889203 	 542.680632 	 2424.32596 	 2424.49146 	 1.712E+00 	 1.607E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 1.21023 	 ATLAS-SUSY-2018-41 	 0.95871 	 CMS-SUS-21-002 	 00:32:17
 ew_d4qowtm2.slha 	 114.403259 	 496.298528 	 494.677092 	 497.113236 	 3006.19694 	 3006.36193 	 1.452E+00 	 1.395E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.85700 	 ATLAS-SUSY-2018-05-ewk 	 0.87422 	 CMS-SUS-21-002 	 00:34:24
 ew_1e_erc5c.slha 	 38.5678188 	 206.547964 	 202.313565 	 208.014638 	 1612.81186 	 1612.97911 	 4.255E+00 	 2.735E+00 	 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 2.88812 	 ATLAS-SUSY-2019-09 	 2.11022 	 ATLAS-SUSY-2019-09 	 00:35:22
 ew_vhs55r2c.slha 	 157.652905 	 740.398829 	 739.641153 	 741.860676 	 2844.36614 	 2844.53101 	 1.191E+00 	 1.199E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 1.21830 	 ATLAS-SUSY-2018-41 	 0.83556 	 ATLAS-SUSY-2018-41 	 00:46:33
 ew_qiev6znr.slha 	 42.5552321 	 626.140929 	 626.321779 	 925.331847 	 934.740948 	 935.791737 	 3.158E+00 	 3.333E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 3.01142 	 ATLAS-SUSY-2018-41 	 2.17673 	 CMS-SUS-21-002 	 00:47:00
 ew_ody0m8x6.slha 	 102.58918 	 846.652416 	 846.51274 	 849.885739 	 2044.60838 	 2044.77417 	 9.081E-01 	 1.010E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 1.01517 	 ATLAS-SUSY-2018-41 	 0.70812 	 ATLAS-SUSY-2018-41 	 00:54:05
 ew_o3eqk8ln.slha 	 443.035995 	 458.047084 	 447.290217 	 769.331386 	 1058.05153 	 769.780232 	 1.470E-01 	 1.667E-01 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.16538 	 ATLAS-SUSY-2018-41 	 0.11241 	 CMS-SUS-21-002 	 00:56:31
 ew_5kk03vnh.slha 	 328.557674 	 617.132542 	 615.362086 	 622.302809 	 1150.85762 	 1151.02492 	 2.303E-01 	 2.674E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.16449 	 CMS-SUS-21-002 	 0.16756 	 CMS-SUS-21-002 	 00:58:26
