#SLHA_file 		 M_N1 	 M_N2 	 M_C1 	 M_N3 	 M_N4 	 M_C2 	 r_obs(comb) 	 r_exp(comb) 			 Combination 			  	 max_r_obs 	 Analysis 	 max_r_exp 	 Analysis
 ew_25qggfk2.slha, 		 443.699467, 	 446.730359, 	 445.36402, 	 2698.31583, 	 2861.26046, 	 2698.49296, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_saa3rm0k.slha, 		 251.898144, 	 257.373442, 	 255.278021, 	 769.988441, 	 2395.67808, 	 2395.84331, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_oenwuarl.slha, 		 410.172889, 	 415.172041, 	 412.581669, 	 1697.54436, 	 1852.03527, 	 1697.74604, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_9h7bbkc6.slha, 		 465.048731, 	 468.261743, 	 466.837027, 	 2302.95295, 	 2714.9036, 	 2715.06495, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_ke2dhxg2.slha, 		 225.627508, 	 232.089641, 	 229.917658, 	 573.028197, 	 2614.17324, 	 2614.33863, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_8u0_0gmd.slha, 		 347.748151, 	 1132.28337, 	 1132.45848, 	 1142.39977, 	 1472.06132, 	 1472.23549, 	 2.584E-01, 	 3.182E-01, 			 ['ATLAS-SUSY-2018-41', 'CMS-SUS-21-002'], 			 0.28589, 	 ATLAS-SUSY-2018-41, 	 0.22807, 	 CMS-SUS-21-002
 ew_0b96f2ua.slha, 		 497.624081, 	 576.8043, 	 576.966202, 	 2567.53291, 	 2568.59299, 	 2569.3173, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_i1udd7vc.slha, 		 204.995422, 	 211.539286, 	 208.09601, 	 989.404556, 	 1484.23359, 	 1484.39164, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_nl9ywz0s.slha, 		 187.68055, 	 190.702129, 	 189.344759, 	 2206.25325, 	 2848.0062, 	 2848.16982, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_hsakh2gi.slha, 		 452.383587, 	 456.274074, 	 454.557931, 	 1678.46899, 	 2422.27141, 	 2422.43487, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_2lgxi717.slha, 		 464.84379, 	 468.706042, 	 466.837642, 	 2167.1072, 	 2321.55823, 	 2167.2935, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
