#SLHA_file 		 M_N1 	 M_N2 	 M_C1 	 M_N3 	 M_N4 	 M_C2 	 r_obs(comb) 	 r_exp(comb) 			 Combination 			  	 max_r_obs 	 Analysis 	 max_r_exp 	 Analysis
 ew_25qggfk2.slha, 		 443.699467, 	 446.730359, 	 445.36402, 	 2698.31583, 	 2861.26046, 	 2698.49296, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_j2b6ul6u.slha, 		 144.600189, 	 148.456648, 	 146.808257, 	 1237.57404, 	 2643.7113, 	 2643.87659, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_i0623j3x.slha, 		 488.655959, 	 493.811066, 	 490.908267, 	 1651.73978, 	 2182.68333, 	 1651.92131, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_auv6se8c.slha, 		 435.963743, 	 439.307576, 	 437.607648, 	 2320.62793, 	 2711.26619, 	 2711.42674, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_ywhdb_f6.slha, 		 218.027373, 	 221.713084, 	 219.979129, 	 2031.4242, 	 2985.8981, 	 2031.59553, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_cbm3c4o8.slha, 		 226.037613, 	 232.829351, 	 230.606386, 	 547.404827, 	 2590.50478, 	 2590.67017, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_3rlsa9oy.slha, 		 498.227556, 	 501.55157, 	 500.018335, 	 2472.90039, 	 2564.45538, 	 2560.07904, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_zz8dea30.slha, 		 294.885798, 	 298.756151, 	 296.875646, 	 1968.94747, 	 2867.4379, 	 1969.11946, 	 N/A, 	 N/A, 			 N/A, 			 N/A, 	 N/A, 	 N/A, 	 N/A
 ew_4dr7mlhm.slha, 		 154.207432, 	 162.69651, 	 158.331745, 	 689.408928, 	 1196.92048, 	 1197.0783, 	 9.023E-02, 	 1.199E-01, 			 ['ATLAS-SUSY-2018-41', 'CMS-SUS-21-002'], 			 0.09210, 	 ATLAS-SUSY-2018-41, 	 0.09233, 	 CMS-SUS-21-002
 ew_9q8984hz.slha, 		 352.419945, 	 386.436092, 	 386.449696, 	 1470.79545, 	 1472.79378, 	 1473.77277, 	 3.521E-03, 	 3.552E-03, 			 ['ATLAS-SUSY-2019-09'], 			 0.00352, 	 ATLAS-SUSY-2019-09, 	 0.00355, 	 ATLAS-SUSY-2019-09
 ew_i8jv00tb.slha, 		 397.170071, 	 404.621205, 	 399.870129, 	 1163.48717, 	 1921.5736, 	 1163.68674, 	 4.095E-02, 	 4.861E-02, 			 ['ATLAS-SUSY-2018-41', 'CMS-SUS-21-002'], 			 0.04925, 	 ATLAS-SUSY-2018-41, 	 0.03467, 	 ATLAS-SUSY-2018-41
 ew_zlh6580u.slha, 		 250.685693, 	 256.78917, 	 253.49836, 	 1264.85017, 	 1982.00158, 	 1265.039, 	 2.444E-02, 	 4.337E-02, 			 ['CMS-SUS-21-002'], 			 0.02444, 	 CMS-SUS-21-002, 	 0.04337, 	 CMS-SUS-21-002
 ew_7bqg_ba7.slha, 		 273.578721, 	 281.830864, 	 277.661649, 	 836.723856, 	 1175.4219, 	 1175.57039, 	 5.689E-02, 	 6.768E-02, 			 ['ATLAS-SUSY-2018-41', 'CMS-SUS-21-002'], 			 0.07000, 	 ATLAS-SUSY-2018-41, 	 0.04937, 	 ATLAS-SUSY-2018-41
 ew_zat0blrz.slha, 		 163.629368, 	 175.052797, 	 170.735445, 	 373.376033, 	 1284.75398, 	 1284.92089, 	 1.541E-01, 	 1.457E-01, 			 ['ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.16177, 	 ATLAS-SUSY-2019-09, 	 0.12850, 	 ATLAS-SUSY-2019-09
 ew_gcea632a.slha, 		 174.119144, 	 255.408717, 	 176.395475, 	 292.503759, 	 1799.12781, 	 297.816478, 	 3.520E-01, 	 2.798E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.30801, 	 ATLAS-SUSY-2019-09, 	 0.23428, 	 ATLAS-SUSY-2019-09
 ew_tyie9vih.slha, 		 132.775608, 	 473.605401, 	 472.047699, 	 475.168663, 	 2125.06756, 	 2125.2334, 	 1.195E+00, 	 1.231E+00, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.79206, 	 ATLAS-SUSY-2018-05-ewk, 	 0.76808, 	 CMS-SUS-21-002
 ew_3wkgmuv5.slha, 		 339.870612, 	 772.898414, 	 771.61296, 	 773.553503, 	 2969.87195, 	 2970.03696, 	 6.439E-01, 	 6.127E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.59852, 	 ATLAS-SUSY-2018-41, 	 0.40778, 	 ATLAS-SUSY-2018-41
 ew_xtw3i7tx.slha, 		 54.6956904, 	 396.381378, 	 394.930365, 	 398.613855, 	 2018.29859, 	 2018.4647, 	 1.751E+00, 	 1.945E+00, 			 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 1.14674, 	 ATLAS-SUSY-2018-05-ewk, 	 1.14230, 	 CMS-SUS-21-002
 ew_i7qwlyyr.slha, 		 21.5273905, 	 623.357638, 	 622.762172, 	 625.147703, 	 3107.16725, 	 3107.33235, 	 1.719E+00, 	 1.689E+00, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 1.60593, 	 ATLAS-SUSY-2018-41, 	 1.10289, 	 ATLAS-SUSY-2018-41
 ew_b0dzbnbu.slha, 		 148.193737, 	 191.995554, 	 192.059393, 	 624.846645, 	 630.272401, 	 632.010566, 	 3.771E-01, 	 3.397E-01, 			 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-06', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 0.36798, 	 ATLAS-SUSY-2018-05-ewk, 	 0.31561, 	 ATLAS-SUSY-2018-05-ewk
 ew_36czbisf.slha, 		 284.591317, 	 462.176732, 	 462.338566, 	 2600.79287, 	 2602.30255, 	 2602.81339, 	 2.216E-01, 	 2.235E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.16327, 	 ATLAS-SUSY-2019-08, 	 0.17544, 	 ATLAS-SUSY-2019-08
 ew_h908oaoi.slha, 		 103.846193, 	 956.847869, 	 957.011911, 	 1990.84251, 	 1993.84591, 	 1994.41035, 	 1.141E+00, 	 1.493E+00, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 1.28741, 	 ATLAS-SUSY-2018-41, 	 1.11938, 	 CMS-SUS-21-002
 ew_4on4ewh9.slha, 		 340.068448, 	 794.128065, 	 793.973714, 	 822.139585, 	 938.671342, 	 938.789899, 	 5.755E-01, 	 6.242E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.54605, 	 ATLAS-SUSY-2018-41, 	 0.41768, 	 CMS-SUS-21-002
 ew_xr5hrt_n.slha, 		 301.713781, 	 975.310595, 	 975.465481, 	 1340.99969, 	 1350.76526, 	 1351.03396, 	 8.377E-01, 	 1.079E+00, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 0.94397, 	 ATLAS-SUSY-2018-41, 	 0.79574, 	 CMS-SUS-21-002
 ew_13inc7ky.slha, 		 242.973228, 	 516.537305, 	 516.701496, 	 2815.28952, 	 2815.9275, 	 2816.76716, 	 7.286E-01, 	 9.976E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.62171, 	 CMS-SUS-21-002, 	 0.77185, 	 CMS-SUS-21-002
 ew_n1wpui8r.slha, 		 261.920903, 	 269.834718, 	 265.116255, 	 956.59171, 	 2407.42612, 	 956.797144, 	 2.724E-01, 	 3.081E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 0.32603, 	 ATLAS-SUSY-2018-41, 	 0.22808, 	 ATLAS-SUSY-2018-41
 ew_kr5qdf7d.slha, 		 155.656694, 	 1077.04562, 	 1077.49756, 	 1108.16526, 	 1212.63531, 	 1212.88982, 	 4.200E-01, 	 5.646E-01, 			 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 0.48142, 	 ATLAS-SUSY-2018-41, 	 0.42531, 	 CMS-SUS-21-002
 ew_1zpdtcza.slha, 		 309.617624, 	 561.198432, 	 558.8426, 	 564.315904, 	 1259.368, 	 1259.53534, 	 2.393E-01, 	 2.572E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.14789, 	 ATLAS-SUSY-2019-09, 	 0.15069, 	 ATLAS-SUSY-2019-09
 ew_4y6dy5xj.slha, 		 212.513263, 	 650.519749, 	 650.684358, 	 1240.96944, 	 1245.33924, 	 1246.25234, 	 1.923E+00, 	 2.187E+00, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 2.02486, 	 ATLAS-SUSY-2018-41, 	 1.48613, 	 CMS-SUS-21-002
 ew_zadxt6fw.slha, 		 81.1466211, 	 871.001565, 	 871.538764, 	 884.717558, 	 1136.96924, 	 1137.16601, 	 8.383E-01, 	 9.839E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 0.96244, 	 ATLAS-SUSY-2018-41, 	 0.67096, 	 ATLAS-SUSY-2018-41
 ew_pnykdswf.slha, 		 256.401627, 	 469.739462, 	 469.185371, 	 528.592139, 	 583.29967, 	 583.345264, 	 2.840E-01, 	 3.315E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.25437, 	 CMS-SUS-21-002, 	 0.25465, 	 CMS-SUS-21-002
 ew_vhi2ikfb.slha, 		 311.332101, 	 330.551986, 	 316.059674, 	 567.343715, 	 1006.63822, 	 567.958957, 	 2.401E-01, 	 2.733E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.17370, 	 ATLAS-SUSY-2018-05-ewk, 	 0.15283, 	 CMS-SUS-21-002
 ew_7dqa7743.slha, 		 99.8803538, 	 835.145194, 	 835.232739, 	 840.217453, 	 1592.11648, 	 1592.28456, 	 9.637E-01, 	 1.062E+00, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 1.06727, 	 ATLAS-SUSY-2018-41, 	 0.74429, 	 ATLAS-SUSY-2018-41
 ew_lm0ib_jg.slha, 		 210.400591, 	 223.38241, 	 215.793911, 	 695.660864, 	 714.127601, 	 697.8365, 	 1.076E-01, 	 1.199E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.10115, 	 ATLAS-SUSY-2018-41, 	 0.08317, 	 CMS-SUS-21-002
 ew_ln8qfzsi.slha, 		 105.551411, 	 415.297986, 	 415.462426, 	 1089.14806, 	 1092.31599, 	 1093.62154, 	 2.017E+00, 	 2.525E+00, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 1.63229, 	 CMS-SUS-21-002, 	 1.83605, 	 CMS-SUS-21-002
 ew_3pd7nito.slha, 		 140.790607, 	 392.304217, 	 389.470985, 	 392.322746, 	 2607.24627, 	 2607.41158, 	 8.893E-01, 	 9.668E-01, 			 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.55833, 	 ATLAS-SUSY-2018-05-ewk, 	 0.58555, 	 ATLAS-SUSY-2018-05-ewk
 ew_4eswfll1.slha, 		 484.306188, 	 1079.01249, 	 1079.16323, 	 1262.29607, 	 1279.26884, 	 1279.56793, 	 4.192E-01, 	 5.404E-01, 			 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 0.47902, 	 ATLAS-SUSY-2018-41, 	 0.39757, 	 CMS-SUS-21-002
 ew_r3ow2mds.slha, 		 376.592367, 	 417.207418, 	 379.120082, 	 515.092235, 	 2901.15337, 	 516.277918, 	 1.012E-01, 	 1.110E-01, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'], 			 0.10681, 	 ATLAS-SUSY-2019-09, 	 0.10043, 	 ATLAS-SUSY-2019-09
 ew_9v7d7dp_.slha, 		 481.100664, 	 900.633349, 	 899.878381, 	 907.282316, 	 1356.36514, 	 1356.53173, 	 2.228E-01, 	 2.447E-01, 			 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 0.23992, 	 ATLAS-SUSY-2018-41, 	 0.16757, 	 CMS-SUS-21-002
 ew_x33to679.slha, 		 360.315955, 	 379.467878, 	 372.344512, 	 475.936986, 	 897.924234, 	 898.075933, 	 4.159E-02, 	 4.817E-02, 			 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'], 			 0.04473, 	 ATLAS-SUSY-2018-41, 	 0.03318, 	 CMS-SUS-21-002
