#SLHA_file 	 M_N1 	 M_N2 	 M_C1 	 M_N3 	 M_N4 	 M_C2 	 r_obs(comb) 	 r_exp(comb) 	 Combination 	 max_r_obs 	 Analysis 	 max_r_exp 	 Analysis 	 Time taken
 ew_vs0qk4ib.slha 	 207.238015 	 1059.76626 	 1059.72127 	 1062.51059 	 2399.99217 	 2400.15761 	 3.576E-01 	 4.619E-01 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.42257 	 ATLAS-SUSY-2018-41 	 0.33005 	 CMS-SUS-21-002 	 00:51:28
 ew_0g4nt6ft.slha 	 314.487746 	 330.586218 	 318.510799 	 617.461249 	 1495.77949 	 617.872219 	 3.735E-01 	 3.553E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.21389 	 ATLAS-SUSY-2018-05-ewk 	 0.20424 	 CMS-SUS-21-002 	 00:55:52
 ew_6r51cgb_.slha 	 140.20699 	 1003.66339 	 1003.87453 	 1010.62944 	 1536.93111 	 1537.10126 	 4.631E-01 	 5.923E-01 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.55863 	 ATLAS-SUSY-2018-41 	 0.41400 	 CMS-SUS-21-002 	 00:58:23
 ew_cqtgn_ua.slha 	 16.7601076 	 523.933102 	 524.09703 	 1600.73546 	 1602.93296 	 1603.86042 	 3.251E+00 	 3.764E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 2.77530 	 ATLAS-SUSY-2018-41 	 2.73262 	 CMS-SUS-21-002 	 01:02:57
 ew_7rdhjpbg.slha 	 136.165091 	 820.124912 	 820.289607 	 2311.91107 	 2313.23341 	 2314.05803 	 1.793E+00 	 2.141E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 2.00823 	 ATLAS-SUSY-2018-41 	 1.47279 	 CMS-SUS-21-002 	 01:05:28
 ew_f6i238nf.slha 	 404.123618 	 439.215896 	 407.26265 	 544.525243 	 1709.49209 	 545.71038 	 1.403E-02 	 1.187E-02 	 ['ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.01473 	 CMS-SUS-21-002 	 0.01155 	 CMS-SUS-21-002 	 01:01:57
 ew_zw4ffyh9.slha 	 32.1983844 	 292.639381 	 290.317371 	 295.121588 	 1660.3333 	 1660.50014 	 2.303E+00 	 2.359E+00 	 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 1.61365 	 ATLAS-SUSY-2019-09 	 1.49765 	 ATLAS-SUSY-2019-09 	 01:08:20
 ew_4r8ibl6a.slha 	 469.332379 	 864.543549 	 863.432915 	 869.572298 	 1439.09769 	 1439.26333 	 2.208E-01 	 2.441E-01 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.23659 	 ATLAS-SUSY-2018-41 	 0.16738 	 CMS-SUS-21-002 	 01:10:07
 ew_zsghhoma.slha 	 498.591051 	 648.86537 	 647.072053 	 653.053522 	 3057.58097 	 3057.74578 	 3.069E-03 	 3.495E-03 	 ['ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.00305 	 CMS-SUS-21-002 	 0.00342 	 CMS-SUS-21-002 	 01:08:33
 ew_cfzdvty9.slha 	 286.864136 	 574.884528 	 575.0484 	 2796.90572 	 2797.8285 	 2798.55217 	 6.288E-01 	 8.688E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.54464 	 CMS-SUS-21-002 	 0.67560 	 CMS-SUS-21-002 	 01:17:24
 ew_jv57csq_.slha 	 205.898247 	 226.407265 	 210.820494 	 437.465007 	 2455.00157 	 438.131223 	 4.647E-01 	 5.351E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.32071 	 ATLAS-SUSY-2019-09 	 0.32098 	 ATLAS-SUSY-2018-05-ewk 	 01:23:00
 ew_3_8t1j1u.slha 	 206.545556 	 1077.77156 	 1077.58512 	 1081.03748 	 2199.48116 	 2199.64652 	 3.371E-01 	 4.396E-01 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.39450 	 ATLAS-SUSY-2018-41 	 0.31911 	 CMS-SUS-21-002 	 01:24:57
 ew_gfbzrn6w.slha 	 120.547791 	 131.555486 	 125.793145 	 636.633101 	 803.84874 	 803.935457 	 1.043E-01 	 1.182E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.11043 	 ATLAS-SUSY-2018-41 	 0.07957 	 CMS-SUS-21-002 	 01:35:10
 ew__vkwf10c.slha 	 38.4808183 	 753.615967 	 753.782031 	 1551.4885 	 1554.4388 	 1555.38229 	 2.411E+00 	 2.688E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 2.59153 	 ATLAS-SUSY-2018-41 	 1.78845 	 ATLAS-SUSY-2018-41 	 02:03:01
