#SLHA_file 	 M_N1 	 M_N2 	 M_C1 	 M_N3 	 M_N4 	 M_C2 	 r_obs(comb) 	 r_exp(comb) 	 Combination 	 max_r_obs 	 Analysis 	 max_r_exp 	 Analysis 	 Time taken
 ew_ngqqf1l1.slha 	 379.439025 	 383.946857 	 381.977601 	 1281.34919 	 2262.36711 	 2262.53118 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:36
 ew_8p2d00i5.slha 	 192.417094 	 195.626328 	 194.286244 	 1761.23524 	 2880.81036 	 2880.97539 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:35
 ew_mfxiqzrq.slha 	 471.82489 	 480.590414 	 477.400101 	 739.715577 	 1653.49562 	 1653.65984 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:40
 ew_6col1p0e.slha 	 346.947343 	 351.450254 	 349.230363 	 1847.75003 	 1928.39797 	 1847.96681 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:53
 ew_48rbwf46.slha 	 250.952941 	 254.910054 	 252.899676 	 1924.53008 	 2832.57932 	 1924.70238 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:42
 ew_vu_h7ioj.slha 	 411.450904 	 544.383426 	 544.528819 	 1150.41645 	 1154.81811 	 1155.55816 	 2.070E-02 	 1.808E-02 	 ['CMS-SUS-21-002'] 	 0.02070 	 CMS-SUS-21-002 	 0.01808 	 CMS-SUS-21-002 	 00:07:19
 ew_pp_y3sav.slha 	 340.043797 	 343.933219 	 342.414368 	 1214.80044 	 2892.0625 	 2892.22742 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:44
 ew_yht2mijh.slha 	 107.580149 	 111.051227 	 109.475338 	 2262.25202 	 2382.14532 	 2262.43975 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:51
 ew_55xi83pi.slha 	 222.242129 	 227.456206 	 225.440584 	 789.180071 	 2551.76467 	 2551.9299 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:01:09
 ew_ehigh8vg.slha 	 305.687639 	 313.594652 	 310.448974 	 661.501964 	 1661.94998 	 1662.11465 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:01:15
 ew_f_1rv60w.slha 	 195.966514 	 200.098324 	 198.099362 	 1807.73453 	 2726.57333 	 1807.90804 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:56
 ew_65y_xpfr.slha 	 185.372002 	 188.645578 	 187.150205 	 2257.59284 	 2527.80144 	 2527.96023 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:49
 ew_99sh133g.slha 	 171.482325 	 177.778829 	 174.748495 	 934.761315 	 1507.57609 	 1507.73746 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:55
 ew_3a3cyytg.slha 	 224.550071 	 230.225329 	 226.82184 	 1312.86313 	 2934.46936 	 1313.04328 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:01:23
 ew_wh7i90n2.slha 	 360.84808 	 364.358831 	 362.95948 	 1461.01295 	 2957.4458 	 2957.61061 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:55
 ew_k2il63_r.slha 	 383.177707 	 388.166909 	 385.461551 	 1575.72127 	 2524.77714 	 1575.89873 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:51
 ew_mov1s3g7.slha 	 401.067407 	 407.160874 	 404.767006 	 897.227998 	 2233.6826 	 2233.84705 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:50
 ew_xbi97q13.slha 	 281.794898 	 287.133186 	 284.900997 	 930.245039 	 2061.82105 	 2061.98608 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:01:06
 ew_i_zdehqm.slha 	 486.3003 	 492.829557 	 488.930257 	 1365.75377 	 1819.03775 	 1365.95028 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:01:42
 ew_iafz3az4.slha 	 243.029755 	 246.444993 	 244.973551 	 1610.25779 	 2827.3029 	 2827.46759 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:01:08
 ew_kvxnfrlb.slha 	 417.789884 	 492.518944 	 492.676404 	 2012.52182 	 2014.23443 	 2014.92316 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:06:15
 ew_4pvpe0k7.slha 	 190.891984 	 235.536021 	 235.692816 	 1857.01133 	 1858.13987 	 1859.14814 	 2.512E-01 	 2.279E-01 	 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-09'] 	 0.23744 	 ATLAS-SUSY-2018-05-ewk 	 0.21827 	 ATLAS-SUSY-2018-05-ewk 	 00:02:50
 ew_c_nsiakl.slha 	 295.153553 	 302.347891 	 298.503774 	 1176.61438 	 1227.6411 	 1225.08972 	 1.163E-02 	 1.939E-02 	 ['CMS-SUS-21-002'] 	 0.01163 	 CMS-SUS-21-002 	 0.01939 	 CMS-SUS-21-002 	 00:13:09
 ew_4kyhjnqb.slha 	 238.6234 	 245.661966 	 241.8831 	 1203.57827 	 1243.91101 	 1203.98824 	 4.638E-02 	 8.223E-02 	 ['CMS-SUS-21-002'] 	 0.04638 	 CMS-SUS-21-002 	 0.08223 	 CMS-SUS-21-002 	 00:14:23
 ew_mf0dw95y.slha 	 78.2563794 	 135.155759 	 83.9468147 	 198.631146 	 751.354175 	 204.978559 	 3.599E-01 	 3.030E-01 	 ['ATLAS-SUSY-2018-06', 'ATLAS-SUSY-2018-32', 'CMS-SUS-21-002'] 	 0.32285 	 ATLAS-SUSY-2018-32 	 0.28507 	 ATLAS-SUSY-2018-32 	 00:15:23
 ew_b7_06gah.slha 	 332.83924 	 369.34834 	 363.960314 	 396.83639 	 1101.22399 	 1101.39036 	 5.440E-02 	 5.625E-02 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.05485 	 ATLAS-SUSY-2019-09 	 0.05656 	 ATLAS-SUSY-2019-09 	 00:24:16
 ew_rwh11h8s.slha 	 394.716984 	 441.755888 	 397.385543 	 513.881843 	 1801.72334 	 515.783897 	 7.763E-02 	 6.852E-02 	 ['ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.07432 	 ATLAS-SUSY-2019-09 	 0.06401 	 ATLAS-SUSY-2019-09 	 00:25:31
 ew_322yasgp.slha 	 240.168596 	 341.10847 	 338.660086 	 348.133322 	 2983.62628 	 2983.79143 	 1.420E-01 	 1.647E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.15198 	 ATLAS-SUSY-2019-09 	 0.17786 	 ATLAS-SUSY-2019-09 	 00:30:27
 ew_q3ygmb15.slha 	 191.245938 	 236.722672 	 226.260277 	 286.379332 	 344.354455 	 343.020061 	 3.611E-01 	 3.714E-01 	 ['ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.38221 	 ATLAS-SUSY-2019-09 	 0.36140 	 ATLAS-SUSY-2019-09 	 00:23:31
 ew_bj9j5i2e.slha 	 121.627296 	 175.85276 	 160.628109 	 195.827677 	 299.740568 	 299.563245 	 1.217E+00 	 1.285E+00 	 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 1.24785 	 ATLAS-SUSY-2019-09 	 1.32097 	 ATLAS-SUSY-2019-09 	 00:25:27
 ew_gpcyd95r.slha 	 144.396574 	 157.996645 	 148.392092 	 556.987279 	 2745.99137 	 557.314268 	 1.206E+00 	 1.201E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.89639 	 ATLAS-SUSY-2018-41 	 0.68908 	 CMS-SUS-21-002 	 00:38:23
 ew_ng1ihwnr.slha 	 257.654805 	 720.11018 	 719.375833 	 725.128638 	 1382.1468 	 1382.31435 	 8.990E-01 	 8.952E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.87339 	 ATLAS-SUSY-2018-41 	 0.58966 	 ATLAS-SUSY-2018-41 	 00:52:20
 ew_q5wtm68t.slha 	 372.601299 	 746.521121 	 746.639647 	 957.742701 	 973.111172 	 973.333331 	 7.956E-01 	 9.286E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.87238 	 ATLAS-SUSY-2018-41 	 0.62785 	 CMS-SUS-21-002 	 00:54:19
 ew__ndvaqg4.slha 	 289.723857 	 497.405268 	 497.565233 	 1320.5768 	 1323.51775 	 1324.45192 	 3.463E-01 	 4.079E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.26782 	 CMS-SUS-21-002 	 0.32097 	 ATLAS-SUSY-2019-08 	 00:59:00
 ew_jcwido2b.slha 	 271.591511 	 454.283274 	 451.147431 	 455.342668 	 1907.12915 	 1907.29499 	 2.132E-01 	 2.152E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.18035 	 ATLAS-SUSY-2019-09 	 0.17554 	 ATLAS-SUSY-2019-09 	 00:59:35
 ew_9egh63pd.slha 	 445.828197 	 945.42732 	 944.392632 	 946.261874 	 3013.9154 	 3014.08028 	 3.258E-01 	 3.543E-01 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.38403 	 ATLAS-SUSY-2018-41 	 0.26386 	 ATLAS-SUSY-2018-41 	 01:03:44
 ew_bxgdt3un.slha 	 187.196334 	 1081.60808 	 1081.50315 	 1083.88967 	 2702.64691 	 2702.81184 	 3.349E-01 	 4.378E-01 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.39151 	 ATLAS-SUSY-2018-41 	 0.31770 	 CMS-SUS-21-002 	 01:01:27
 ew_somexrsz.slha 	 100.359596 	 344.094379 	 342.589253 	 349.962921 	 920.497214 	 920.673668 	 7.921E-01 	 8.868E-01 	 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.57241 	 ATLAS-SUSY-2019-09 	 0.58741 	 ATLAS-SUSY-2019-09 	 01:08:13
 ew_bf0uudnl.slha 	 40.6323244 	 1012.31222 	 1012.44676 	 1015.29172 	 2400.1859 	 2400.35146 	 4.594E-01 	 5.924E-01 	 ['ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.54704 	 ATLAS-SUSY-2018-41 	 0.42017 	 CMS-SUS-21-002 	 01:09:58
 ew_h204lh5x.slha 	 326.390073 	 862.712325 	 862.876717 	 1644.96027 	 1648.29054 	 1649.02824 	 1.088E+00 	 1.306E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 1.24023 	 ATLAS-SUSY-2018-41 	 0.89768 	 CMS-SUS-21-002 	 01:12:25
 ew_6lc8khyw.slha 	 170.683179 	 594.180506 	 594.344884 	 1307.08352 	 1310.49335 	 1311.47242 	 2.659E+00 	 3.191E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 2.41431 	 ATLAS-SUSY-2018-41 	 2.22763 	 CMS-SUS-21-002 	 01:10:13
 ew_247dg47f.slha 	 116.435336 	 483.683961 	 483.845961 	 501.9348 	 691.27685 	 691.509133 	 9.656E-01 	 1.057E+00 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.59762 	 CMS-SUS-21-002 	 0.69279 	 CMS-SUS-21-002 	 01:11:17
 ew_2_su4jth.slha 	 334.323757 	 592.440705 	 590.109206 	 595.374303 	 1312.90813 	 1313.07502 	 2.224E-01 	 2.395E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.14028 	 CMS-SUS-21-002 	 0.14030 	 ATLAS-SUSY-2018-05-ewk 	 01:13:38
 ew_971l9yln.slha 	 284.321897 	 492.301141 	 492.464614 	 1913.71998 	 1914.973 	 1915.944 	 3.504E-01 	 4.200E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.27950 	 CMS-SUS-21-002 	 0.31526 	 ATLAS-SUSY-2019-08 	 01:14:15
 ew_05uzu2a8.slha 	 152.508632 	 952.211085 	 951.907994 	 954.324425 	 2669.41373 	 2669.57863 	 5.771E-01 	 7.046E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.67372 	 ATLAS-SUSY-2018-41 	 0.47085 	 ATLAS-SUSY-2018-41 	 01:18:40
