#SLHA_file 	 M_N1 	 M_N2 	 M_C1 	 M_N3 	 M_N4 	 M_C2 	 r_obs(comb) 	 r_exp(comb) 	 Combination 	 max_r_obs 	 Analysis 	 max_r_exp 	 Analysis 	 Time taken
 ew_q1a7kw80.slha 	 254.59609 	 257.517955 	 256.294728 	 2063.48187 	 3096.10971 	 3096.27421 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:22
 ew_w2fuepda.slha 	 152.865577 	 157.702183 	 155.449183 	 1236.84058 	 1883.34259 	 1883.5055 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:24
 ew_ewqvyur8.slha 	 296.198749 	 300.730569 	 298.384448 	 1644.48763 	 3019.00858 	 1644.66173 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:03
 ew_w2si1mm4.slha 	 210.572672 	 477.633244 	 475.062368 	 477.641977 	 2516.37327 	 2516.5387 	 6.930E-01 	 6.438E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.44175 	 ATLAS-SUSY-2018-05-ewk 	 0.37703 	 ATLAS-SUSY-2018-05-ewk 	 00:30:52
 ew_13y3u5dy.slha 	 324.915401 	 328.357943 	 326.701911 	 2275.80021 	 2885.28379 	 2275.97141 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:17
 ew_ej9zn9zv.slha 	 175.939675 	 287.127319 	 283.917491 	 292.240767 	 2309.72388 	 2309.88946 	 4.497E-01 	 3.876E-01 	 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.38569 	 ATLAS-SUSY-2019-09 	 0.34627 	 ATLAS-SUSY-2019-09 	 00:13:20
 ew_dy7vmb88.slha 	 198.055719 	 235.312297 	 202.237124 	 342.191459 	 2824.07592 	 343.916914 	 7.654E-01 	 6.297E-01 	 ['ATLAS-SUSY-2013-12', 'ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-32', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.51295 	 ATLAS-SUSY-2019-09 	 0.40365 	 ATLAS-SUSY-2019-09 	 00:31:38
 ew_1uxbo_ab.slha 	 226.407203 	 533.655943 	 531.527645 	 533.928611 	 2628.40596 	 2628.57127 	 6.709E-01 	 7.163E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'ATLAS-SUSY-2019-09', 'CMS-SUS-21-002'] 	 0.46426 	 ATLAS-SUSY-2018-05-ewk 	 0.44713 	 CMS-SUS-21-002 	 00:39:34
 ew_0bcrcxjd.slha 	 231.195138 	 234.217102 	 232.970158 	 1940.7498 	 3009.97981 	 3010.1445 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 00:00:04
 ew_p5bljs5w.slha 	 357.830403 	 366.569997 	 360.469026 	 961.889368 	 2956.99977 	 962.096848 	 2.506E-01 	 2.694E-01 	 ['ATLAS-SUSY-2018-05-ewk', 'ATLAS-SUSY-2018-41', 'ATLAS-SUSY-2019-08', 'CMS-SUS-21-002'] 	 0.29331 	 ATLAS-SUSY-2018-41 	 0.20395 	 ATLAS-SUSY-2018-41 	 00:46:20
