X: nr=11; t='T2bbffff'; mgl=1000000.0; mstop=316.8; mlsp=289.3; id0='SR1McY'; r0=1.00; n0=14; id1='SR1VLaY'; r1=0.95; n1=35; id2='SR1LcY'; r2=0.93; n2=12; id3='SR1LaY'; r3=0.78; n3=40; id4='SR1HcY'; r4=0.68; n4=15; id5='SR1LcX'; r5=0.68; n5=9; id6='SR1VLaX'; r6=0.62; n6=1; id7='SR1McX'; r7=0.55; n7=10; id8='SR1LaX'; r8=0.52; n8=2; id9='SR1LbY'; r9=0.51; n9=6.
X: nr=12; t='T2bbffff'; mgl=1000000.0; mstop=547.9; mlsp=518.2; id0='SR1LcY'; r0=0.32; n0=12; id1='SR1McY'; r1=0.26; n1=14; id2='SR1LcX'; r2=0.14; n2=9; id3='SR1LaY'; r3=0.12; n3=40; id4='SR1HcY'; r4=0.12; n4=15; id5='SR1LbY'; r5=0.12; n5=6; id6='SR1VLaY'; r6=0.10; n6=35; id7='SR1McX'; r7=0.08; n7=10; id8='SR2LcY'; r8=0.08; n8=37; id9='SR2LaY'; r9=0.06; n9=21.
X: nr=13; t='T2bbffff'; mgl=1000000.0; mstop=596.3; mlsp=531.9; id0='SR1McY'; r0=0.21; n0=14; id1='SR1HcY'; r1=0.18; n1=15; id2='SR1LcY'; r2=0.12; n2=12; id3='SR1HcX'; r3=0.09; n3=11; id4='SR2McY'; r4=0.09; n4=38; id5='SR1McX'; r5=0.08; n5=10; id6='SR2HcY'; r6=0.06; n6=39; id7='SR1LcX'; r7=0.06; n7=9; id8='SR2LcY'; r8=0.04; n8=37; id9='SR2McX'; r9=0.03; n9=34.
X: nr=14; t='T2bbffff'; mgl=1000000.0; mstop=380.8; mlsp=347.2; id0='SR1McY'; r0=0.85; n0=14; id1='SR1LcY'; r1=0.78; n1=12; id2='SR1LcX'; r2=0.52; n2=9; id3='SR1HcY'; r3=0.52; n3=15; id4='SR1LaY'; r4=0.48; n4=40; id5='SR1McX'; r5=0.40; n5=10; id6='SR1LbY'; r6=0.38; n6=6; id7='SR1VLaY'; r7=0.35; n7=35; id8='SR2McY'; r8=0.32; n8=38; id9='SR2LcY'; r9=0.32; n9=37.
X: nr=15; t='T2bbffff'; mgl=1000000.0; mstop=615.4; mlsp=559.7; id0='SR1McY'; r0=0.21; n0=14; id1='SR1HcY'; r1=0.15; n1=15; id2='SR1LcY'; r2=0.11; n2=12; id3='SR2McY'; r3=0.08; n3=38; id4='SR1McX'; r4=0.07; n4=10; id5='SR1HcX'; r5=0.07; n5=11; id6='SR2HcY'; r6=0.05; n6=39; id7='SR1LcX'; r7=0.05; n7=9; id8='SR2LcY'; r8=0.04; n8=37; id9='SR1LbY'; r9=0.04; n9=6.
X: nr=16; t='T2bbffff'; mgl=1000000.0; mstop=491.4; mlsp=440.5; id0='SR1McY'; r0=0.44; n0=14; id1='SR1HcY'; r1=0.31; n1=15; id2='SR1LcY'; r2=0.27; n2=12; id3='SR1McX'; r3=0.19; n3=10; id4='SR1HcX'; r4=0.17; n4=11; id5='SR2McY'; r5=0.16; n5=38; id6='SR1LcX'; r6=0.16; n6=9; id7='SR2LcY'; r7=0.13; n7=37; id8='SR2HcY'; r8=0.12; n8=39; id9='SR1LaY'; r9=0.10; n9=40.
X: nr=17; t='T2bbffff'; mgl=1000000.0; mstop=789.2; mlsp=754.8; id0='SR1McY'; r0=0.05; n0=14; id1='SR1LcY'; r1=0.05; n1=12; id2='SR1HcY'; r2=0.03; n2=15; id3='SR1LcX'; r3=0.02; n3=9; id4='SR1LaY'; r4=0.02; n4=40; id5='SR1VLaY'; r5=0.02; n5=35; id6='SR1LbY'; r6=0.02; n6=6; id7='SR2McY'; r7=0.01; n7=38; id8='SR2LcY'; r8=0.01; n8=37; id9='SR1McX'; r9=0.01; n9=10.
X: nr=18; t='T2bbffff'; mgl=1000000.0; mstop=509.7; mlsp=435.4; id0='SR1HcY'; r0=0.35; n0=15; id1='SR1McY'; r1=0.30; n1=14; id2='SR1HcX'; r2=0.19; n2=11; id3='SR2HcY'; r3=0.16; n3=39; id4='SR2McY'; r4=0.13; n4=38; id5='SR1McX'; r5=0.13; n5=10; id6='SR1LcY'; r6=0.12; n6=12; id7='SR1LcX'; r7=0.08; n7=9; id8='SR2HcX'; r8=0.08; n8=36; id9='SR2LcY'; r9=0.07; n9=37.
X: nr=19; t='T2bbffff'; mgl=1000000.0; mstop=704.6; mlsp=673.4; id0='SR1LcY'; r0=0.10; n0=12; id1='SR1McY'; r1=0.08; n1=14; id2='SR1LcX'; r2=0.04; n2=9; id3='SR1LaY'; r3=0.03; n3=40; id4='SR1LbY'; r4=0.03; n4=6; id5='SR1VLaY'; r5=0.03; n5=35; id6='SR1HcY'; r6=0.03; n6=15; id7='SR1McX'; r7=0.02; n7=10; id8='SR2LcY'; r8=0.02; n8=37; id9='SR1VLbY'; r9=0.02; n9=5.
X: nr=20; t='T2bbffff'; mgl=1000000.0; mstop=561.2; mlsp=511.0; id0='SR1McY'; r0=0.29; n0=14; id1='SR1HcY'; r1=0.22; n1=15; id2='SR1LcY'; r2=0.20; n2=12; id3='SR1McX'; r3=0.12; n3=10; id4='SR1LcX'; r4=0.10; n4=9; id5='SR2McY'; r5=0.10; n5=38; id6='SR1HcX'; r6=0.10; n6=11; id7='SR2LcY'; r7=0.09; n7=37; id8='SR2HcY'; r8=0.07; n8=39; id9='SR1LbY'; r9=0.07; n9=6.
