X: nr=103; t='T2tt'; mgl=1000000.0; mstop=1098.5; mlsp=415.0; id0='t2b1MT2450+MET600+'; r0=0.17; n0=54; id1='t1b2MT2650+MET750+'; r1=0.13; n1=31; id2='t2b2MT2400+MET600+'; r2=0.12; n2=65; id3='t1b1MT2750+MET750+'; r3=0.07; n3=14; id4='t1b2MT2650+MET600_750'; r4=0.07; n4=30; id5='t1b2MT2450_650MET500_600'; r5=0.06; n5=27; id6='t1b1MT2550_750MET750+'; r6=0.06; n6=10; id7='t1b1MT2550_750MET600_750'; r7=0.06; n7=9; id8='t2b2MT2500+MET450_600'; r8=0.06; n8=67; id9='t1b2MT2450_650MET600_750'; r9=0.06; n9=28.
X: nr=104; t='T1tttt'; mgl=2085.0; mstop=1000000.0; mlsp=516.7; id0='t2b3+MT21300+MET500+'; r0=0.09; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.06; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.05; n2=83; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t1b2MT2650+MET750+'; r4=0.03; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t3+b1MT2300+MET350+'; r7=0.01; n7=78; id8='t1b2MT2200_650MET750+'; r8=0.01; n8=19; id9='t2b3+MT21300+MET350_500'; r9=0.01; n9=75.
X: nr=105; t='T2tt'; mgl=1000000.0; mstop=903.3; mlsp=399.0; id0='t2b1MT2450+MET600+'; r0=0.25; n0=54; id1='t1b2MT2450_650MET500_600'; r1=0.24; n1=27; id2='t2b2MT2500+MET450_600'; r2=0.20; n2=67; id3='t2b2MT2400+MET600+'; r3=0.17; n3=65; id4='t1b2MT2450_650MET600_750'; r4=0.16; n4=28; id5='t2b1MT2450+MET450_600'; r5=0.16; n5=53; id6='t1b2MT2450_650MET400_500'; r6=0.13; n6=26; id7='t1b1MT2550_750MET600_750'; r7=0.13; n7=9; id8='t2b2MT2400_500MET250_450'; r8=0.13; n8=63; id9='t2b3+MT2300_1300MET500+'; r9=0.11; n9=71.
X: nr=106; t='T1tttt'; mgl=1962.1; mstop=1000000.0; mlsp=141.8; id0='t2b3+MT21300+MET500+'; r0=0.15; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.11; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.10; n2=83; id3='t2b2MT2400+MET600+'; r3=0.06; n3=65; id4='t1b2MT2650+MET750+'; r4=0.05; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.04; n5=81; id6='t2b1MT2450+MET600+'; r6=0.04; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.02; n7=19; id8='t2b3+MT21300+MET350_500'; r8=0.02; n8=75; id9='t3+b1MT2300+MET350+'; r9=0.02; n9=78.
X: nr=107; t='T1tttt'; mgl=1949.9; mstop=1000000.0; mlsp=90.9; id0='t2b3+MT21300+MET500+'; r0=0.16; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.11; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.10; n2=83; id3='t2b2MT2400+MET600+'; r3=0.06; n3=65; id4='t1b2MT2650+MET750+'; r4=0.05; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.04; n5=81; id6='t2b1MT2450+MET600+'; r6=0.04; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.03; n7=19; id8='t2b3+MT21300+MET350_500'; r8=0.02; n8=75; id9='t3+b1MT2300+MET350+'; r9=0.02; n9=78.
X: nr=108; t='T2tt'; mgl=1000000.0; mstop=471.4; mlsp=192.1; id0='t2b2MT2300_400MET250_350'; r0=1.35; n0=60; id1='t1b2MT2200_350MET250_400'; r1=1.29; n1=15; id2='t2b1MT2300_450MET250_350'; r2=1.07; n2=49; id3='t2b2MT2200_300MET250_350'; r3=0.78; n3=55; id4='t2b2MT2300_400MET350_450'; r4=0.72; n4=61; id5='t1b3+MT2300_1000MET250_350'; r5=0.71; n5=32; id6='t1b1MT2300_400MET250_400'; r6=0.68; n6=46; id7='t1b2MT2200_350MET400_500'; r7=0.65; n7=16; id8='t2b1MT2300_450MET350_450'; r8=0.56; n8=50; id9='t1b1MT2200_300MET250_400'; r9=0.51; n9=1.
X: nr=109; t='T1tttt'; mgl=1972.8; mstop=1000000.0; mlsp=395.3; id0='t2b3+MT21300+MET500+'; r0=0.15; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.10; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.09; n2=83; id3='t2b2MT2400+MET600+'; r3=0.06; n3=65; id4='t1b2MT2650+MET750+'; r4=0.04; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.04; n5=81; id6='t2b1MT2450+MET600+'; r6=0.03; n6=54; id7='t2b3+MT21300+MET350_500'; r7=0.02; n7=75; id8='t1b2MT2200_650MET750+'; r8=0.02; n8=19; id9='t1b3+MT21500+MET350_550'; r9=0.02; n9=42.
X: nr=110; t='T2tt'; mgl=1000000.0; mstop=746.0; mlsp=449.8; id0='t2b2MT2300_400MET250_350'; r0=0.16; n0=60; id1='t2b2MT2300_400MET350_450'; r1=0.16; n1=61; id2='t2b1MT2300_450MET250_350'; r2=0.15; n2=49; id3='t2b1MT2300_450MET350_450'; r3=0.13; n3=50; id4='t1b2MT2200_350MET250_400'; r4=0.13; n4=15; id5='t2b2MT2400_500MET250_450'; r5=0.13; n5=63; id6='t1b2MT2200_350MET400_500'; r6=0.12; n6=16; id7='t1b2MT2350_450MET400_500'; r7=0.11; n7=21; id8='t2b1MT2300_450MET450_600'; r8=0.10; n8=51; id9='t1b2MT2200_350MET500_600'; r9=0.09; n9=17.
X: nr=111; t='T1tttt'; mgl=1961.8; mstop=1000000.0; mlsp=706.6; id0='t2b3+MT21300+MET500+'; r0=0.15; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.10; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.09; n2=83; id3='t2b2MT2400+MET600+'; r3=0.06; n3=65; id4='t1b2MT2650+MET750+'; r4=0.04; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.03; n5=81; id6='t2b1MT2450+MET600+'; r6=0.03; n6=54; id7='t2b3+MT2300_1300MET500+'; r7=0.02; n7=71; id8='t2b3+MT21300+MET350_500'; r8=0.02; n8=75; id9='t1b2MT2200_650MET750+'; r9=0.02; n9=19.
X: nr=112; t='T2tt'; mgl=1000000.0; mstop=580.2; mlsp=387.2; id0='t2b2MT2200_300MET450_600'; r0=0.17; n0=58; id1='t2b2MT2200_300MET250_350'; r1=0.16; n1=55; id2='t1b2MT2200_350MET400_500'; r2=0.12; n2=16; id3='t2b1MT2200_300MET350_450'; r3=0.11; n3=45; id4='t2b2MT2200_300MET350_450'; r4=0.11; n4=56; id5='t1b2MT2200_350MET600_750'; r5=0.10; n5=18; id6='t1b2MT2200_350MET500_600'; r6=0.10; n6=17; id7='t1b2MT2200_350MET250_400'; r7=0.10; n7=15; id8='t2b1MT2200_300MET250_350'; r8=0.10; n8=44; id9='t2b3+MT2900_1300MET350_500'; r9=0.09; n9=73.
X: nr=113; t='T2tt'; mgl=1000000.0; mstop=905.8; mlsp=589.2; id0='t2b2MT2400_500MET250_450'; r0=0.08; n0=63; id1='t1b2MT2350_450MET400_500'; r1=0.07; n1=21; id2='t2b2MT2300_400MET250_350'; r2=0.05; n2=60; id3='t1b1MT2400_550MET400_500'; r3=0.05; n3=3; id4='t1b2MT2200_350MET400_500'; r4=0.05; n4=16; id5='t2b1MT2300_450MET250_350'; r5=0.04; n5=49; id6='t1b2MT2350_450MET500_600'; r6=0.04; n6=22; id7='t2b1MT2300_450MET350_450'; r7=0.04; n7=50; id8='t2b2MT2400_500MET450_600'; r8=0.04; n8=64; id9='t1b2MT2200_350MET250_400'; r9=0.04; n9=15.
X: nr=114; t='T1tttt'; mgl=2095.3; mstop=1000000.0; mlsp=1027.7; id0='t2b3+MT21300+MET500+'; r0=0.07; n0=76; id1='t3+b3+MT2300+MET350+'; r1=0.04; n1=83; id2='t1b3+MT21500+MET550+'; r2=0.03; n2=43; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t2b3+MT2300_1300MET500+'; r4=0.02; n4=71; id5='t1b2MT2650+MET750+'; r5=0.02; n5=31; id6='t3+b2MT2300+MET400+'; r6=0.02; n6=81; id7='t2b1MT2450+MET600+'; r7=0.01; n7=54; id8='t1b3+MT21000_1500MET550+'; r8=0.01; n8=40; id9='t2b3+MT21300+MET350_500'; r9=0.01; n9=75.
X: nr=115; t='T1tttt'; mgl=1979.6; mstop=1000000.0; mlsp=52.4; id0='t2b3+MT21300+MET500+'; r0=0.14; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.10; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.09; n2=83; id3='t2b2MT2400+MET600+'; r3=0.05; n3=65; id4='t1b2MT2650+MET750+'; r4=0.04; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.04; n5=81; id6='t2b1MT2450+MET600+'; r6=0.03; n6=54; id7='t2b3+MT21300+MET350_500'; r7=0.02; n7=75; id8='t1b2MT2200_650MET750+'; r8=0.02; n8=19; id9='t3+b1MT2300+MET350+'; r9=0.02; n9=78.
X: nr=116; t='T2tt'; mgl=1000000.0; mstop=1033.5; mlsp=61.2; id0='t2b1MT2450+MET600+'; r0=0.37; n0=54; id1='t1b2MT2650+MET750+'; r1=0.29; n1=31; id2='t2b2MT2400+MET600+'; r2=0.26; n2=65; id3='t1b1MT2750+MET750+'; r3=0.19; n3=14; id4='t1b2MT2650+MET600_750'; r4=0.11; n4=30; id5='t1b1MT2550_750MET750+'; r5=0.10; n5=10; id6='t2b2MT2500+MET450_600'; r6=0.09; n6=67; id7='t1b2MT2450_650MET500_600'; r7=0.08; n7=27; id8='t1b2MT2450_650MET600_750'; r8=0.08; n8=28; id9='t1b1MT2550_750MET600_750'; r9=0.08; n9=9.
X: nr=117; t='T1tttt'; mgl=1848.7; mstop=1000000.0; mlsp=940.6; id0='t2b3+MT21300+MET500+'; r0=0.16; n0=76; id1='t2b3+MT2300_1300MET500+'; r1=0.13; n1=71; id2='t3+b3+MT2300+MET350+'; r2=0.11; n2=83; id3='t2b2MT2400+MET600+'; r3=0.07; n3=65; id4='t1b3+MT21500+MET550+'; r4=0.06; n4=43; id5='t1b3+MT21000_1500MET550+'; r5=0.06; n5=40; id6='t2b3+MT21300+MET350_500'; r6=0.04; n6=75; id7='t3+b2MT2300+MET400+'; r7=0.04; n7=81; id8='t2b3+MT2900_1300MET350_500'; r8=0.04; n8=73; id9='t1b2MT2650+MET750+'; r9=0.03; n9=31.
X: nr=118; t='T1tttt'; mgl=2070.4; mstop=1000000.0; mlsp=472.6; id0='t2b3+MT21300+MET500+'; r0=0.10; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.07; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.06; n2=83; id3='t2b2MT2400+MET600+'; r3=0.04; n3=65; id4='t1b2MT2650+MET750+'; r4=0.03; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.01; n7=19; id8='t3+b1MT2300+MET350+'; r8=0.01; n8=78; id9='t2b3+MT21300+MET350_500'; r9=0.01; n9=75.
X: nr=119; t='T2tt'; mgl=1000000.0; mstop=1143.8; mlsp=265.2; id0='t2b1MT2450+MET600+'; r0=0.18; n0=54; id1='t1b2MT2650+MET750+'; r1=0.16; n1=31; id2='t2b2MT2400+MET600+'; r2=0.12; n2=65; id3='t1b1MT2750+MET750+'; r3=0.10; n3=14; id4='t1b1MT2550_750MET750+'; r4=0.05; n4=10; id5='t1b2MT2650+MET600_750'; r5=0.05; n5=30; id6='t1b2MT2200_650MET750+'; r6=0.04; n6=19; id7='t1b1MT2550_750MET600_750'; r7=0.04; n7=9; id8='t1b2MT2450_650MET500_600'; r8=0.04; n8=27; id9='t1b2MT2450_650MET600_750'; r9=0.04; n9=28.
X: nr=120; t='T1tttt'; mgl=1895.5; mstop=1000000.0; mlsp=364.2; id0='t2b3+MT21300+MET500+'; r0=0.21; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.16; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.13; n2=83; id3='t2b2MT2400+MET600+'; r3=0.08; n3=65; id4='t1b2MT2650+MET750+'; r4=0.06; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.06; n5=81; id6='t2b1MT2450+MET600+'; r6=0.05; n6=54; id7='t2b3+MT21300+MET350_500'; r7=0.03; n7=75; id8='t1b2MT2200_650MET750+'; r8=0.03; n8=19; id9='t3+b1MT2300+MET350+'; r9=0.03; n9=78.
X: nr=121; t='T2tt'; mgl=1000000.0; mstop=1139.9; mlsp=609.1; id0='t2b1MT2450+MET600+'; r0=0.09; n0=54; id1='t2b2MT2400+MET600+'; r1=0.06; n1=65; id2='t1b2MT2450_650MET500_600'; r2=0.05; n2=27; id3='t2b2MT2500+MET450_600'; r3=0.04; n3=67; id4='t1b2MT2450_650MET600_750'; r4=0.04; n4=28; id5='t1b2MT2650+MET600_750'; r5=0.04; n5=30; id6='t1b2MT2650+MET750+'; r6=0.04; n6=31; id7='t2b1MT2450+MET450_600'; r7=0.03; n7=53; id8='t1b1MT2550_750MET600_750'; r8=0.03; n8=9; id9='t1b1MT2550_750MET750+'; r9=0.03; n9=10.
X: nr=122; t='T2tt'; mgl=1000000.0; mstop=1105.0; mlsp=448.7; id0='t2b1MT2450+MET600+'; r0=0.16; n0=54; id1='t1b2MT2650+MET750+'; r1=0.11; n1=31; id2='t2b2MT2400+MET600+'; r2=0.11; n2=65; id3='t1b2MT2650+MET600_750'; r3=0.07; n3=30; id4='t1b1MT2750+MET750+'; r4=0.06; n4=14; id5='t1b1MT2550_750MET600_750'; r5=0.06; n5=9; id6='t2b2MT2500+MET450_600'; r6=0.06; n6=67; id7='t1b1MT2550_750MET750+'; r7=0.06; n7=10; id8='t1b2MT2450_650MET500_600'; r8=0.06; n8=27; id9='t1b2MT2450_650MET600_750'; r9=0.05; n9=28.
X: nr=123; t='T1tttt'; mgl=1935.1; mstop=1000000.0; mlsp=649.5; id0='t2b3+MT21300+MET500+'; r0=0.18; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.11; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.10; n2=83; id3='t2b2MT2400+MET600+'; r3=0.06; n3=65; id4='t1b2MT2650+MET750+'; r4=0.05; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.04; n5=81; id6='t2b1MT2450+MET600+'; r6=0.04; n6=54; id7='t2b3+MT21300+MET350_500'; r7=0.03; n7=75; id8='t2b3+MT2300_1300MET500+'; r8=0.03; n8=71; id9='t1b2MT2200_650MET750+'; r9=0.02; n9=19.
X: nr=124; t='T2tt'; mgl=1000000.0; mstop=426.3; mlsp=212.2; id0='t2b2MT2200_300MET250_350'; r0=0.75; n0=55; id1='t1b2MT2200_350MET250_400'; r1=0.50; n1=15; id2='t2b1MT2200_300MET250_350'; r2=0.44; n2=44; id3='t2b2MT2200_300MET350_450'; r3=0.36; n3=56; id4='t2b2MT2300_400MET250_350'; r4=0.35; n4=60; id5='t1b2MT2200_350MET400_500'; r5=0.35; n5=16; id6='t2b1MT2200_300MET350_450'; r6=0.34; n6=45; id7='t2b2MT2200_300MET450_600'; r7=0.30; n7=58; id8='t2b1MT2300_450MET250_350'; r8=0.29; n8=49; id9='t1b3+MT2300_1000MET250_350'; r9=0.28; n9=32.
X: nr=125; t='T1tttt'; mgl=1961.6; mstop=1000000.0; mlsp=374.3; id0='t2b3+MT21300+MET500+'; r0=0.16; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.10; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.09; n2=83; id3='t2b2MT2400+MET600+'; r3=0.06; n3=65; id4='t1b2MT2650+MET750+'; r4=0.05; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.04; n5=81; id6='t2b1MT2450+MET600+'; r6=0.03; n6=54; id7='t2b3+MT21300+MET350_500'; r7=0.02; n7=75; id8='t1b2MT2200_650MET750+'; r8=0.02; n8=19; id9='t1b3+MT21500+MET350_550'; r9=0.02; n9=42.
X: nr=126; t='T2tt'; mgl=1000000.0; mstop=917.5; mlsp=319.0; id0='t2b1MT2450+MET600+'; r0=0.33; n0=54; id1='t2b2MT2400+MET600+'; r1=0.29; n1=65; id2='t1b2MT2450_650MET500_600'; r2=0.24; n2=27; id3='t1b2MT2450_650MET600_750'; r3=0.20; n3=28; id4='t2b2MT2500+MET450_600'; r4=0.20; n4=67; id5='t1b1MT2550_750MET600_750'; r5=0.19; n5=9; id6='t2b1MT2450+MET450_600'; r6=0.15; n6=53; id7='t1b2MT2650+MET600_750'; r7=0.15; n7=30; id8='t1b2MT2650+MET750+'; r8=0.15; n8=31; id9='t1b1MT2550_750MET750+'; r9=0.13; n9=10.
X: nr=127; t='T1tttt'; mgl=2109.8; mstop=1000000.0; mlsp=212.3; id0='t2b3+MT21300+MET500+'; r0=0.07; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.06; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.05; n2=83; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t1b2MT2650+MET750+'; r4=0.02; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.01; n7=19; id8='t3+b1MT2300+MET350+'; r8=0.01; n8=78; id9='t2b3+MT21300+MET350_500'; r9=0.01; n9=75.
X: nr=128; t='T2tt'; mgl=1000000.0; mstop=554.6; mlsp=290.6; id0='t2b2MT2300_400MET250_350'; r0=0.56; n0=60; id1='t1b2MT2200_350MET250_400'; r1=0.54; n1=15; id2='t2b1MT2300_450MET250_350'; r2=0.45; n2=49; id3='t1b2MT2200_350MET400_500'; r3=0.37; n3=16; id4='t2b1MT2300_450MET350_450'; r4=0.36; n4=50; id5='t2b2MT2300_400MET350_450'; r5=0.35; n5=61; id6='t2b2MT2200_300MET250_350'; r6=0.33; n6=55; id7='t1b3+MT2300_1000MET250_350'; r7=0.29; n7=32; id8='t1b1MT2300_400MET250_400'; r8=0.29; n8=46; id9='t2b1MT2300_450MET450_600'; r9=0.25; n9=51.
X: nr=129; t='T1tttt'; mgl=2052.9; mstop=1000000.0; mlsp=844.1; id0='t2b3+MT21300+MET500+'; r0=0.09; n0=76; id1='t3+b3+MT2300+MET350+'; r1=0.06; n1=83; id2='t1b3+MT21500+MET550+'; r2=0.06; n2=43; id3='t2b2MT2400+MET600+'; r3=0.04; n3=65; id4='t1b2MT2650+MET750+'; r4=0.02; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t2b3+MT2300_1300MET500+'; r7=0.01; n7=71; id8='t2b3+MT21300+MET350_500'; r8=0.01; n8=75; id9='t1b2MT2200_650MET750+'; r9=0.01; n9=19.
X: nr=130; t='T1tttt'; mgl=2062.7; mstop=1000000.0; mlsp=61.6; id0='t2b3+MT21300+MET500+'; r0=0.10; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.07; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.06; n2=83; id3='t2b2MT2400+MET600+'; r3=0.04; n3=65; id4='t1b2MT2650+MET750+'; r4=0.03; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.03; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.01; n7=19; id8='t3+b1MT2300+MET350+'; r8=0.01; n8=78; id9='t1b3+MT21500+MET350_550'; r9=0.01; n9=42.
X: nr=131; t='T1tttt'; mgl=2068.3; mstop=1000000.0; mlsp=744.5; id0='t2b3+MT21300+MET500+'; r0=0.09; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.06; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.05; n2=83; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t1b2MT2650+MET750+'; r4=0.03; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t2b3+MT21300+MET350_500'; r7=0.01; n7=75; id8='t1b2MT2200_650MET750+'; r8=0.01; n8=19; id9='t3+b1MT2300+MET350+'; r9=0.01; n9=78.
X: nr=132; t='T1tttt'; mgl=2145.7; mstop=1000000.0; mlsp=536.2; id0='t2b3+MT21300+MET500+'; r0=0.06; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.05; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.04; n2=83; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t1b2MT2650+MET750+'; r4=0.02; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.01; n7=19; id8='t3+b1MT2300+MET350+'; r8=0.01; n8=78; id9='t2b3+MT21300+MET350_500'; r9=0.01; n9=75.
X: nr=133; t='T2tt'; mgl=1000000.0; mstop=781.1; mlsp=316.5; id0='t1b2MT2450_650MET500_600'; r0=0.44; n0=27; id1='t2b2MT2500+MET450_600'; r1=0.41; n1=67; id2='t1b2MT2450_650MET400_500'; r2=0.39; n2=26; id3='t2b1MT2450+MET450_600'; r3=0.34; n3=53; id4='t2b2MT2400_500MET250_450'; r4=0.33; n4=63; id5='t1b2MT2350_450MET400_500'; r5=0.30; n5=21; id6='t1b1MT2400_550MET400_500'; r6=0.27; n6=3; id7='t2b2MT2400+MET600+'; r7=0.26; n7=65; id8='t1b1MT2400_550MET500_600'; r8=0.24; n8=4; id9='t1b2MT2450_650MET600_750'; r9=0.24; n9=28.
X: nr=134; t='T2tt'; mgl=1000000.0; mstop=1078.1; mlsp=463.1; id0='t2b1MT2450+MET600+'; r0=0.16; n0=54; id1='t2b2MT2400+MET600+'; r1=0.11; n1=65; id2='t1b2MT2650+MET750+'; r2=0.09; n2=31; id3='t1b2MT2450_650MET500_600'; r3=0.07; n3=27; id4='t1b1MT2550_750MET600_750'; r4=0.07; n4=9; id5='t1b2MT2650+MET600_750'; r5=0.06; n5=30; id6='t2b2MT2500+MET450_600'; r6=0.06; n6=67; id7='t1b1MT2550_750MET750+'; r7=0.06; n7=10; id8='t2b1MT2450+MET450_600'; r8=0.06; n8=53; id9='t1b2MT2450_650MET600_750'; r9=0.05; n9=28.
X: nr=135; t='T2tt'; mgl=1000000.0; mstop=905.7; mlsp=290.4; id0='t2b1MT2450+MET600+'; r0=0.39; n0=54; id1='t2b2MT2400+MET600+'; r1=0.33; n1=65; id2='t1b2MT2450_650MET500_600'; r2=0.26; n2=27; id3='t1b1MT2550_750MET600_750'; r3=0.21; n3=9; id4='t2b2MT2500+MET450_600'; r4=0.21; n4=67; id5='t1b2MT2450_650MET600_750'; r5=0.21; n5=28; id6='t1b2MT2650+MET600_750'; r6=0.18; n6=30; id7='t2b1MT2450+MET450_600'; r7=0.17; n7=53; id8='t1b2MT2650+MET750+'; r8=0.16; n8=31; id9='t1b1MT2550_750MET750+'; r9=0.15; n9=10.
X: nr=136; t='T1tttt'; mgl=1994.9; mstop=1000000.0; mlsp=897.3; id0='t2b3+MT21300+MET500+'; r0=0.11; n0=76; id1='t3+b3+MT2300+MET350+'; r1=0.07; n1=83; id2='t1b3+MT21500+MET550+'; r2=0.06; n2=43; id3='t2b2MT2400+MET600+'; r3=0.04; n3=65; id4='t2b3+MT2300_1300MET500+'; r4=0.03; n4=71; id5='t1b2MT2650+MET750+'; r5=0.03; n5=31; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t3+b2MT2300+MET400+'; r7=0.02; n7=81; id8='t1b3+MT21000_1500MET550+'; r8=0.02; n8=40; id9='t2b3+MT21300+MET350_500'; r9=0.02; n9=75.
X: nr=137; t='T2tt'; mgl=1000000.0; mstop=873.5; mlsp=366.1; id0='t1b2MT2450_650MET500_600'; r0=0.29; n0=27; id1='t2b1MT2450+MET600+'; r1=0.27; n1=54; id2='t2b2MT2500+MET450_600'; r2=0.25; n2=67; id3='t2b2MT2400+MET600+'; r3=0.22; n3=65; id4='t2b1MT2450+MET450_600'; r4=0.20; n4=53; id5='t1b2MT2450_650MET600_750'; r5=0.19; n5=28; id6='t1b2MT2450_650MET400_500'; r6=0.18; n6=26; id7='t1b1MT2550_750MET600_750'; r7=0.15; n7=9; id8='t2b2MT2400_500MET250_450'; r8=0.15; n8=63; id9='t1b2MT2350_450MET400_500'; r9=0.14; n9=21.
X: nr=138; t='T2tt'; mgl=1000000.0; mstop=833.4; mlsp=356.4; id0='t1b2MT2450_650MET500_600'; r0=0.35; n0=27; id1='t2b2MT2500+MET450_600'; r1=0.33; n1=67; id2='t2b1MT2450+MET450_600'; r2=0.27; n2=53; id3='t1b2MT2450_650MET400_500'; r3=0.24; n3=26; id4='t2b1MT2450+MET600+'; r4=0.22; n4=54; id5='t2b2MT2400+MET600+'; r5=0.21; n5=65; id6='t1b2MT2450_650MET600_750'; r6=0.20; n6=28; id7='t2b2MT2400_500MET250_450'; r7=0.20; n7=63; id8='t1b2MT2350_450MET400_500'; r8=0.19; n8=21; id9='t1b1MT2400_550MET400_500'; r9=0.17; n9=3.
X: nr=139; t='T1tttt'; mgl=2118.5; mstop=1000000.0; mlsp=249.7; id0='t2b3+MT21300+MET500+'; r0=0.07; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.06; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.04; n2=83; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t1b2MT2650+MET750+'; r4=0.02; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.01; n7=19; id8='t3+b1MT2300+MET350+'; r8=0.01; n8=78; id9='t2b3+MT21300+MET350_500'; r9=0.01; n9=75.
X: nr=140; t='T1tttt'; mgl=2145.5; mstop=1000000.0; mlsp=292.2; id0='t2b3+MT21300+MET500+'; r0=0.06; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.05; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.04; n2=83; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t1b2MT2650+MET750+'; r4=0.02; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.01; n7=19; id8='t3+b1MT2300+MET350+'; r8=0.01; n8=78; id9='t2b3+MT21300+MET350_500'; r9=0.01; n9=75.
X: nr=141; t='T2tt'; mgl=1000000.0; mstop=462.6; mlsp=168.2; id0='t2b2MT2300_400MET250_350'; r0=1.76; n0=60; id1='t1b2MT2200_350MET250_400'; r1=1.68; n1=15; id2='t2b1MT2300_450MET250_350'; r2=1.50; n2=49; id3='t2b2MT2300_400MET350_450'; r3=1.07; n3=61; id4='t1b3+MT2300_1000MET250_350'; r4=0.88; n4=32; id5='t1b1MT2300_400MET250_400'; r5=0.87; n5=46; id6='t2b2MT2200_300MET250_350'; r6=0.83; n6=55; id7='t1b2MT2200_350MET400_500'; r7=0.75; n7=16; id8='t2b1MT2300_450MET350_450'; r8=0.70; n8=50; id9='t1b1MT2200_300MET250_400'; r9=0.63; n9=1.
