X: nr=14; t='T2tt'; mgl=1000000.0; mstop=898.1; mlsp=362.6; id0='t2b1MT2450+MET600+'; r0=0.32; n0=54; id1='t1b2MT2450_650MET500_600'; r1=0.25; n1=27; id2='t2b2MT2500+MET450_600'; r2=0.22; n2=67; id3='t2b2MT2400+MET600+'; r3=0.21; n3=65; id4='t1b2MT2450_650MET600_750'; r4=0.19; n4=28; id5='t2b1MT2450+MET450_600'; r5=0.16; n5=53; id6='t1b1MT2550_750MET600_750'; r6=0.16; n6=9; id7='t1b2MT2450_650MET400_500'; r7=0.15; n7=26; id8='t1b1MT2550_750MET500_600'; r8=0.13; n8=8; id9='t2b2MT2400_500MET250_450'; r9=0.13; n9=63.
X: nr=15; t='T2tt'; mgl=1000000.0; mstop=552.9; mlsp=349.9; id0='t2b2MT2200_300MET250_350'; r0=0.21; n0=55; id1='t1b2MT2200_350MET400_500'; r1=0.16; n1=16; id2='t2b1MT2300_450MET450_600'; r2=0.15; n2=51; id3='t1b2MT2200_350MET500_600'; r3=0.15; n3=17; id4='t1b2MT2200_350MET250_400'; r4=0.14; n4=15; id5='t2b1MT2200_300MET350_450'; r5=0.14; n5=45; id6='t2b2MT2200_300MET350_450'; r6=0.13; n6=56; id7='t1b2MT2200_350MET600_750'; r7=0.12; n7=18; id8='t2b2MT2200_300MET450_600'; r8=0.12; n8=58; id9='t2b2MT2300_400MET350_450'; r9=0.12; n9=61.
X: nr=16; t='T1tttt'; mgl=1956.2; mstop=1000000.0; mlsp=512.9; id0='t2b3+MT21300+MET500+'; r0=0.16; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.11; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.10; n2=83; id3='t2b2MT2400+MET600+'; r3=0.06; n3=65; id4='t3+b2MT2300+MET400+'; r4=0.05; n4=81; id5='t1b2MT2650+MET750+'; r5=0.04; n5=31; id6='t2b1MT2450+MET600+'; r6=0.03; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.02; n7=19; id8='t2b3+MT21300+MET350_500'; r8=0.02; n8=75; id9='t3+b1MT2300+MET350+'; r9=0.02; n9=78.
X: nr=17; t='T2tt'; mgl=1000000.0; mstop=729.1; mlsp=379.0; id0='t2b2MT2400_500MET250_450'; r0=0.33; n0=63; id1='t1b2MT2350_450MET400_500'; r1=0.31; n1=21; id2='t1b2MT2450_650MET400_500'; r2=0.28; n2=26; id3='t1b1MT2400_550MET400_500'; r3=0.24; n3=3; id4='t1b2MT2200_350MET400_500'; r4=0.22; n4=16; id5='t2b2MT2300_400MET250_350'; r5=0.22; n5=60; id6='t2b1MT2300_450MET350_450'; r6=0.20; n6=50; id7='t2b1MT2300_450MET250_350'; r7=0.19; n7=49; id8='t1b2MT2450_650MET500_600'; r8=0.19; n8=27; id9='t1b1MT2300_400MET400_500'; r9=0.18; n9=57.
X: nr=18; t='T2tt'; mgl=1000000.0; mstop=910.0; mlsp=488.8; id0='t1b2MT2450_650MET500_600'; r0=0.18; n0=27; id1='t2b2MT2500+MET450_600'; r1=0.13; n1=67; id2='t2b2MT2400_500MET250_450'; r2=0.13; n2=63; id3='t1b2MT2450_650MET400_500'; r3=0.12; n3=26; id4='t2b1MT2450+MET450_600'; r4=0.12; n4=53; id5='t1b2MT2350_450MET400_500'; r5=0.09; n5=21; id6='t1b1MT2400_550MET400_500'; r6=0.09; n6=3; id7='t2b1MT2450+MET600+'; r7=0.08; n7=54; id8='t1b2MT2350_450MET500_600'; r8=0.08; n8=22; id9='t2b2MT2400_500MET450_600'; r9=0.08; n9=64.
X: nr=19; t='T1tttt'; mgl=1805.6; mstop=1000000.0; mlsp=473.6; id0='t2b3+MT21300+MET500+'; r0=0.32; n0=76; id1='t3+b3+MT2300+MET350+'; r1=0.21; n1=83; id2='t1b3+MT21500+MET550+'; r2=0.21; n2=43; id3='t2b2MT2400+MET600+'; r3=0.12; n3=65; id4='t3+b2MT2300+MET400+'; r4=0.08; n4=81; id5='t1b2MT2650+MET750+'; r5=0.08; n5=31; id6='t2b1MT2450+MET600+'; r6=0.07; n6=54; id7='t2b3+MT21300+MET350_500'; r7=0.05; n7=75; id8='t2b3+MT2300_1300MET500+'; r8=0.05; n8=71; id9='t1b3+MT21500+MET350_550'; r9=0.04; n9=42.
X: nr=20; t='T2tt'; mgl=1000000.0; mstop=935.7; mlsp=278.1; id0='t2b1MT2450+MET600+'; r0=0.37; n0=54; id1='t2b2MT2400+MET600+'; r1=0.32; n1=65; id2='t1b2MT2650+MET750+'; r2=0.20; n2=31; id3='t1b2MT2450_650MET500_600'; r3=0.19; n3=27; id4='t1b2MT2650+MET600_750'; r4=0.19; n4=30; id5='t1b1MT2550_750MET600_750'; r5=0.18; n5=9; id6='t1b2MT2450_650MET600_750'; r6=0.17; n6=28; id7='t2b2MT2500+MET450_600'; r7=0.16; n7=67; id8='t2b1MT2450+MET450_600'; r8=0.15; n8=53; id9='t1b1MT2550_750MET750+'; r9=0.14; n9=10.
X: nr=21; t='T2tt'; mgl=1000000.0; mstop=437.5; mlsp=120.1; id0='t2b2MT2300_400MET250_350'; r0=2.71; n0=60; id1='t1b2MT2200_350MET250_400'; r1=2.32; n1=15; id2='t2b1MT2300_450MET250_350'; r2=2.14; n2=49; id3='t2b2MT2300_400MET350_450'; r3=1.40; n3=61; id4='t1b3+MT2300_1000MET250_350'; r4=1.30; n4=32; id5='t1b1MT2300_400MET250_400'; r5=1.29; n5=46; id6='t1b2MT2200_350MET400_500'; r6=1.13; n6=16; id7='t2b1MT2300_450MET350_450'; r7=1.13; n7=50; id8='t2b2MT2200_300MET250_350'; r8=1.13; n8=55; id9='t2b2MT2400_500MET250_450'; r9=0.88; n9=63.
X: nr=22; t='T1tttt'; mgl=1982.4; mstop=1000000.0; mlsp=929.7; id0='t2b3+MT21300+MET500+'; r0=0.11; n0=76; id1='t3+b3+MT2300+MET350+'; r1=0.07; n1=83; id2='t1b3+MT21500+MET550+'; r2=0.06; n2=43; id3='t2b2MT2400+MET600+'; r3=0.04; n3=65; id4='t2b3+MT2300_1300MET500+'; r4=0.04; n4=71; id5='t1b2MT2650+MET750+'; r5=0.03; n5=31; id6='t2b1MT2450+MET600+'; r6=0.03; n6=54; id7='t1b3+MT21000_1500MET550+'; r7=0.02; n7=40; id8='t3+b2MT2300+MET400+'; r8=0.02; n8=81; id9='t2b3+MT21300+MET350_500'; r9=0.02; n9=75.
X: nr=23; t='T1tttt'; mgl=1990.8; mstop=1000000.0; mlsp=1185.4; id0='t2b3+MT2300_1300MET500+'; r0=0.07; n0=71; id1='t2b3+MT21300+MET500+'; r1=0.05; n1=76; id2='t3+b3+MT2300+MET350+'; r2=0.05; n2=83; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t2b3+MT2900_1300MET350_500'; r4=0.03; n4=73; id5='t1b3+MT21000_1500MET550+'; r5=0.03; n5=40; id6='t1b3+MT21500+MET550+'; r6=0.02; n6=43; id7='t3+b2MT2300+MET400+'; r7=0.02; n7=81; id8='t2b3+MT21300+MET350_500'; r8=0.02; n8=75; id9='t2b1MT2450+MET600+'; r9=0.01; n9=54.
X: nr=24; t='T2tt'; mgl=1000000.0; mstop=515.8; mlsp=229.2; id0='t2b2MT2300_400MET250_350'; r0=1.10; n0=60; id1='t1b2MT2200_350MET250_400'; r1=0.97; n1=15; id2='t2b1MT2300_450MET250_350'; r2=0.89; n2=49; id3='t2b2MT2300_400MET350_450'; r3=0.61; n3=61; id4='t2b1MT2300_450MET350_450'; r4=0.59; n4=50; id5='t1b2MT2200_350MET400_500'; r5=0.57; n5=16; id6='t1b1MT2300_400MET250_400'; r6=0.55; n6=46; id7='t1b3+MT2300_1000MET250_350'; r7=0.54; n7=32; id8='t2b2MT2200_300MET250_350'; r8=0.49; n8=55; id9='t2b2MT2400_500MET250_450'; r9=0.38; n9=63.
