#            mhscp              width               c000               c100               c200               c300
     5.0000000e+01      0.0000000e+00      1.6435142e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-22      1.6435093e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-20      1.6430238e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-19      1.6386166e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.0000000e-19      1.6191765e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-18      1.5952112e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8000000e-18      1.5576269e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-18      1.4940443e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.6000000e-18      1.3912296e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-17      1.2213878e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-17      1.0543419e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-17      8.5967982e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-17      6.4498342e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.6000000e-17      4.3590249e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      6.8000000e-17      2.4346306e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-16      1.1573899e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-16      4.9948882e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-16      2.6098478e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-16      1.4668952e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.6000000e-16      7.1620923e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      6.8000000e-16      2.3847224e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-15      5.0127867e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-15      4.7563128e-11      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-15      1.9879162e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-15      2.4433214e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.6000000e-15      7.9069916e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      0.0000000e+00      1.3972337e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-22      1.3972289e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-20      1.3967471e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-19      1.3923751e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.0000000e-19      1.3731120e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-18      1.3494147e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.8000000e-18      1.3123631e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-18      1.2500001e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.6000000e-18      1.1500344e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-17      9.8742055e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-17      8.3083001e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-17      6.5308708e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-17      4.6401937e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      4.6000000e-17      2.8876948e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      6.8000000e-17      1.3843989e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-16      4.8617250e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-16      1.0037659e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-16      1.2516168e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-16      8.5003257e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      4.6000000e-16      4.1499933e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      6.8000000e-16      3.1388065e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-15      2.9731182e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-15      9.4755636e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-15      8.8455781e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-15      1.3172018e-16      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.6000000e-15      2.9211300e-23      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      0.0000000e+00      1.0228678e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-22      1.0228637e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-20      1.0224550e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-19      1.0187476e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.0000000e-19      1.0024370e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-18      9.8242646e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.8000000e-18      9.5126184e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-18      8.9915265e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.6000000e-18      8.1656203e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-17      6.8485344e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.5000000e-17      5.6142924e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      2.2000000e-17      4.2596286e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-17      2.8831128e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      4.6000000e-17      1.6829691e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      6.8000000e-17      7.3588432e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-16      2.2966850e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.5000000e-16      4.0493683e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      2.2000000e-16      4.1323742e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-16      2.0310070e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      4.6000000e-16      5.0284749e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      6.8000000e-16      1.2364952e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
