CMDLINE /usr/bin/python ./switchBackends.py
MEM 1.726562 1594281841.2060
MEM 21.898438 1594281841.3063
MEM 30.460938 1594281841.4066
MEM 36.488281 1594281841.5069
MEM 48.726562 1594281841.6072
MEM 70.273438 1594281841.7075
MEM 81.500000 1594281841.8079
MEM 124.039062 1594281841.9082
MEM 196.867188 1594281842.0085
MEM 210.277344 1594281842.1089
MEM 222.488281 1594281842.2091
MEM 230.066406 1594281842.3094
MEM 246.796875 1594281842.4098
MEM 259.015625 1594281842.5100
MEM 269.367188 1594281842.6104
MEM 288.101562 1594281842.7108
MEM 299.871094 1594281842.8110
MEM 304.753906 1594281842.9114
MEM 315.312500 1594281843.0117
MEM 319.554688 1594281843.1120
MEM 328.089844 1594281843.2123
MEM 364.441406 1594281843.3127
MEM 367.304688 1594281843.4131
MEM 367.562500 1594281843.5136
MEM 367.316406 1594281843.6140
MEM 366.832031 1594281843.7144
