CMDLINE /usr/bin/python ./memPyhf.py
MEM 1.789062 1594283923.5337
MEM 21.792969 1594283923.6340
MEM 30.351562 1594283923.7344
MEM 36.394531 1594283923.8347
MEM 48.632812 1594283923.9350
MEM 69.402344 1594283924.0353
MEM 81.074219 1594283924.1356
MEM 114.621094 1594283924.2359
MEM 185.351562 1594283924.3362
MEM 197.222656 1594283924.4365
MEM 198.472656 1594283924.5368
MEM 198.472656 1594283924.6371
MEM 198.472656 1594283924.7375
MEM 198.472656 1594283924.8378
MEM 198.730469 1594283924.9381
MEM 198.796875 1594283925.0384
MEM 198.796875 1594283925.1388
MEM 198.796875 1594283925.2391
MEM 198.796875 1594283925.3394
MEM 198.796875 1594283925.4398
MEM 199.050781 1594283925.5401
MEM 199.050781 1594283925.6404
MEM 199.050781 1594283925.7408
MEM 199.050781 1594283925.8411
MEM 199.050781 1594283925.9414
MEM 199.304688 1594283926.0418
MEM 199.304688 1594283926.1421
MEM 199.304688 1594283926.2424
MEM 199.304688 1594283926.3428
MEM 199.304688 1594283926.4431
MEM 199.304688 1594283926.5434
MEM 199.558594 1594283926.6438
MEM 199.558594 1594283926.7440
MEM 199.558594 1594283926.8444
MEM 199.558594 1594283926.9447
MEM 199.558594 1594283927.0449
MEM 199.558594 1594283927.1452
MEM 199.816406 1594283927.2455
MEM 199.871094 1594283927.3458
MEM 199.871094 1594283927.4462
MEM 199.871094 1594283927.5465
MEM 199.871094 1594283927.6468
MEM 199.871094 1594283927.7471
MEM 199.871094 1594283927.8474
MEM 200.125000 1594283927.9478
MEM 200.125000 1594283928.0481
MEM 200.125000 1594283928.1484
MEM 200.125000 1594283928.2488
MEM 200.125000 1594283928.3491
MEM 200.125000 1594283928.4494
MEM 200.125000 1594283928.5497
MEM 200.382812 1594283928.6502
MEM 200.382812 1594283928.7505
MEM 200.484375 1594283928.8508
MEM 200.484375 1594283928.9511
MEM 200.484375 1594283929.0514
MEM 200.484375 1594283929.1518
MEM 200.484375 1594283929.2521
MEM 200.484375 1594283929.3525
MEM 200.738281 1594283929.4528
MEM 200.738281 1594283929.5531
MEM 200.738281 1594283929.6534
MEM 200.738281 1594283929.7538
MEM 200.738281 1594283929.8541
MEM 200.738281 1594283929.9545
MEM 200.738281 1594283930.0548
MEM 200.996094 1594283930.1551
MEM 200.996094 1594283930.2554
MEM 201.105469 1594283930.3557
MEM 201.105469 1594283930.4561
MEM 201.105469 1594283930.5564
MEM 201.105469 1594283930.6567
MEM 201.105469 1594283930.7569
MEM 201.105469 1594283930.8572
MEM 201.105469 1594283930.9575
MEM 201.359375 1594283931.0579
MEM 201.359375 1594283931.1582
MEM 201.359375 1594283931.2585
MEM 201.359375 1594283931.3589
MEM 201.359375 1594283931.4592
MEM 201.359375 1594283931.5595
MEM 201.617188 1594283931.6598
MEM 201.617188 1594283931.7601
MEM 201.722656 1594283931.8604
MEM 201.722656 1594283931.9608
MEM 201.722656 1594283932.0611
MEM 201.722656 1594283932.1614
MEM 201.722656 1594283932.2618
MEM 201.722656 1594283932.3620
MEM 201.722656 1594283932.4623
MEM 201.976562 1594283932.5626
MEM 201.976562 1594283932.6629
MEM 201.976562 1594283932.7633
MEM 201.976562 1594283932.8636
